Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740837874965,2025-03-01 14:04:34.965,235.85,0.014,1.0,1.981,50.02,3.0,3.302,0.6,32956.0,14160.0,221650
1740837875293,2025-03-01 14:04:35.293,235.85,0.014,1.0,1.981,50.02,3.0,3.302,0.6,32956.0,14160.0,221879
1740837875619,2025-03-01 14:04:35.619,235.88,0.014,2.0,1.948,50.02,3.0,3.302,0.59,32956.0,14160.0,220270
1740837875944,2025-03-01 14:04:35.944,235.88,0.014,2.0,1.948,50.02,3.0,3.302,0.59,32956.0,14160.0,219847
1740837876281,2025-03-01 14:04:36.281,235.88,0.014,2.0,1.948,50.02,3.0,3.302,0.59,32956.0,14160.0,230829
1740837876608,2025-03-01 14:04:36.608,235.82,0.013,1.0,1.839,50.02,3.0,3.066,0.6,32956.0,14160.0,222068
1740837876935,2025-03-01 14:04:36.935,235.82,0.013,1.0,1.839,50.02,3.0,3.066,0.6,32956.0,14160.0,221407
1740837877262,2025-03-01 14:04:37.262,235.82,0.013,1.0,1.839,50.02,3.0,3.066,0.6,32956.0,14160.0,221432
1740837877598,2025-03-01 14:04:37.598,235.99,0.014,2.0,1.949,50.02,3.0,3.304,0.59,32956.0,14160.0,230910
1740837877930,2025-03-01 14:04:37.930,235.99,0.014,2.0,1.949,50.02,3.0,3.304,0.59,32956.0,14160.0,223708
1740837878264,2025-03-01 14:04:38.264,235.99,0.014,2.0,1.949,50.02,3.0,3.304,0.59,32956.0,14160.0,229666
1740837878598,2025-03-01 14:04:38.598,236.02,0.014,1.0,1.95,50.01,3.0,3.304,0.59,32956.0,14160.0,227929
1740837878931,2025-03-01 14:04:38.931,236.02,0.014,1.0,1.95,50.01,3.0,3.304,0.59,32956.0,14160.0,220279
1740837879258,2025-03-01 14:04:39.258,236.02,0.014,1.0,1.95,50.01,3.0,3.304,0.59,32956.0,14160.0,221648
1740837879591,2025-03-01 14:04:39.591,236.04,0.014,1.0,1.95,50.01,3.0,3.305,0.59,32956.0,14160.0,227515
1740837879917,2025-03-01 14:04:39.917,236.04,0.014,1.0,1.95,50.01,3.0,3.305,0.59,32956.0,14160.0,220270
1740837880253,2025-03-01 14:04:40.253,236.04,0.014,1.0,1.95,50.01,3.0,3.305,0.59,32956.0,14160.0,229539
1740837880587,2025-03-01 14:04:40.587,235.98,0.017,2.0,2.287,50.01,3.0,4.012,0.57,32956.0,14160.0,228211
1740837880913,2025-03-01 14:04:40.913,235.98,0.017,2.0,2.287,50.01,3.0,4.012,0.57,32956.0,14160.0,220351
1740837881241,2025-03-01 14:04:41.241,235.98,0.017,2.0,2.287,50.01,3.0,4.012,0.57,32956.0,14160.0,221163
1740837881577,2025-03-01 14:04:41.577,236.05,0.016,2.0,2.153,50.01,3.0,3.777,0.57,32956.0,14160.0,228959
1740837881901,2025-03-01 14:04:41.901,236.05,0.016,2.0,2.153,50.01,3.0,3.777,0.57,32956.0,14160.0,220199
1740837882237,2025-03-01 14:04:42.237,236.05,0.016,2.0,2.153,50.01,3.0,3.777,0.57,32956.0,14160.0,230541
1740837882571,2025-03-01 14:04:42.571,236.1,0.016,2.0,2.191,50.01,3.0,3.778,0.58,32956.0,14160.0,228586
1740837882900,2025-03-01 14:04:42.900,236.1,0.016,2.0,2.191,50.01,3.0,3.778,0.58,32956.0,14160.0,223927
1740837883227,2025-03-01 14:04:43.227,236.1,0.016,2.0,2.191,50.01,3.0,3.778,0.58,32956.0,14160.0,221287
1740837883561,2025-03-01 14:04:43.561,236.12,0.016,2.0,2.153,50.01,3.0,3.778,0.57,32956.0,14160.0,228173
1740837883888,2025-03-01 14:04:43.888,236.12,0.016,2.0,2.153,50.01,3.0,3.778,0.57,32956.0,14160.0,220973
1740837884222,2025-03-01 14:04:44.222,236.12,0.016,2.0,2.153,50.01,3.0,3.778,0.57,32956.0,14160.0,228069
1740837884555,2025-03-01 14:04:44.555,236.12,0.016,2.0,2.153,50.01,3.0,3.778,0.57,32956.0,14160.0,227817
1740837884882,2025-03-01 14:04:44.882,236.21,0.016,2.0,2.192,50.01,3.0,3.779,0.58,32956.0,14160.0,221166
1740837885209,2025-03-01 14:04:45.209,236.21,0.016,2.0,2.192,50.01,3.0,3.779,0.58,32956.0,14160.0,222029
1740837885543,2025-03-01 14:04:45.543,236.21,0.016,2.0,2.192,50.01,3.0,3.779,0.58,32956.0,14160.0,227838
1740837885867,2025-03-01 14:04:45.867,236.23,0.016,2.0,2.192,50.01,3.0,3.78,0.58,32956.0,14160.0,219971
1740837886195,2025-03-01 14:04:46.195,236.23,0.016,2.0,2.192,50.01,3.0,3.78,0.58,32956.0,14160.0,220413
1740837886529,2025-03-01 14:04:46.529,236.23,0.016,2.0,2.192,50.01,3.0,3.78,0.58,32956.0,14160.0,227558
1740837886856,2025-03-01 14:04:46.856,236.16,0.016,2.0,2.192,50.01,3.0,3.779,0.58,32956.0,14160.0,220827
1740837887183,2025-03-01 14:04:47.183,236.16,0.016,2.0,2.192,50.01,3.0,3.779,0.58,32956.0,14160.0,221596
1740837887519,2025-03-01 14:04:47.519,236.16,0.016,2.0,2.192,50.01,3.0,3.779,0.58,32956.0,14160.0,230621
1740837887845,2025-03-01 14:04:47.845,236.25,0.016,2.0,2.192,50.01,3.0,3.78,0.58,32956.0,14160.0,220288
1740837888170,2025-03-01 14:04:48.170,236.25,0.016,2.0,2.192,50.01,3.0,3.78,0.58,32956.0,14160.0,218826
1740837888503,2025-03-01 14:04:48.503,236.25,0.016,2.0,2.192,50.01,3.0,3.78,0.58,32956.0,14160.0,227612
1740837888829,2025-03-01 14:04:48.829,236.16,0.016,2.0,2.192,50.01,3.0,3.779,0.58,32956.0,14160.0,220758
1740837889155,2025-03-01 14:04:49.155,236.16,0.016,2.0,2.192,50.01,3.0,3.779,0.58,32956.0,14160.0,220454
1740837889488,2025-03-01 14:04:49.488,236.16,0.016,2.0,2.192,50.01,3.0,3.779,0.58,32956.0,14160.0,228205
1740837889834,2025-03-01 14:04:49.834,236.05,0.016,2.0,2.191,50.01,3.0,3.777,0.58,32956.0,14160.0,220786
1740837890161,2025-03-01 14:04:50.161,236.05,0.016,2.0,2.191,50.01,3.0,3.777,0.58,32956.0,14160.0,221152
