Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740839236331,2025-03-01 14:27:16.331,236.27,0.013,1.0,1.904,50.02,3.0,3.072,0.62,32957.0,14160.0,230410
1740839236664,2025-03-01 14:27:16.664,236.26,0.013,1.0,1.904,50.01,3.0,3.071,0.62,32957.0,14160.0,228852
1740839236990,2025-03-01 14:27:16.990,236.26,0.013,1.0,1.904,50.01,3.0,3.071,0.62,32957.0,14160.0,220441
1740839237317,2025-03-01 14:27:17.317,236.26,0.013,1.0,1.904,50.01,3.0,3.071,0.62,32957.0,14160.0,222434
1740839237685,2025-03-01 14:27:17.685,236.29,0.013,1.0,1.935,50.02,3.0,3.072,0.63,32957.0,14160.0,223545
1740839238011,2025-03-01 14:27:18.011,236.29,0.013,1.0,1.935,50.02,3.0,3.072,0.63,32957.0,14160.0,221137
1740839238346,2025-03-01 14:27:18.346,236.29,0.013,1.0,1.935,50.02,3.0,3.072,0.63,32957.0,14160.0,229306
1740839238670,2025-03-01 14:27:18.670,236.32,0.013,1.0,1.874,50.01,3.0,3.072,0.61,32957.0,14160.0,219919
1740839238995,2025-03-01 14:27:18.995,236.32,0.013,1.0,1.874,50.01,3.0,3.072,0.61,32957.0,14160.0,220471
1740839239322,2025-03-01 14:27:19.322,236.32,0.013,1.0,1.874,50.01,3.0,3.072,0.61,32957.0,14160.0,222327
1740839239669,2025-03-01 14:27:19.669,236.35,0.014,2.0,2.052,50.02,3.0,3.309,0.62,32957.0,14160.0,241276
1740839239996,2025-03-01 14:27:19.996,236.35,0.014,2.0,2.052,50.02,3.0,3.309,0.62,32957.0,14160.0,222006
1740839240332,2025-03-01 14:27:20.332,236.35,0.014,2.0,2.052,50.02,3.0,3.309,0.62,32957.0,14160.0,230054
1740839240678,2025-03-01 14:27:20.678,236.31,0.013,1.0,1.905,50.01,3.0,3.072,0.62,32957.0,14160.0,241343
1740839241003,2025-03-01 14:27:21.003,236.31,0.013,1.0,1.905,50.01,3.0,3.072,0.62,32957.0,14160.0,220662
1740839241329,2025-03-01 14:27:21.329,236.31,0.013,1.0,1.905,50.01,3.0,3.072,0.62,32957.0,14160.0,221076
1740839241676,2025-03-01 14:27:21.676,236.23,0.013,1.0,1.904,50.01,3.0,3.071,0.62,32957.0,14160.0,242129
1740839242003,2025-03-01 14:27:22.003,236.23,0.013,1.0,1.904,50.01,3.0,3.071,0.62,32957.0,14160.0,221330
1740839242346,2025-03-01 14:27:22.346,236.23,0.013,1.0,1.904,50.01,3.0,3.071,0.62,32957.0,14160.0,230409
1740839242693,2025-03-01 14:27:22.693,236.17,0.014,2.0,1.984,50.0,3.0,3.306,0.6,32957.0,14160.0,241045
1740839243019,2025-03-01 14:27:23.019,236.17,0.014,2.0,1.984,50.0,3.0,3.306,0.6,32957.0,14160.0,220837
1740839243345,2025-03-01 14:27:23.345,236.17,0.014,2.0,1.984,50.0,3.0,3.306,0.6,32957.0,14160.0,221271
1740839243693,2025-03-01 14:27:23.693,236.14,0.014,2.0,1.984,50.0,3.0,3.306,0.6,32957.0,14160.0,241609
1740839244018,2025-03-01 14:27:24.018,236.14,0.014,2.0,1.984,50.0,3.0,3.306,0.6,32957.0,14160.0,219715
1740839244354,2025-03-01 14:27:24.354,236.14,0.014,2.0,1.984,50.0,3.0,3.306,0.6,32957.0,14160.0,230930
1740839244702,2025-03-01 14:27:24.702,236.03,0.014,2.0,1.983,50.0,3.0,3.304,0.6,32957.0,14160.0,242485
1740839245029,2025-03-01 14:27:25.029,236.03,0.014,2.0,1.983,50.0,3.0,3.304,0.6,32957.0,14160.0,221603
1740839245358,2025-03-01 14:27:25.358,236.03,0.014,2.0,1.983,50.0,3.0,3.304,0.6,32957.0,14160.0,220821
1740839245704,2025-03-01 14:27:25.704,236.0,0.014,2.0,1.982,49.99,3.0,3.304,0.6,32957.0,14160.0,241266
1740839246030,2025-03-01 14:27:26.030,236.0,0.014,2.0,1.982,49.99,3.0,3.304,0.6,32957.0,14160.0,220406
1740839246365,2025-03-01 14:27:26.365,236.0,0.014,2.0,1.982,49.99,3.0,3.304,0.6,32957.0,14160.0,229835
