Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740831949738,2025-03-01 12:25:49.738,234.98,0.014,2.0,2.04,50.02,3.0,3.29,0.62,32953.0,14159.0,228118
1740831950063,2025-03-01 12:25:50.063,234.98,0.014,2.0,2.04,50.02,3.0,3.29,0.62,32953.0,14159.0,219327
1740831950394,2025-03-01 12:25:50.394,235.02,0.014,2.0,2.073,50.02,3.0,3.29,0.63,32953.0,14159.0,228385
1740831950715,2025-03-01 12:25:50.715,235.02,0.014,2.0,2.073,50.02,3.0,3.29,0.63,32953.0,14159.0,218148
1740831951039,2025-03-01 12:25:51.039,235.02,0.014,2.0,2.073,50.02,3.0,3.29,0.63,32953.0,14159.0,219257
1740831951370,2025-03-01 12:25:51.370,235.02,0.014,2.0,2.073,50.02,3.0,3.29,0.63,32953.0,14159.0,227009
1740831951700,2025-03-01 12:25:51.700,235.12,0.014,2.0,2.008,50.02,3.0,3.292,0.61,32953.0,14159.0,227474
1740831952023,2025-03-01 12:25:52.023,235.12,0.014,2.0,2.008,50.02,3.0,3.292,0.61,32953.0,14159.0,220223
1740831952354,2025-03-01 12:25:52.354,235.12,0.014,2.0,2.008,50.02,3.0,3.292,0.61,32953.0,14159.0,227360
1740831952684,2025-03-01 12:25:52.684,235.2,0.014,2.0,2.042,50.02,3.0,3.293,0.62,32953.0,14159.0,227686
1740831953005,2025-03-01 12:25:53.005,235.2,0.014,2.0,2.042,50.02,3.0,3.293,0.62,32953.0,14159.0,219311
1740831953336,2025-03-01 12:25:53.336,235.2,0.014,2.0,2.042,50.02,3.0,3.293,0.62,32953.0,14159.0,227300
1740831953667,2025-03-01 12:25:53.667,235.13,0.014,2.0,2.008,50.02,3.0,3.292,0.61,32953.0,14159.0,227693
1740831953991,2025-03-01 12:25:53.991,235.13,0.014,2.0,2.008,50.02,3.0,3.292,0.61,32953.0,14159.0,220134
1740831954320,2025-03-01 12:25:54.320,235.13,0.014,2.0,2.008,50.02,3.0,3.292,0.61,32953.0,14159.0,227458
1740831954651,2025-03-01 12:25:54.651,235.12,0.014,2.0,2.074,50.02,3.0,3.292,0.63,32953.0,14159.0,227910
1740831954974,2025-03-01 12:25:54.974,235.12,0.014,2.0,2.074,50.02,3.0,3.292,0.63,32953.0,14159.0,219994
1740831955303,2025-03-01 12:25:55.303,235.12,0.014,2.0,2.074,50.02,3.0,3.292,0.63,32953.0,14159.0,226253
1740831955626,2025-03-01 12:25:55.626,235.13,0.014,2.0,2.008,50.02,3.0,3.292,0.61,32953.0,14159.0,219981
1740831955949,2025-03-01 12:25:55.949,235.13,0.014,2.0,2.008,50.02,3.0,3.292,0.61,32953.0,14159.0,219356
1740831956278,2025-03-01 12:25:56.278,235.13,0.014,2.0,2.008,50.02,3.0,3.292,0.61,32953.0,14159.0,226444
1740831956600,2025-03-01 12:25:56.600,235.23,0.014,2.0,2.009,50.02,3.0,3.293,0.61,32953.0,14159.0,219037
1740831956923,2025-03-01 12:25:56.923,235.23,0.014,2.0,2.009,50.02,3.0,3.293,0.61,32953.0,14159.0,219109
1740831957255,2025-03-01 12:25:57.255,235.23,0.014,2.0,2.009,50.02,3.0,3.293,0.61,32953.0,14159.0,229310
1740831957577,2025-03-01 12:25:57.577,235.14,0.014,2.0,2.107,50.02,3.0,3.292,0.64,32953.0,14159.0,219023
1740831957898,2025-03-01 12:25:57.898,235.14,0.014,2.0,2.107,50.02,3.0,3.292,0.64,32953.0,14159.0,218855
1740831958229,2025-03-01 12:25:58.229,235.14,0.014,2.0,2.107,50.02,3.0,3.292,0.64,32953.0,14159.0,227412
1740831958551,2025-03-01 12:25:58.551,235.13,0.014,2.0,2.041,50.02,3.0,3.292,0.62,32953.0,14159.0,219094
1740831958881,2025-03-01 12:25:58.881,235.13,0.014,2.0,2.041,50.02,3.0,3.292,0.62,32953.0,14159.0,227643
1740831959202,2025-03-01 12:25:59.202,235.13,0.014,2.0,2.041,50.02,3.0,3.292,0.62,32953.0,14159.0,218332
1740831959524,2025-03-01 12:25:59.524,235.18,0.013,1.0,1.926,50.02,3.0,3.057,0.63,32953.0,14159.0,219163
1740831959854,2025-03-01 12:25:59.854,235.18,0.013,1.0,1.926,50.02,3.0,3.057,0.63,32953.0,14159.0,228033
1740831960178,2025-03-01 12:26:00.178,235.18,0.013,1.0,1.926,50.02,3.0,3.057,0.63,32953.0,14159.0,220201
1740831960500,2025-03-01 12:26:00.500,235.06,0.013,2.0,1.956,50.01,3.0,3.056,0.64,32953.0,14159.0,218281
1740831960831,2025-03-01 12:26:00.831,235.06,0.013,2.0,1.956,50.01,3.0,3.056,0.64,32953.0,14159.0,227679
1740831961151,2025-03-01 12:26:01.151,235.06,0.013,2.0,1.956,50.01,3.0,3.056,0.64,32953.0,14159.0,218481
1740831961472,2025-03-01 12:26:01.472,234.87,0.014,2.0,1.973,50.01,3.0,3.288,0.6,32953.0,14159.0,218667
1740831961802,2025-03-01 12:26:01.802,234.87,0.014,2.0,1.973,50.01,3.0,3.288,0.6,32953.0,14159.0,226978
1740831962124,2025-03-01 12:26:02.124,234.87,0.014,2.0,1.973,50.01,3.0,3.288,0.6,32953.0,14159.0,219334
1740831962447,2025-03-01 12:26:02.447,234.86,0.014,2.0,2.006,50.01,3.0,3.288,0.61,32953.0,14159.0,219481
1740831962770,2025-03-01 12:26:02.770,234.86,0.014,2.0,2.006,50.01,3.0,3.288,0.61,32953.0,14159.0,219314
1740831963091,2025-03-01 12:26:03.091,234.86,0.014,2.0,2.006,50.01,3.0,3.288,0.61,32953.0,14159.0,219465
1740831963421,2025-03-01 12:26:03.421,234.86,0.014,2.0,2.039,50.01,3.0,3.288,0.62,32953.0,14159.0,226428
1740831963742,2025-03-01 12:26:03.742,234.86,0.014,2.0,2.039,50.01,3.0,3.288,0.62,32953.0,14159.0,219104
1740831964064,2025-03-01 12:26:04.064,234.86,0.014,2.0,2.039,50.01,3.0,3.288,0.62,32953.0,14159.0,219398
1740831964394,2025-03-01 12:26:04.394,234.86,0.014,2.0,2.039,50.01,3.0,3.288,0.62,32953.0,14159.0,226671
1740831964717,2025-03-01 12:26:04.717,234.87,0.014,2.0,2.039,50.02,3.0,3.288,0.62,32953.0,14159.0,219261
1740831965048,2025-03-01 12:26:05.048,234.87,0.014,2.0,2.039,50.02,3.0,3.288,0.62,32953.0,14159.0,228015
1740831965378,2025-03-01 12:26:05.378,234.87,0.014,2.0,2.039,50.02,3.0,3.288,0.62,32953.0,14159.0,226553
1740831965700,2025-03-01 12:26:05.700,234.79,0.014,2.0,2.038,50.01,3.0,3.287,0.62,32953.0,14159.0,218878
1740831966032,2025-03-01 12:26:06.032,234.79,0.014,2.0,2.038,50.01,3.0,3.287,0.62,32953.0,14159.0,229015
1740831966362,2025-03-01 12:26:06.362,234.79,0.014,2.0,2.038,50.01,3.0,3.287,0.62,32953.0,14159.0,226956
1740831966684,2025-03-01 12:26:06.684,234.78,0.014,2.0,2.071,50.01,3.0,3.287,0.63,32953.0,14159.0,219379
1740831967016,2025-03-01 12:26:07.016,234.78,0.014,2.0,2.071,50.01,3.0,3.287,0.63,32953.0,14159.0,228401
1740831967350,2025-03-01 12:26:07.350,234.78,0.014,2.0,2.071,50.01,3.0,3.287,0.63,32953.0,14159.0,230735
1740831967672,2025-03-01 12:26:07.672,234.7,0.014,2.0,2.037,50.01,3.0,3.286,0.62,32953.0,14159.0,219333
1740831968003,2025-03-01 12:26:08.003,234.7,0.014,2.0,2.037,50.01,3.0,3.286,0.62,32953.0,14159.0,228229
1740831968333,2025-03-01 12:26:08.333,234.7,0.014,2.0,2.037,50.01,3.0,3.286,0.62,32953.0,14159.0,226899
1740831968654,2025-03-01 12:26:08.654,234.71,0.014,2.0,2.037,50.01,3.0,3.286,0.62,32953.0,14159.0,218186
1740831968977,2025-03-01 12:26:08.977,234.71,0.014,2.0,2.037,50.01,3.0,3.286,0.62,32953.0,14159.0,220027
1740831969306,2025-03-01 12:26:09.306,234.71,0.014,2.0,2.037,50.01,3.0,3.286,0.62,32953.0,14159.0,226707
1740831969627,2025-03-01 12:26:09.627,234.75,0.014,2.0,2.038,50.0,3.0,3.287,0.62,32953.0,14159.0,218497
1740831969950,2025-03-01 12:26:09.950,234.75,0.014,2.0,2.038,50.0,3.0,3.287,0.62,32953.0,14159.0,219090
1740831970279,2025-03-01 12:26:10.279,234.75,0.014,2.0,2.038,50.0,3.0,3.287,0.62,32953.0,14159.0,226528
1740831970601,2025-03-01 12:26:10.601,234.71,0.014,2.0,2.004,50.0,3.0,3.286,0.61,32953.0,14159.0,218959
1740831970921,2025-03-01 12:26:10.921,234.71,0.014,2.0,2.004,50.0,3.0,3.286,0.61,32953.0,14159.0,218548
1740831971261,2025-03-01 12:26:11.261,234.71,0.014,2.0,2.004,50.0,3.0,3.286,0.61,32953.0,14159.0,236163
1740831971587,2025-03-01 12:26:11.587,234.7,0.014,2.0,2.037,50.0,3.0,3.286,0.62,32953.0,14159.0,222782
1740831971908,2025-03-01 12:26:11.908,234.7,0.014,2.0,2.037,50.0,3.0,3.286,0.62,32953.0,14159.0,218955
1740831972248,2025-03-01 12:26:12.248,234.7,0.014,2.0,2.037,50.0,3.0,3.286,0.62,32953.0,14159.0,236933
1740831972570,2025-03-01 12:26:12.570,234.73,0.014,2.0,2.037,49.99,3.0,3.286,0.62,32953.0,14159.0,218864
1740831972892,2025-03-01 12:26:12.892,234.73,0.014,2.0,2.037,49.99,3.0,3.286,0.62,32953.0,14159.0,218994
1740831973233,2025-03-01 12:26:13.233,234.73,0.014,2.0,2.037,49.99,3.0,3.286,0.62,32953.0,14159.0,238034
1740831973556,2025-03-01 12:26:13.556,234.71,0.014,2.0,2.037,49.99,3.0,3.286,0.62,32953.0,14159.0,219339
1740831973877,2025-03-01 12:26:13.877,234.71,0.014,2.0,2.037,49.99,3.0,3.286,0.62,32953.0,14159.0,218408
1740831974208,2025-03-01 12:26:14.208,234.71,0.014,2.0,2.037,49.99,3.0,3.286,0.62,32953.0,14159.0,228072
1740831974532,2025-03-01 12:26:14.532,234.71,0.014,2.0,2.037,49.99,3.0,3.286,0.62,32953.0,14159.0,221626
1740831974858,2025-03-01 12:26:14.858,234.71,0.014,2.0,2.037,49.99,3.0,3.286,0.62,32953.0,14159.0,223290
1740831975188,2025-03-01 12:26:15.188,234.71,0.014,2.0,2.037,49.99,3.0,3.286,0.62,32953.0,14159.0,227460
1740831975510,2025-03-01 12:26:15.510,234.78,0.014,2.0,2.038,49.99,3.0,3.287,0.62,32953.0,14159.0,218834
1740831975832,2025-03-01 12:26:15.832,234.78,0.014,2.0,2.038,49.99,3.0,3.287,0.62,32953.0,14159.0,219569
1740831976155,2025-03-01 12:26:16.155,234.78,0.014,2.0,2.038,49.99,3.0,3.287,0.62,32953.0,14159.0,220604
1740831976477,2025-03-01 12:26:16.477,234.74,0.014,2.0,2.038,49.99,3.0,3.286,0.62,32953.0,14159.0,218960
1740831976800,2025-03-01 12:26:16.800,234.74,0.014,2.0,2.038,49.99,3.0,3.286,0.62,32953.0,14159.0,219082
1740831977122,2025-03-01 12:26:17.122,234.74,0.014,2.0,2.038,49.99,3.0,3.286,0.62,32953.0,14159.0,219790
1740831977450,2025-03-01 12:26:17.450,234.81,0.014,2.0,2.038,49.99,3.0,3.287,0.62,32953.0,14159.0,225387
1740831977773,2025-03-01 12:26:17.773,234.81,0.014,2.0,2.038,49.99,3.0,3.287,0.62,32953.0,14159.0,219297
1740831978096,2025-03-01 12:26:18.096,234.81,0.014,2.0,2.038,49.99,3.0,3.287,0.62,32953.0,14159.0,219890
1740831978433,2025-03-01 12:26:18.433,234.88,0.014,2.0,2.039,49.99,3.0,3.288,0.62,32953.0,14159.0,234831
1740831978756,2025-03-01 12:26:18.756,234.88,0.014,2.0,2.039,49.99,3.0,3.288,0.62,32953.0,14159.0,219254
1740831979078,2025-03-01 12:26:19.078,234.88,0.014,2.0,2.039,49.99,3.0,3.288,0.62,32953.0,14159.0,219537
1740831979415,2025-03-01 12:26:19.415,234.91,0.014,2.0,2.039,49.99,3.0,3.289,0.62,32953.0,14159.0,234856
1740831979737,2025-03-01 12:26:19.737,234.91,0.014,2.0,2.039,49.99,3.0,3.289,0.62,32953.0,14159.0,218764
1740831980060,2025-03-01 12:26:20.060,234.91,0.014,2.0,2.039,49.99,3.0,3.289,0.62,32953.0,14159.0,219916
1740831980397,2025-03-01 12:26:20.397,234.91,0.014,2.0,2.039,49.99,3.0,3.289,0.62,32953.0,14159.0,234824
1740831980719,2025-03-01 12:26:20.719,234.91,0.014,2.0,2.039,49.99,3.0,3.289,0.62,32953.0,14159.0,218874
1740831981041,2025-03-01 12:26:21.041,234.91,0.014,2.0,2.039,49.99,3.0,3.289,0.62,32953.0,14159.0,219323
1740831981380,2025-03-01 12:26:21.380,234.91,0.014,2.0,2.039,49.99,3.0,3.289,0.62,32953.0,14159.0,235612
1740831981701,2025-03-01 12:26:21.701,234.95,0.014,2.0,2.039,49.99,3.0,3.289,0.62,32953.0,14159.0,218481
