Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740834992936,2025-03-01 13:16:32.936,235.55,0.012,1.0,1.837,49.96,2.0,2.827,0.65,32955.0,14159.0,219170
1740834993259,2025-03-01 13:16:33.259,235.55,0.012,1.0,1.837,49.96,2.0,2.827,0.65,32955.0,14159.0,219851
1740834993581,2025-03-01 13:16:33.581,235.51,0.012,1.0,1.837,49.96,2.0,2.826,0.65,32955.0,14159.0,219812
1740834993903,2025-03-01 13:16:33.903,235.51,0.012,1.0,1.837,49.96,2.0,2.826,0.65,32955.0,14159.0,218573
1740834994234,2025-03-01 13:16:34.234,235.51,0.012,1.0,1.837,49.96,2.0,2.826,0.65,32955.0,14159.0,229594
1740834994556,2025-03-01 13:16:34.556,235.54,0.012,1.0,1.837,49.96,2.0,2.826,0.65,32955.0,14159.0,219244
1740834994878,2025-03-01 13:16:34.878,235.54,0.012,1.0,1.837,49.96,2.0,2.826,0.65,32955.0,14159.0,219666
1740834995210,2025-03-01 13:16:35.210,235.54,0.012,1.0,1.837,49.96,2.0,2.826,0.65,32955.0,14159.0,228796
1740834995532,2025-03-01 13:16:35.532,235.59,0.012,1.0,1.838,49.97,2.0,2.827,0.65,32955.0,14159.0,219584
1740834995855,2025-03-01 13:16:35.855,235.59,0.012,1.0,1.838,49.97,2.0,2.827,0.65,32955.0,14159.0,219840
1740834996186,2025-03-01 13:16:36.186,235.59,0.012,1.0,1.838,49.97,2.0,2.827,0.65,32955.0,14159.0,229148
1740834996516,2025-03-01 13:16:36.516,235.7,0.012,1.0,1.838,49.97,2.0,2.828,0.65,32955.0,14159.0,227005
1740834996839,2025-03-01 13:16:36.839,235.7,0.012,1.0,1.838,49.97,2.0,2.828,0.65,32955.0,14159.0,220057
1740834997171,2025-03-01 13:16:37.171,235.7,0.012,1.0,1.838,49.97,2.0,2.828,0.65,32955.0,14159.0,229016
1740834997503,2025-03-01 13:16:37.503,235.83,0.012,1.0,1.839,49.97,2.0,2.83,0.65,32955.0,14159.0,229952
1740834997826,2025-03-01 13:16:37.826,235.83,0.012,1.0,1.839,49.97,2.0,2.83,0.65,32955.0,14159.0,219911
1740834998149,2025-03-01 13:16:38.149,235.83,0.012,1.0,1.839,49.97,2.0,2.83,0.65,32955.0,14159.0,221062
1740834998478,2025-03-01 13:16:38.478,235.83,0.012,1.0,1.839,49.97,2.0,2.83,0.65,32955.0,14159.0,226700
1740834998800,2025-03-01 13:16:38.800,235.88,0.012,1.0,1.84,49.97,2.0,2.831,0.65,32955.0,14159.0,219942
1740834999123,2025-03-01 13:16:39.123,235.88,0.012,1.0,1.84,49.97,2.0,2.831,0.65,32955.0,14159.0,220613
1740834999453,2025-03-01 13:16:39.453,235.88,0.012,1.0,1.84,49.97,2.0,2.831,0.65,32955.0,14159.0,227320
1740834999776,2025-03-01 13:16:39.776,235.93,0.013,1.0,1.902,49.98,3.0,3.067,0.62,32955.0,14159.0,220314
1740835000098,2025-03-01 13:16:40.098,235.93,0.013,1.0,1.902,49.98,3.0,3.067,0.62,32955.0,14159.0,220252
1740835000428,2025-03-01 13:16:40.428,235.93,0.013,1.0,1.902,49.98,3.0,3.067,0.62,32955.0,14159.0,226487
