Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741190290167,2025-03-05 15:58:10.167,234.29,0.014,2.0,1.968,49.99,3.0,3.28,0.6,32966.0,14162.0,220911
1741190290496,2025-03-05 15:58:10.496,234.3,0.015,2.0,2.074,49.99,3.0,3.514,0.59,32966.0,14162.0,226666
1741190290816,2025-03-05 15:58:10.816,234.3,0.015,2.0,2.074,49.99,3.0,3.514,0.59,32966.0,14162.0,217889
1741190291138,2025-03-05 15:58:11.138,234.3,0.015,2.0,2.074,49.99,3.0,3.514,0.59,32966.0,14162.0,219348
1741190291467,2025-03-05 15:58:11.467,234.3,0.015,2.0,2.074,49.99,3.0,3.514,0.59,32966.0,14162.0,226827
1741190291787,2025-03-05 15:58:11.787,234.35,0.014,2.0,1.969,49.98,3.0,3.281,0.6,32966.0,14162.0,218168
1741190292109,2025-03-05 15:58:12.109,234.35,0.014,2.0,1.969,49.98,3.0,3.281,0.6,32966.0,14162.0,219218
1741190292439,2025-03-05 15:58:12.439,234.35,0.014,2.0,1.969,49.98,3.0,3.281,0.6,32966.0,14162.0,227493
1741190292760,2025-03-05 15:58:12.760,234.34,0.014,2.0,1.968,49.98,3.0,3.281,0.6,32966.0,14162.0,218297
1741190293082,2025-03-05 15:58:13.082,234.34,0.014,2.0,1.968,49.98,3.0,3.281,0.6,32966.0,14162.0,218563
1741190293412,2025-03-05 15:58:13.412,234.34,0.014,2.0,1.968,49.98,3.0,3.281,0.6,32966.0,14162.0,227327
1741190293733,2025-03-05 15:58:13.733,234.29,0.015,2.0,2.073,49.97,3.0,3.514,0.59,32966.0,14162.0,219054
1741190294055,2025-03-05 15:58:14.055,234.29,0.015,2.0,2.073,49.97,3.0,3.514,0.59,32966.0,14162.0,219198
1741190294384,2025-03-05 15:58:14.384,234.29,0.015,2.0,2.073,49.97,3.0,3.514,0.59,32966.0,14162.0,227205
1741190294708,2025-03-05 15:58:14.708,234.22,0.015,2.0,2.108,49.97,3.0,3.513,0.6,32966.0,14162.0,220577
1741190295029,2025-03-05 15:58:15.029,234.22,0.015,2.0,2.108,49.97,3.0,3.513,0.6,32966.0,14162.0,218766
1741190295358,2025-03-05 15:58:15.358,234.22,0.015,2.0,2.108,49.97,3.0,3.513,0.6,32966.0,14162.0,226835
1741190295681,2025-03-05 15:58:15.681,234.14,0.015,2.0,2.072,49.96,3.0,3.512,0.59,32966.0,14162.0,219043
1741190296002,2025-03-05 15:58:16.002,234.14,0.015,2.0,2.072,49.96,3.0,3.512,0.59,32966.0,14162.0,218652
1741190296332,2025-03-05 15:58:16.332,234.14,0.015,2.0,2.072,49.96,3.0,3.512,0.59,32966.0,14162.0,227061
1741190296654,2025-03-05 15:58:16.654,234.16,0.015,2.0,2.072,49.96,3.0,3.512,0.59,32966.0,14162.0,218663
1741190296975,2025-03-05 15:58:16.975,234.16,0.015,2.0,2.072,49.96,3.0,3.512,0.59,32966.0,14162.0,218468
1741190297296,2025-03-05 15:58:17.296,234.16,0.015,2.0,2.072,49.96,3.0,3.512,0.59,32966.0,14162.0,218634
1741190297618,2025-03-05 15:58:17.618,234.22,0.014,2.0,2.0,49.95,3.0,3.279,0.61,32966.0,14162.0,221160
1741190297942,2025-03-05 15:58:17.942,234.22,0.014,2.0,2.0,49.95,3.0,3.279,0.61,32966.0,14162.0,218761
1741190298264,2025-03-05 15:58:18.264,234.22,0.014,2.0,2.0,49.95,3.0,3.279,0.61,32966.0,14162.0,219290
1741190298586,2025-03-05 15:58:18.586,234.46,0.014,2.0,1.969,49.95,3.0,3.282,0.6,32966.0,14162.0,219074
1741190298908,2025-03-05 15:58:18.908,234.46,0.014,2.0,1.969,49.95,3.0,3.282,0.6,32966.0,14162.0,218674
1741190299228,2025-03-05 15:58:19.228,234.46,0.014,2.0,1.969,49.95,3.0,3.282,0.6,32966.0,14162.0,218088
1741190299548,2025-03-05 15:58:19.548,234.4,0.014,2.0,1.969,49.95,3.0,3.282,0.6,32966.0,14162.0,218087
1741190299869,2025-03-05 15:58:19.869,234.4,0.014,2.0,1.969,49.95,3.0,3.282,0.6,32966.0,14162.0,218236
1741190300189,2025-03-05 15:58:20.189,234.4,0.014,2.0,1.969,49.95,3.0,3.282,0.6,32966.0,14162.0,218305
1741190300518,2025-03-05 15:58:20.518,234.51,0.014,2.0,1.937,49.95,3.0,3.283,0.59,32966.0,14162.0,226597
1741190300839,2025-03-05 15:58:20.839,234.51,0.014,2.0,1.937,49.95,3.0,3.283,0.59,32966.0,14162.0,218297
1741190301161,2025-03-05 15:58:21.161,234.51,0.014,2.0,1.937,49.95,3.0,3.283,0.59,32966.0,14162.0,218510
1741190301490,2025-03-05 15:58:21.490,234.62,0.015,2.0,2.076,49.95,3.0,3.519,0.59,32966.0,14162.0,227166
1741190301812,2025-03-05 15:58:21.812,234.62,0.015,2.0,2.076,49.95,3.0,3.519,0.59,32966.0,14162.0,219042
1741190302134,2025-03-05 15:58:22.134,234.62,0.015,2.0,2.076,49.95,3.0,3.519,0.59,32966.0,14162.0,218859
1741190302463,2025-03-05 15:58:22.463,234.62,0.015,2.0,2.076,49.95,3.0,3.519,0.59,32966.0,14162.0,226444
1741190302784,2025-03-05 15:58:22.784,234.69,0.014,2.0,1.939,49.95,3.0,3.286,0.59,32966.0,14162.0,218048
1741190303105,2025-03-05 15:58:23.105,234.69,0.014,2.0,1.939,49.95,3.0,3.286,0.59,32966.0,14162.0,218569
1741190303435,2025-03-05 15:58:23.435,234.69,0.014,2.0,1.939,49.95,3.0,3.286,0.59,32966.0,14162.0,226720
1741190303757,2025-03-05 15:58:23.757,234.77,0.014,2.0,1.972,49.95,3.0,3.287,0.6,32966.0,14162.0,218371
1741190304078,2025-03-05 15:58:24.078,234.77,0.014,2.0,1.972,49.95,3.0,3.287,0.6,32966.0,14162.0,218663
1741190304409,2025-03-05 15:58:24.409,234.77,0.014,2.0,1.972,49.95,3.0,3.287,0.6,32966.0,14162.0,227553
1741190304732,2025-03-05 15:58:24.732,234.65,0.014,2.0,1.971,49.94,3.0,3.285,0.6,32966.0,14162.0,221197
1741190305054,2025-03-05 15:58:25.054,234.65,0.014,2.0,1.971,49.94,3.0,3.285,0.6,32966.0,14162.0,218939
1741190305383,2025-03-05 15:58:25.383,234.65,0.014,2.0,1.971,49.94,3.0,3.285,0.6,32966.0,14162.0,226254
1741190305703,2025-03-05 15:58:25.703,234.52,0.014,2.0,1.937,49.94,3.0,3.283,0.59,32966.0,14162.0,217860
1741190306023,2025-03-05 15:58:26.023,234.52,0.014,2.0,1.937,49.94,3.0,3.283,0.59,32966.0,14162.0,218037
