Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740593209137,2025-02-26 18:06:49.137,235.63,0.014,2.0,1.946,49.98,3.0,3.299,0.59,32941.0,14156.0,220369
1740593209460,2025-02-26 18:06:49.460,235.63,0.014,2.0,1.946,49.98,3.0,3.299,0.59,32941.0,14156.0,219787
1740593209787,2025-02-26 18:06:49.787,235.58,0.014,2.0,1.946,49.98,3.0,3.298,0.59,32941.0,14156.0,223631
1740593210108,2025-02-26 18:06:50.108,235.58,0.014,2.0,1.946,49.98,3.0,3.298,0.59,32941.0,14156.0,218479
1740593210433,2025-02-26 18:06:50.433,235.58,0.014,2.0,1.946,49.98,3.0,3.298,0.59,32941.0,14156.0,220179
1740593210783,2025-02-26 18:06:50.783,235.57,0.014,1.0,1.946,49.98,3.0,3.298,0.59,32941.0,14156.0,247187
1740593211105,2025-02-26 18:06:51.105,235.57,0.014,1.0,1.946,49.98,3.0,3.298,0.59,32941.0,14156.0,219448
1740593211427,2025-02-26 18:06:51.427,235.57,0.014,1.0,1.946,49.98,3.0,3.298,0.59,32941.0,14156.0,219000
1740593211776,2025-02-26 18:06:51.776,235.56,0.014,2.0,1.979,49.98,3.0,3.298,0.6,32941.0,14156.0,247026
1740593212099,2025-02-26 18:06:52.099,235.56,0.014,2.0,1.979,49.98,3.0,3.298,0.6,32941.0,14156.0,219621
1740593212421,2025-02-26 18:06:52.421,235.56,0.014,2.0,1.979,49.98,3.0,3.298,0.6,32941.0,14156.0,219873
1740593212770,2025-02-26 18:06:52.770,235.68,0.014,1.0,1.947,49.98,3.0,3.3,0.59,32941.0,14156.0,246441
1740593213092,2025-02-26 18:06:53.092,235.68,0.014,1.0,1.947,49.98,3.0,3.3,0.59,32941.0,14156.0,218890
1740593213415,2025-02-26 18:06:53.415,235.68,0.014,1.0,1.947,49.98,3.0,3.3,0.59,32941.0,14156.0,220017
1740593213765,2025-02-26 18:06:53.765,235.67,0.013,1.0,1.838,49.98,3.0,3.064,0.6,32941.0,14156.0,247940
1740593214087,2025-02-26 18:06:54.087,235.67,0.013,1.0,1.838,49.98,3.0,3.064,0.6,32941.0,14156.0,218785
1740593214408,2025-02-26 18:06:54.408,235.67,0.013,1.0,1.838,49.98,3.0,3.064,0.6,32941.0,14156.0,218835
1740593214758,2025-02-26 18:06:54.758,235.57,0.013,1.0,1.837,49.98,3.0,3.062,0.6,32941.0,14156.0,247312
1740593215080,2025-02-26 18:06:55.080,235.57,0.013,1.0,1.837,49.98,3.0,3.062,0.6,32941.0,14156.0,219151
1740593215402,2025-02-26 18:06:55.402,235.57,0.013,1.0,1.837,49.98,3.0,3.062,0.6,32941.0,14156.0,220020
1740593215752,2025-02-26 18:06:55.752,235.56,0.013,1.0,1.837,49.97,3.0,3.062,0.6,32941.0,14156.0,246568
1740593216073,2025-02-26 18:06:56.073,235.56,0.013,1.0,1.837,49.97,3.0,3.062,0.6,32941.0,14156.0,218503
1740593216395,2025-02-26 18:06:56.395,235.56,0.013,1.0,1.837,49.97,3.0,3.062,0.6,32941.0,14156.0,219569
1740593216745,2025-02-26 18:06:56.745,235.56,0.013,1.0,1.837,49.97,3.0,3.062,0.6,32941.0,14156.0,247104
1740593217067,2025-02-26 18:06:57.067,235.58,0.013,1.0,1.838,49.97,3.0,3.063,0.6,32941.0,14156.0,219082
1740593217388,2025-02-26 18:06:57.388,235.58,0.013,1.0,1.838,49.97,3.0,3.063,0.6,32941.0,14156.0,219381
1740593217738,2025-02-26 18:06:57.738,235.58,0.013,1.0,1.838,49.97,3.0,3.063,0.6,32941.0,14156.0,247171
1740593218060,2025-02-26 18:06:58.060,235.51,0.013,1.0,1.898,49.97,3.0,3.062,0.62,32941.0,14156.0,219018
1740593218382,2025-02-26 18:06:58.382,235.51,0.013,1.0,1.898,49.97,3.0,3.062,0.62,32941.0,14156.0,219502
1740593218733,2025-02-26 18:06:58.733,235.51,0.013,1.0,1.898,49.97,3.0,3.062,0.62,32941.0,14156.0,248044
1740593219056,2025-02-26 18:06:59.056,235.6,0.013,1.0,1.899,49.97,3.0,3.063,0.62,32941.0,14156.0,219986
1740593219379,2025-02-26 18:06:59.379,235.6,0.013,1.0,1.899,49.97,3.0,3.063,0.62,32941.0,14156.0,220891
1740593219729,2025-02-26 18:06:59.729,235.6,0.013,1.0,1.899,49.97,3.0,3.063,0.62,32941.0,14156.0,247485
1740593220051,2025-02-26 18:07:00.051,235.64,0.013,1.0,1.869,49.97,3.0,3.063,0.61,32941.0,14156.0,219275
1740593220374,2025-02-26 18:07:00.374,235.64,0.013,1.0,1.869,49.97,3.0,3.063,0.61,32941.0,14156.0,219876
1740593220723,2025-02-26 18:07:00.723,235.64,0.013,1.0,1.869,49.97,3.0,3.063,0.61,32941.0,14156.0,247080
1740593221044,2025-02-26 18:07:01.044,235.75,0.013,1.0,1.9,49.97,3.0,3.065,0.62,32941.0,14156.0,218794
1740593221368,2025-02-26 18:07:01.368,235.75,0.013,1.0,1.9,49.97,3.0,3.065,0.62,32941.0,14156.0,220369
1740593221718,2025-02-26 18:07:01.718,235.75,0.013,1.0,1.9,49.97,3.0,3.065,0.62,32941.0,14156.0,247007
1740593222039,2025-02-26 18:07:02.039,235.83,0.013,1.0,1.901,49.97,3.0,3.066,0.62,32941.0,14156.0,218747
