Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740594671297,2025-02-26 18:31:11.297,234.86,0.013,1.0,1.893,50.02,3.0,3.053,0.62,32942.0,14156.0,219984
1740594671626,2025-02-26 18:31:11.626,234.86,0.013,1.0,1.893,50.02,3.0,3.053,0.62,32942.0,14156.0,226274
1740594671968,2025-02-26 18:31:11.968,234.83,0.013,1.0,1.893,50.02,3.0,3.053,0.62,32942.0,14156.0,239934
1740594672292,2025-02-26 18:31:12.292,234.83,0.013,1.0,1.893,50.02,3.0,3.053,0.62,32942.0,14156.0,219247
1740594672622,2025-02-26 18:31:12.622,234.83,0.013,1.0,1.893,50.02,3.0,3.053,0.62,32942.0,14156.0,226982
1740594672964,2025-02-26 18:31:12.964,234.9,0.014,2.0,2.006,50.01,3.0,3.289,0.61,32942.0,14156.0,239432
1740594673287,2025-02-26 18:31:13.287,234.9,0.014,2.0,2.006,50.01,3.0,3.289,0.61,32942.0,14156.0,220247
1740594673617,2025-02-26 18:31:13.617,234.9,0.014,2.0,2.006,50.01,3.0,3.289,0.61,32942.0,14156.0,227392
1740594673961,2025-02-26 18:31:13.961,234.9,0.013,1.0,1.893,50.01,3.0,3.054,0.62,32942.0,14156.0,240616
1740594674283,2025-02-26 18:31:14.283,234.9,0.013,1.0,1.893,50.01,3.0,3.054,0.62,32942.0,14156.0,219608
1740594674613,2025-02-26 18:31:14.613,234.9,0.013,1.0,1.893,50.01,3.0,3.054,0.62,32942.0,14156.0,226745
1740594674956,2025-02-26 18:31:14.956,235.01,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,240740
1740594675279,2025-02-26 18:31:15.279,235.01,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,219440
1740594675608,2025-02-26 18:31:15.608,235.01,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,226481
1740594675950,2025-02-26 18:31:15.950,235.0,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,239920
1740594676273,2025-02-26 18:31:16.273,235.0,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,220196
1740594676603,2025-02-26 18:31:16.603,235.0,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,226794
1740594676945,2025-02-26 18:31:16.945,235.01,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,239364
1740594677268,2025-02-26 18:31:17.268,235.01,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,219932
1740594677590,2025-02-26 18:31:17.590,235.01,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,219445
1740594677922,2025-02-26 18:31:17.922,235.08,0.014,2.0,1.975,50.01,3.0,3.291,0.6,32942.0,14156.0,229680
1740594678244,2025-02-26 18:31:18.244,235.08,0.014,2.0,1.975,50.01,3.0,3.291,0.6,32942.0,14156.0,219043
1740594678566,2025-02-26 18:31:18.566,235.08,0.014,2.0,1.975,50.01,3.0,3.291,0.6,32942.0,14156.0,218873
1740594678888,2025-02-26 18:31:18.888,235.09,0.014,2.0,2.008,50.01,3.0,3.291,0.61,32942.0,14156.0,219038
1740594679210,2025-02-26 18:31:19.210,235.09,0.014,2.0,2.008,50.01,3.0,3.291,0.61,32942.0,14156.0,219794
1740594679534,2025-02-26 18:31:19.534,235.09,0.014,2.0,2.008,50.01,3.0,3.291,0.61,32942.0,14156.0,221225
1740594679857,2025-02-26 18:31:19.857,235.04,0.014,2.0,2.007,50.01,3.0,3.291,0.61,32942.0,14156.0,219815
1740594680179,2025-02-26 18:31:20.179,235.04,0.014,2.0,2.007,50.01,3.0,3.291,0.61,32942.0,14156.0,219218
1740594680502,2025-02-26 18:31:20.502,235.04,0.014,2.0,2.007,50.01,3.0,3.291,0.61,32942.0,14156.0,219932
1740594680824,2025-02-26 18:31:20.824,235.01,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,219380
1740594681167,2025-02-26 18:31:21.167,235.01,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,239997
1740594681490,2025-02-26 18:31:21.490,235.01,0.013,1.0,1.894,50.01,3.0,3.055,0.62,32942.0,14156.0,219901
1740594681817,2025-02-26 18:31:21.817,235.03,0.013,1.0,1.864,50.0,3.0,3.055,0.61,32942.0,14156.0,224551
1740594682160,2025-02-26 18:31:22.160,235.03,0.013,1.0,1.864,50.0,3.0,3.055,0.61,32942.0,14156.0,241239
1740594682483,2025-02-26 18:31:22.483,235.03,0.013,1.0,1.864,50.0,3.0,3.055,0.61,32942.0,14156.0,219758
1740594682813,2025-02-26 18:31:22.813,234.88,0.013,1.0,1.893,50.0,3.0,3.053,0.62,32942.0,14156.0,226771
1740594683154,2025-02-26 18:31:23.154,234.88,0.013,1.0,1.893,50.0,3.0,3.053,0.62,32942.0,14156.0,239117
1740594683477,2025-02-26 18:31:23.477,234.88,0.013,1.0,1.893,50.0,3.0,3.053,0.62,32942.0,14156.0,219315
1740594683807,2025-02-26 18:31:23.807,234.91,0.013,1.0,1.893,50.0,3.0,3.054,0.62,32942.0,14156.0,227326
1740594684149,2025-02-26 18:31:24.149,234.91,0.013,1.0,1.893,50.0,3.0,3.054,0.62,32942.0,14156.0,239703
1740594684472,2025-02-26 18:31:24.472,234.91,0.013,1.0,1.893,50.0,3.0,3.054,0.62,32942.0,14156.0,220118
1740594684801,2025-02-26 18:31:24.801,234.85,0.013,1.0,1.893,50.0,3.0,3.053,0.62,32942.0,14156.0,226279
1740594685144,2025-02-26 18:31:25.144,234.85,0.013,1.0,1.893,50.0,3.0,3.053,0.62,32942.0,14156.0,240304
1740594685467,2025-02-26 18:31:25.467,234.85,0.013,1.0,1.893,50.0,3.0,3.053,0.62,32942.0,14156.0,220344
1740594685796,2025-02-26 18:31:25.796,234.8,0.013,1.0,1.892,50.0,3.0,3.052,0.62,32942.0,14156.0,226426
1740594686139,2025-02-26 18:31:26.139,234.8,0.013,1.0,1.892,50.0,3.0,3.052,0.62,32942.0,14156.0,240454
1740594686462,2025-02-26 18:31:26.462,234.8,0.013,1.0,1.892,50.0,3.0,3.052,0.62,32942.0,14156.0,219932
1740594686792,2025-02-26 18:31:26.792,234.74,0.014,2.0,2.005,49.99,3.0,3.286,0.61,32942.0,14156.0,227440
1740594687135,2025-02-26 18:31:27.135,234.74,0.014,2.0,2.005,49.99,3.0,3.286,0.61,32942.0,14156.0,240321
1740594687456,2025-02-26 18:31:27.456,234.74,0.014,2.0,2.005,49.99,3.0,3.286,0.61,32942.0,14156.0,219347
1740594687785,2025-02-26 18:31:27.785,234.82,0.013,1.0,1.862,49.99,3.0,3.053,0.61,32942.0,14156.0,226418
1740594688129,2025-02-26 18:31:28.129,234.82,0.013,1.0,1.862,49.99,3.0,3.053,0.61,32942.0,14156.0,240829
1740594688451,2025-02-26 18:31:28.451,234.82,0.013,1.0,1.862,49.99,3.0,3.053,0.61,32942.0,14156.0,220171
1740594688782,2025-02-26 18:31:28.782,234.9,0.013,1.0,1.893,49.99,3.0,3.054,0.62,32942.0,14156.0,227622
1740594689125,2025-02-26 18:31:29.125,234.9,0.013,1.0,1.893,49.99,3.0,3.054,0.62,32942.0,14156.0,240129
1740594689448,2025-02-26 18:31:29.448,234.9,0.013,1.0,1.893,49.99,3.0,3.054,0.62,32942.0,14156.0,221401
1740594689777,2025-02-26 18:31:29.777,235.01,0.013,1.0,1.894,50.0,3.0,3.055,0.62,32942.0,14156.0,226423
1740594690121,2025-02-26 18:31:30.121,235.01,0.013,1.0,1.894,50.0,3.0,3.055,0.62,32942.0,14156.0,240193
1740594690443,2025-02-26 18:31:30.443,235.01,0.013,1.0,1.894,50.0,3.0,3.055,0.62,32942.0,14156.0,219647
1740594690773,2025-02-26 18:31:30.773,235.02,0.013,1.0,1.894,49.99,3.0,3.055,0.62,32942.0,14156.0,227337
1740594691116,2025-02-26 18:31:31.116,235.02,0.013,1.0,1.894,49.99,3.0,3.055,0.62,32942.0,14156.0,239989
1740594691438,2025-02-26 18:31:31.438,235.02,0.013,1.0,1.894,49.99,3.0,3.055,0.62,32942.0,14156.0,219629
1740594691767,2025-02-26 18:31:31.767,235.02,0.013,1.0,1.894,49.99,3.0,3.055,0.62,32942.0,14156.0,226047
1740594692110,2025-02-26 18:31:32.110,235.03,0.013,1.0,1.894,49.99,3.0,3.055,0.62,32942.0,14156.0,240016
1740594692432,2025-02-26 18:31:32.432,235.03,0.013,1.0,1.894,49.99,3.0,3.055,0.62,32942.0,14156.0,219986
1740594692761,2025-02-26 18:31:32.761,235.03,0.013,1.0,1.894,49.99,3.0,3.055,0.62,32942.0,14156.0,226635
1740594693105,2025-02-26 18:31:33.105,234.99,0.013,1.0,1.894,50.0,3.0,3.055,0.62,32942.0,14156.0,240705
1740594693427,2025-02-26 18:31:33.427,234.99,0.013,1.0,1.894,50.0,3.0,3.055,0.62,32942.0,14156.0,219648
1740594693757,2025-02-26 18:31:33.757,234.99,0.013,1.0,1.894,50.0,3.0,3.055,0.62,32942.0,14156.0,226933
1740594694099,2025-02-26 18:31:34.099,235.02,0.013,1.0,1.894,50.0,3.0,3.055,0.62,32942.0,14156.0,239753
1740594694422,2025-02-26 18:31:34.422,235.02,0.013,1.0,1.894,50.0,3.0,3.055,0.62,32942.0,14156.0,220150
