Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740840601513,2025-03-01 14:50:01.513,237.76,0.013,1.0,1.916,50.01,3.0,3.091,0.62,32958.0,14160.0,230590
1740840601860,2025-03-01 14:50:01.860,237.84,0.014,1.0,1.965,50.01,3.0,3.33,0.59,32958.0,14160.0,242004
1740840602186,2025-03-01 14:50:02.186,237.84,0.014,1.0,1.965,50.01,3.0,3.33,0.59,32958.0,14160.0,220424
1740840602521,2025-03-01 14:50:02.521,237.84,0.014,1.0,1.965,50.01,3.0,3.33,0.59,32958.0,14160.0,230480
1740840602907,2025-03-01 14:50:02.907,237.85,0.014,1.0,1.998,50.02,3.0,3.33,0.6,32958.0,14160.0,241242
1740840603239,2025-03-01 14:50:03.239,237.85,0.014,1.0,1.998,50.02,3.0,3.33,0.6,32958.0,14160.0,227550
1740840603574,2025-03-01 14:50:03.574,237.85,0.014,1.0,1.998,50.02,3.0,3.33,0.6,32958.0,14160.0,229038
1740840603929,2025-03-01 14:50:03.929,237.8,0.014,2.0,2.031,50.02,3.0,3.329,0.61,32958.0,14160.0,240953
1740840604267,2025-03-01 14:50:04.267,237.8,0.014,2.0,2.031,50.02,3.0,3.329,0.61,32958.0,14160.0,228605
1740840604602,2025-03-01 14:50:04.602,237.8,0.014,2.0,2.031,50.02,3.0,3.329,0.61,32958.0,14160.0,229112
1740840604962,2025-03-01 14:50:04.962,237.81,0.013,1.0,1.917,50.02,3.0,3.092,0.62,32958.0,14160.0,241425
1740840605287,2025-03-01 14:50:05.287,237.81,0.013,1.0,1.917,50.02,3.0,3.092,0.62,32958.0,14160.0,220399
1740840605621,2025-03-01 14:50:05.621,237.81,0.013,1.0,1.917,50.02,3.0,3.092,0.62,32958.0,14160.0,229237
1740840605967,2025-03-01 14:50:05.967,237.76,0.014,2.0,1.964,50.02,3.0,3.329,0.59,32958.0,14160.0,240825
1740840606304,2025-03-01 14:50:06.304,237.76,0.014,2.0,1.964,50.02,3.0,3.329,0.59,32958.0,14160.0,232420
1740840606645,2025-03-01 14:50:06.645,237.48,0.018,2.0,2.437,50.02,4.0,4.275,0.57,32958.0,14160.0,228254
1740840606992,2025-03-01 14:50:06.992,237.48,0.018,2.0,2.437,50.02,4.0,4.275,0.57,32958.0,14160.0,242100
1740840607319,2025-03-01 14:50:07.319,237.48,0.018,2.0,2.437,50.02,4.0,4.275,0.57,32958.0,14160.0,221280
1740840607655,2025-03-01 14:50:07.655,237.52,0.018,2.0,2.48,50.03,4.0,4.275,0.58,32958.0,14160.0,231496
1740840608015,2025-03-01 14:50:08.015,237.52,0.018,2.0,2.48,50.03,4.0,4.275,0.58,32958.0,14160.0,225908
1740840608348,2025-03-01 14:50:08.348,237.52,0.018,2.0,2.48,50.03,4.0,4.275,0.58,32958.0,14160.0,228631
1740840608680,2025-03-01 14:50:08.680,237.45,0.018,2.0,2.479,50.02,4.0,4.274,0.58,32958.0,14160.0,227473
1740840609026,2025-03-01 14:50:09.026,237.45,0.018,2.0,2.479,50.02,4.0,4.274,0.58,32958.0,14160.0,241374
1740840609352,2025-03-01 14:50:09.352,237.45,0.018,2.0,2.479,50.02,4.0,4.274,0.58,32958.0,14160.0,221238
1740840609683,2025-03-01 14:50:09.683,237.44,0.017,2.0,2.382,50.02,4.0,4.036,0.59,32958.0,14160.0,226220
1740840610029,2025-03-01 14:50:10.029,237.44,0.017,2.0,2.382,50.02,4.0,4.036,0.59,32958.0,14160.0,241353
1740840610363,2025-03-01 14:50:10.363,237.44,0.017,2.0,2.382,50.02,4.0,4.036,0.59,32958.0,14160.0,229061
1740840610689,2025-03-01 14:50:10.689,237.42,0.017,2.0,2.341,50.02,4.0,4.036,0.58,32958.0,14160.0,221096
1740840611037,2025-03-01 14:50:11.037,237.42,0.017,2.0,2.341,50.02,4.0,4.036,0.58,32958.0,14160.0,240907
1740840611362,2025-03-01 14:50:11.362,237.42,0.017,2.0,2.341,50.02,4.0,4.036,0.58,32958.0,14160.0,220512
1740840611688,2025-03-01 14:50:11.688,237.59,0.017,2.0,2.383,50.02,4.0,4.039,0.59,32958.0,14160.0,220375
1740840612035,2025-03-01 14:50:12.035,237.59,0.017,2.0,2.383,50.02,4.0,4.039,0.59,32958.0,14160.0,242083
1740840612370,2025-03-01 14:50:12.370,237.59,0.017,2.0,2.383,50.02,4.0,4.039,0.59,32958.0,14160.0,230633
1740840612697,2025-03-01 14:50:12.697,237.61,0.018,2.0,2.395,50.02,4.0,4.277,0.56,32958.0,14160.0,221530
1740840613043,2025-03-01 14:50:13.043,237.61,0.018,2.0,2.395,50.02,4.0,4.277,0.56,32958.0,14160.0,241000
1740840613368,2025-03-01 14:50:13.368,237.61,0.018,2.0,2.395,50.02,4.0,4.277,0.56,32958.0,14160.0,220667
1740840613694,2025-03-01 14:50:13.694,237.53,0.017,2.0,2.342,50.01,4.0,4.038,0.58,32958.0,14160.0,221683
1740840614042,2025-03-01 14:50:14.042,237.53,0.017,2.0,2.342,50.01,4.0,4.038,0.58,32958.0,14160.0,241810
1740840614378,2025-03-01 14:50:14.378,237.53,0.017,2.0,2.342,50.01,4.0,4.038,0.58,32958.0,14160.0,230299
1740840614705,2025-03-01 14:50:14.705,237.41,0.017,2.0,2.381,50.01,4.0,4.036,0.59,32958.0,14160.0,221308
1740840615053,2025-03-01 14:50:15.053,237.41,0.017,2.0,2.381,50.01,4.0,4.036,0.59,32958.0,14160.0,242886
1740840615378,2025-03-01 14:50:15.378,237.41,0.017,2.0,2.381,50.01,4.0,4.036,0.59,32958.0,14160.0,220282
1740840615703,2025-03-01 14:50:15.703,237.34,0.016,2.0,2.203,50.01,3.0,3.797,0.58,32958.0,14160.0,220228
1740840616049,2025-03-01 14:50:16.049,237.34,0.016,2.0,2.203,50.01,3.0,3.797,0.58,32958.0,14160.0,241331
1740840616384,2025-03-01 14:50:16.384,237.34,0.016,2.0,2.203,50.01,3.0,3.797,0.58,32958.0,14160.0,230047
1740840616710,2025-03-01 14:50:16.710,237.27,0.016,2.0,2.278,50.0,3.0,3.796,0.6,32958.0,14160.0,220472
1740840617056,2025-03-01 14:50:17.056,237.27,0.016,2.0,2.278,50.0,3.0,3.796,0.6,32958.0,14160.0,240839
1740840617381,2025-03-01 14:50:17.381,237.27,0.016,2.0,2.278,50.0,3.0,3.796,0.6,32958.0,14160.0,219775
1740840617709,2025-03-01 14:50:17.709,237.36,0.017,2.0,2.34,50.0,4.0,4.035,0.58,32958.0,14160.0,223314
1740840618057,2025-03-01 14:50:18.057,237.36,0.017,2.0,2.34,50.0,4.0,4.035,0.58,32958.0,14160.0,242933
1740840618392,2025-03-01 14:50:18.392,237.36,0.017,2.0,2.34,50.0,4.0,4.035,0.58,32958.0,14160.0,229509
1740840618718,2025-03-01 14:50:18.718,237.42,0.018,2.0,2.479,50.0,4.0,4.274,0.58,32958.0,14160.0,221780
1740840619065,2025-03-01 14:50:19.065,237.42,0.018,2.0,2.479,50.0,4.0,4.274,0.58,32958.0,14160.0,242285
