Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740840844870,2025-03-01 14:54:04.870,237.32,0.013,1.0,1.851,49.97,3.0,3.085,0.6,32958.0,14160.0,221598
1740840845198,2025-03-01 14:54:05.198,237.32,0.013,1.0,1.851,49.97,3.0,3.085,0.6,32958.0,14160.0,221543
1740840845533,2025-03-01 14:54:05.533,237.32,0.013,1.0,1.851,49.97,3.0,3.085,0.6,32958.0,14160.0,229456
1740840845858,2025-03-01 14:54:05.858,237.32,0.013,1.0,1.82,49.97,3.0,3.085,0.59,32958.0,14160.0,220652
1740840846232,2025-03-01 14:54:06.232,237.32,0.013,1.0,1.82,49.97,3.0,3.085,0.59,32958.0,14160.0,229172
1740840846568,2025-03-01 14:54:06.568,237.32,0.013,1.0,1.82,49.97,3.0,3.085,0.59,32958.0,14160.0,230301
1740840846896,2025-03-01 14:54:06.896,237.3,0.013,1.0,1.851,49.97,3.0,3.085,0.6,32958.0,14160.0,221771
1740840847222,2025-03-01 14:54:07.222,237.3,0.013,1.0,1.851,49.97,3.0,3.085,0.6,32958.0,14160.0,221396
1740840847558,2025-03-01 14:54:07.558,237.3,0.013,1.0,1.851,49.97,3.0,3.085,0.6,32958.0,14160.0,230369
1740840847884,2025-03-01 14:54:07.884,237.28,0.014,2.0,1.96,49.97,3.0,3.322,0.59,32958.0,14160.0,220819
1740840848218,2025-03-01 14:54:08.218,237.28,0.014,2.0,1.96,49.97,3.0,3.322,0.59,32958.0,14160.0,228763
1740840848554,2025-03-01 14:54:08.554,237.28,0.014,2.0,1.96,49.97,3.0,3.322,0.59,32958.0,14160.0,230110
1740840848880,2025-03-01 14:54:08.880,237.38,0.013,1.0,1.821,49.97,3.0,3.086,0.59,32958.0,14160.0,220439
1740840849206,2025-03-01 14:54:09.206,237.38,0.013,1.0,1.821,49.97,3.0,3.086,0.59,32958.0,14160.0,220804
1740840849542,2025-03-01 14:54:09.542,237.38,0.013,1.0,1.821,49.97,3.0,3.086,0.59,32958.0,14160.0,230491
1740840849870,2025-03-01 14:54:09.870,237.4,0.013,1.0,1.913,49.97,3.0,3.086,0.62,32958.0,14160.0,221350
