Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740842724425,2025-03-01 15:25:24.425,235.44,0.013,1.0,1.898,49.97,3.0,3.061,0.62,32959.0,14160.0,251821
1740842724752,2025-03-01 15:25:24.752,235.36,0.013,1.0,1.897,49.97,3.0,3.06,0.62,32959.0,14160.0,221118
1740842725099,2025-03-01 15:25:25.099,235.36,0.013,1.0,1.897,49.97,3.0,3.06,0.62,32959.0,14160.0,242095
1740842725425,2025-03-01 15:25:25.425,235.36,0.013,1.0,1.897,49.97,3.0,3.06,0.62,32959.0,14160.0,221200
1740842725752,2025-03-01 15:25:25.752,235.38,0.013,1.0,1.928,49.97,3.0,3.06,0.63,32959.0,14160.0,221858
1740842726099,2025-03-01 15:25:26.099,235.38,0.013,1.0,1.928,49.97,3.0,3.06,0.63,32959.0,14160.0,241935
1740842726441,2025-03-01 15:25:26.441,235.38,0.013,1.0,1.928,49.97,3.0,3.06,0.63,32959.0,14160.0,237433
1740842726767,2025-03-01 15:25:26.767,235.34,0.013,1.0,1.897,49.97,3.0,3.059,0.62,32959.0,14160.0,220825
1740842727115,2025-03-01 15:25:27.115,235.34,0.013,1.0,1.897,49.97,3.0,3.059,0.62,32959.0,14160.0,242155
1740842727442,2025-03-01 15:25:27.442,235.34,0.013,1.0,1.897,49.97,3.0,3.059,0.62,32959.0,14160.0,222259
1740842727771,2025-03-01 15:25:27.771,235.34,0.014,2.0,1.977,49.97,3.0,3.295,0.6,32959.0,14160.0,223513
1740842728120,2025-03-01 15:25:28.120,235.34,0.014,2.0,1.977,49.97,3.0,3.295,0.6,32959.0,14160.0,242349
1740842728447,2025-03-01 15:25:28.447,235.34,0.014,2.0,1.977,49.97,3.0,3.295,0.6,32959.0,14160.0,221803
1740842728774,2025-03-01 15:25:28.774,235.38,0.014,2.0,2.01,49.97,3.0,3.295,0.61,32959.0,14160.0,221216
1740842729122,2025-03-01 15:25:29.122,235.38,0.014,2.0,2.01,49.97,3.0,3.295,0.61,32959.0,14160.0,242352
1740842729448,2025-03-01 15:25:29.448,235.38,0.014,2.0,2.01,49.97,3.0,3.295,0.61,32959.0,14160.0,220902
1740842729775,2025-03-01 15:25:29.775,235.48,0.013,1.0,1.898,49.97,3.0,3.061,0.62,32959.0,14160.0,222128
1740842730122,2025-03-01 15:25:30.122,235.48,0.013,1.0,1.898,49.97,3.0,3.061,0.62,32959.0,14160.0,242019
1740842730450,2025-03-01 15:25:30.450,235.48,0.013,1.0,1.898,49.97,3.0,3.061,0.62,32959.0,14160.0,222043
1740842730777,2025-03-01 15:25:30.777,235.5,0.013,1.0,1.898,49.97,3.0,3.061,0.62,32959.0,14160.0,220903
1740842731123,2025-03-01 15:25:31.123,235.5,0.013,1.0,1.898,49.97,3.0,3.061,0.62,32959.0,14160.0,241039
1740842731450,2025-03-01 15:25:31.450,235.5,0.013,1.0,1.898,49.97,3.0,3.061,0.62,32959.0,14160.0,221560
1740842731776,2025-03-01 15:25:31.776,235.42,0.013,1.0,1.928,49.97,3.0,3.06,0.63,32959.0,14160.0,220247
1740842732125,2025-03-01 15:25:32.125,235.42,0.013,1.0,1.928,49.97,3.0,3.06,0.63,32959.0,14160.0,242625
1740842732452,2025-03-01 15:25:32.452,235.42,0.013,1.0,1.928,49.97,3.0,3.06,0.63,32959.0,14160.0,222130
1740842732778,2025-03-01 15:25:32.778,235.36,0.014,2.0,2.01,49.97,3.0,3.295,0.61,32959.0,14160.0,220674
1740842733125,2025-03-01 15:25:33.125,235.36,0.014,2.0,2.01,49.97,3.0,3.295,0.61,32959.0,14160.0,241876
1740842733452,2025-03-01 15:25:33.452,235.36,0.014,2.0,2.01,49.97,3.0,3.295,0.61,32959.0,14160.0,220929
1740842733778,2025-03-01 15:25:33.778,235.35,0.016,2.0,2.297,49.97,3.0,3.766,0.61,32959.0,14160.0,221241
1740842734126,2025-03-01 15:25:34.126,235.35,0.016,2.0,2.297,49.97,3.0,3.766,0.61,32959.0,14160.0,242701
1740842734452,2025-03-01 15:25:34.452,235.35,0.016,2.0,2.297,49.97,3.0,3.766,0.61,32959.0,14160.0,220992
1740842734779,2025-03-01 15:25:34.779,235.31,0.017,2.0,2.36,49.97,3.0,4.0,0.59,32959.0,14160.0,221177
1740842735126,2025-03-01 15:25:35.126,235.31,0.017,2.0,2.36,49.97,3.0,4.0,0.59,32959.0,14160.0,241503
1740842735452,2025-03-01 15:25:35.452,235.31,0.017,2.0,2.36,49.97,3.0,4.0,0.59,32959.0,14160.0,221130
1740842735808,2025-03-01 15:25:35.808,235.35,0.017,2.0,2.361,49.98,4.0,4.001,0.59,32959.0,14160.0,223501
1740842736156,2025-03-01 15:25:36.156,235.35,0.017,2.0,2.361,49.98,4.0,4.001,0.59,32959.0,14160.0,242405
1740842736484,2025-03-01 15:25:36.484,235.35,0.017,2.0,2.361,49.98,4.0,4.001,0.59,32959.0,14160.0,222030
1740842736811,2025-03-01 15:25:36.811,235.33,0.017,2.0,2.32,49.98,4.0,4.001,0.58,32959.0,14160.0,221391
1740842737180,2025-03-01 15:25:37.180,235.33,0.017,2.0,2.32,49.98,4.0,4.001,0.58,32959.0,14160.0,243110
1740842737508,2025-03-01 15:25:37.508,235.33,0.017,2.0,2.32,49.98,4.0,4.001,0.58,32959.0,14160.0,221742
1740842737836,2025-03-01 15:25:37.836,235.33,0.017,2.0,2.32,49.97,4.0,4.001,0.58,32959.0,14160.0,222915
1740842738184,2025-03-01 15:25:38.184,235.33,0.017,2.0,2.32,49.97,4.0,4.001,0.58,32959.0,14160.0,242088
1740842738540,2025-03-01 15:25:38.540,235.33,0.017,2.0,2.32,49.97,4.0,4.001,0.58,32959.0,14160.0,229154
1740842738866,2025-03-01 15:25:38.866,235.32,0.017,2.0,2.36,49.97,4.0,4.0,0.59,32959.0,14160.0,220842
1740842739214,2025-03-01 15:25:39.214,235.32,0.017,2.0,2.36,49.97,4.0,4.0,0.59,32959.0,14160.0,242167
1740842739548,2025-03-01 15:25:39.548,235.32,0.017,2.0,2.36,49.97,4.0,4.0,0.59,32959.0,14160.0,228507
1740842739895,2025-03-01 15:25:39.895,235.21,0.017,2.0,2.359,49.97,4.0,3.999,0.59,32959.0,14160.0,220921
1740842740272,2025-03-01 15:25:40.272,235.21,0.017,2.0,2.359,49.97,4.0,3.999,0.59,32959.0,14160.0,272451
1740842740607,2025-03-01 15:25:40.607,235.21,0.017,2.0,2.359,49.97,4.0,3.999,0.59,32959.0,14160.0,228654
1740842740934,2025-03-01 15:25:40.934,235.1,0.017,2.0,2.358,49.97,4.0,3.997,0.59,32959.0,14160.0,221552
1740842741283,2025-03-01 15:25:41.283,235.1,0.017,2.0,2.358,49.97,4.0,3.997,0.59,32959.0,14160.0,243536
1740842741618,2025-03-01 15:25:41.618,235.1,0.017,2.0,2.358,49.97,4.0,3.997,0.59,32959.0,14160.0,229008
1740842741945,2025-03-01 15:25:41.945,235.07,0.017,2.0,2.358,49.97,4.0,3.996,0.59,32959.0,14160.0,220982
1740842742322,2025-03-01 15:25:42.322,235.07,0.017,2.0,2.358,49.97,4.0,3.996,0.59,32959.0,14160.0,272510
1740842742658,2025-03-01 15:25:42.658,235.07,0.017,2.0,2.358,49.97,4.0,3.996,0.59,32959.0,14160.0,229915
1740842742990,2025-03-01 15:25:42.990,235.0,0.017,2.0,2.357,49.97,4.0,3.995,0.59,32959.0,14160.0,220407
1740842743338,2025-03-01 15:25:43.338,235.0,0.017,2.0,2.357,49.97,4.0,3.995,0.59,32959.0,14160.0,242591
1740842743672,2025-03-01 15:25:43.672,235.0,0.017,2.0,2.357,49.97,4.0,3.995,0.59,32959.0,14160.0,228707
1740842743999,2025-03-01 15:25:43.999,234.96,0.017,2.0,2.357,49.97,4.0,3.994,0.59,32959.0,14160.0,221013
1740842744377,2025-03-01 15:25:44.377,234.96,0.017,2.0,2.357,49.97,4.0,3.994,0.59,32959.0,14160.0,271992
1740842744711,2025-03-01 15:25:44.711,235.0,0.017,2.0,2.357,49.97,4.0,3.995,0.59,32959.0,14160.0,228370
1740842745037,2025-03-01 15:25:45.037,235.0,0.017,2.0,2.357,49.97,4.0,3.995,0.59,32959.0,14160.0,221089
1740842745362,2025-03-01 15:25:45.362,235.0,0.017,2.0,2.357,49.97,4.0,3.995,0.59,32959.0,14160.0,220140
1740842745697,2025-03-01 15:25:45.697,235.0,0.017,2.0,2.357,49.97,4.0,3.995,0.59,32959.0,14160.0,229437
1740842746024,2025-03-01 15:25:46.024,235.03,0.017,2.0,2.437,49.97,3.0,3.996,0.61,32959.0,14160.0,221553
1740842746392,2025-03-01 15:25:46.392,235.03,0.017,2.0,2.437,49.97,3.0,3.996,0.61,32959.0,14160.0,261859
1740842746727,2025-03-01 15:25:46.727,235.1,0.014,2.0,2.041,49.97,3.0,3.291,0.62,32959.0,14160.0,229335
1740842747054,2025-03-01 15:25:47.054,235.1,0.014,2.0,2.041,49.97,3.0,3.291,0.62,32959.0,14160.0,221582
1740842747380,2025-03-01 15:25:47.380,235.1,0.014,2.0,2.041,49.97,3.0,3.291,0.62,32959.0,14160.0,220395
1740842747717,2025-03-01 15:25:47.717,235.13,0.013,1.0,1.926,49.97,3.0,3.057,0.63,32959.0,14160.0,231486
1740842748044,2025-03-01 15:25:48.044,235.13,0.013,1.0,1.926,49.97,3.0,3.057,0.63,32959.0,14160.0,221303
1740842748406,2025-03-01 15:25:48.406,235.13,0.013,1.0,1.926,49.97,3.0,3.057,0.63,32959.0,14160.0,256770
