Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740659797240,2025-02-27 12:36:37.240,235.44,0.014,2.0,2.011,49.99,3.0,3.296,0.61,32945.0,14156.0,219049
1740659797562,2025-02-27 12:36:37.562,235.44,0.014,2.0,2.011,49.99,3.0,3.296,0.61,32945.0,14156.0,219363
1740659797884,2025-02-27 12:36:37.884,235.44,0.014,2.0,2.011,49.99,3.0,3.296,0.61,32945.0,14156.0,218882
1740659798206,2025-02-27 12:36:38.206,235.48,0.014,2.0,2.011,50.0,3.0,3.297,0.61,32945.0,14156.0,219006
1740659798549,2025-02-27 12:36:38.549,235.48,0.014,2.0,2.011,50.0,3.0,3.297,0.61,32945.0,14156.0,239893
1740659798870,2025-02-27 12:36:38.870,235.48,0.014,2.0,2.011,50.0,3.0,3.297,0.61,32945.0,14156.0,218679
1740659799192,2025-02-27 12:36:39.192,235.6,0.014,2.0,2.012,50.0,3.0,3.298,0.61,32945.0,14156.0,219747
1740659799514,2025-02-27 12:36:39.514,235.6,0.014,2.0,2.012,50.0,3.0,3.298,0.61,32945.0,14156.0,218833
1740659799835,2025-02-27 12:36:39.835,235.6,0.014,2.0,2.012,50.0,3.0,3.298,0.61,32945.0,14156.0,219514
1740659800158,2025-02-27 12:36:40.158,235.56,0.013,1.0,1.96,50.0,3.0,3.062,0.64,32945.0,14156.0,219878
1740659800500,2025-02-27 12:36:40.500,235.56,0.013,1.0,1.96,50.0,3.0,3.062,0.64,32945.0,14156.0,239167
1740659800822,2025-02-27 12:36:40.822,235.56,0.013,1.0,1.96,50.0,3.0,3.062,0.64,32945.0,14156.0,219321
1740659801151,2025-02-27 12:36:41.151,235.51,0.014,2.0,2.011,50.0,3.0,3.297,0.61,32945.0,14156.0,226873
1740659801472,2025-02-27 12:36:41.472,235.51,0.014,2.0,2.011,50.0,3.0,3.297,0.61,32945.0,14156.0,218442
1740659801794,2025-02-27 12:36:41.794,235.51,0.014,2.0,2.011,50.0,3.0,3.297,0.61,32945.0,14156.0,218882
1740659802123,2025-02-27 12:36:42.123,235.59,0.014,2.0,2.012,50.0,3.0,3.298,0.61,32945.0,14156.0,226683
1740659802445,2025-02-27 12:36:42.445,235.59,0.014,2.0,2.012,50.0,3.0,3.298,0.61,32945.0,14156.0,218836
1740659802767,2025-02-27 12:36:42.767,235.59,0.014,2.0,2.012,50.0,3.0,3.298,0.61,32945.0,14156.0,218794
1740659803096,2025-02-27 12:36:43.096,235.59,0.014,2.0,2.012,50.0,3.0,3.298,0.61,32945.0,14156.0,226737
1740659803418,2025-02-27 12:36:43.418,235.57,0.015,2.0,2.12,50.0,3.0,3.534,0.6,32945.0,14156.0,219099
1740659803740,2025-02-27 12:36:43.740,235.57,0.015,2.0,2.12,50.0,3.0,3.534,0.6,32945.0,14156.0,219372
1740659804069,2025-02-27 12:36:44.069,235.57,0.015,2.0,2.12,50.0,3.0,3.534,0.6,32945.0,14156.0,225922
