Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740591202576,2025-02-26 17:33:22.576,234.91,0.014,2.0,1.973,50.0,3.0,3.289,0.6,32940.0,14155.0,226680
1740591202898,2025-02-26 17:33:22.898,234.91,0.014,2.0,2.006,49.99,3.0,3.289,0.61,32940.0,14155.0,219529
1740591203220,2025-02-26 17:33:23.220,234.91,0.014,2.0,2.006,49.99,3.0,3.289,0.61,32940.0,14155.0,219281
1740591203558,2025-02-26 17:33:23.558,234.91,0.014,2.0,2.006,49.99,3.0,3.289,0.61,32940.0,14155.0,235202
1740591203882,2025-02-26 17:33:23.882,234.84,0.015,2.0,2.114,49.99,3.0,3.523,0.6,32940.0,14155.0,219921
1740591204203,2025-02-26 17:33:24.203,234.84,0.015,2.0,2.114,49.99,3.0,3.523,0.6,32940.0,14155.0,219265
1740591204532,2025-02-26 17:33:24.532,234.84,0.015,2.0,2.114,49.99,3.0,3.523,0.6,32940.0,14155.0,226331
1740591204854,2025-02-26 17:33:24.854,234.88,0.014,2.0,2.006,49.99,3.0,3.288,0.61,32940.0,14155.0,218934
1740591205176,2025-02-26 17:33:25.176,234.88,0.014,2.0,2.006,49.99,3.0,3.288,0.61,32940.0,14155.0,219248
1740591205497,2025-02-26 17:33:25.497,234.88,0.014,2.0,2.006,49.99,3.0,3.288,0.61,32940.0,14155.0,219003
1740591205819,2025-02-26 17:33:25.819,234.9,0.014,2.0,2.006,49.99,3.0,3.289,0.61,32940.0,14155.0,219009
1740591206140,2025-02-26 17:33:26.140,234.9,0.014,2.0,2.006,49.99,3.0,3.289,0.61,32940.0,14155.0,218694
1740591206463,2025-02-26 17:33:26.463,234.9,0.014,2.0,2.006,49.99,3.0,3.289,0.61,32940.0,14155.0,219995
1740591206785,2025-02-26 17:33:26.785,234.78,0.014,2.0,2.005,49.99,3.0,3.287,0.61,32940.0,14155.0,219505
1740591207106,2025-02-26 17:33:27.106,234.78,0.014,2.0,2.005,49.99,3.0,3.287,0.61,32940.0,14155.0,218617
1740591207428,2025-02-26 17:33:27.428,234.78,0.014,2.0,2.005,49.99,3.0,3.287,0.61,32940.0,14155.0,219037
1740591207749,2025-02-26 17:33:27.749,234.85,0.014,2.0,2.006,49.98,3.0,3.288,0.61,32940.0,14155.0,218943
1740591208071,2025-02-26 17:33:28.071,234.85,0.014,2.0,2.006,49.98,3.0,3.288,0.61,32940.0,14155.0,218778
1740591208393,2025-02-26 17:33:28.393,234.85,0.014,2.0,2.006,49.98,3.0,3.288,0.61,32940.0,14155.0,219826
1740591208721,2025-02-26 17:33:28.721,234.77,0.014,2.0,1.972,49.98,3.0,3.287,0.6,32940.0,14155.0,224854
1740591209044,2025-02-26 17:33:29.044,234.77,0.014,2.0,1.972,49.98,3.0,3.287,0.6,32940.0,14155.0,220586
1740591209366,2025-02-26 17:33:29.366,234.77,0.014,2.0,1.972,49.98,3.0,3.287,0.6,32940.0,14155.0,219505
1740591209705,2025-02-26 17:33:29.705,234.78,0.014,2.0,2.038,49.98,3.0,3.287,0.62,32940.0,14155.0,235388
1740591210026,2025-02-26 17:33:30.026,234.78,0.014,2.0,2.038,49.98,3.0,3.287,0.62,32940.0,14155.0,219124
1740591210349,2025-02-26 17:33:30.349,234.78,0.014,2.0,2.038,49.98,3.0,3.287,0.62,32940.0,14155.0,220011
1740591210678,2025-02-26 17:33:30.678,234.72,0.014,2.0,2.005,49.98,3.0,3.286,0.61,32940.0,14155.0,226351
1740591210999,2025-02-26 17:33:30.999,234.72,0.014,2.0,2.005,49.98,3.0,3.286,0.61,32940.0,14155.0,219148
1740591211321,2025-02-26 17:33:31.321,234.72,0.014,2.0,2.005,49.98,3.0,3.286,0.61,32940.0,14155.0,219081
1740591211659,2025-02-26 17:33:31.659,234.72,0.014,2.0,2.005,49.98,3.0,3.286,0.61,32940.0,14155.0,235369
1740591211980,2025-02-26 17:33:31.980,234.86,0.013,1.0,1.893,49.98,3.0,3.053,0.62,32940.0,14155.0,219150
1740591212302,2025-02-26 17:33:32.302,234.86,0.013,1.0,1.893,49.98,3.0,3.053,0.62,32940.0,14155.0,219011
1740591212631,2025-02-26 17:33:32.631,234.86,0.013,1.0,1.893,49.98,3.0,3.053,0.62,32940.0,14155.0,226306
1740591212952,2025-02-26 17:33:32.952,234.85,0.014,2.0,2.038,49.98,3.0,3.288,0.62,32940.0,14155.0,218557
1740591213275,2025-02-26 17:33:33.275,234.85,0.014,2.0,2.038,49.98,3.0,3.288,0.62,32940.0,14155.0,219969
1740591213614,2025-02-26 17:33:33.614,234.85,0.014,2.0,2.038,49.98,3.0,3.288,0.62,32940.0,14155.0,236886
1740591213936,2025-02-26 17:33:33.936,234.8,0.014,2.0,2.005,49.98,3.0,3.287,0.61,32940.0,14155.0,218683
1740591214258,2025-02-26 17:33:34.258,234.8,0.014,2.0,2.005,49.98,3.0,3.287,0.61,32940.0,14155.0,219330
1740591214588,2025-02-26 17:33:34.588,234.8,0.014,2.0,2.005,49.98,3.0,3.287,0.61,32940.0,14155.0,227448
1740591214910,2025-02-26 17:33:34.910,234.75,0.014,2.0,2.005,49.97,3.0,3.287,0.61,32940.0,14155.0,218912
1740591215231,2025-02-26 17:33:35.231,234.75,0.014,2.0,2.005,49.97,3.0,3.287,0.61,32940.0,14155.0,219188
1740591215569,2025-02-26 17:33:35.569,234.75,0.014,2.0,2.005,49.97,3.0,3.287,0.61,32940.0,14155.0,235382
1740591215892,2025-02-26 17:33:35.892,234.73,0.013,1.0,1.922,49.97,3.0,3.051,0.63,32940.0,14155.0,219642
1740591216213,2025-02-26 17:33:36.213,234.73,0.013,1.0,1.922,49.97,3.0,3.051,0.63,32940.0,14155.0,218686
1740591216542,2025-02-26 17:33:36.542,234.73,0.013,1.0,1.922,49.97,3.0,3.051,0.63,32940.0,14155.0,226639
1740591216864,2025-02-26 17:33:36.864,234.77,0.013,1.0,1.892,49.97,3.0,3.052,0.62,32940.0,14155.0,219149
1740591217187,2025-02-26 17:33:37.187,234.77,0.013,1.0,1.892,49.97,3.0,3.052,0.62,32940.0,14155.0,218875
1740591217523,2025-02-26 17:33:37.523,234.77,0.013,1.0,1.892,49.97,3.0,3.052,0.62,32940.0,14155.0,233263
1740591217846,2025-02-26 17:33:37.846,234.76,0.014,2.0,2.005,49.97,3.0,3.287,0.61,32940.0,14155.0,220202
1740591218168,2025-02-26 17:33:38.168,234.76,0.014,2.0,2.005,49.97,3.0,3.287,0.61,32940.0,14155.0,219693
1740591218489,2025-02-26 17:33:38.489,234.76,0.014,2.0,2.005,49.97,3.0,3.287,0.61,32940.0,14155.0,218863
1740591218812,2025-02-26 17:33:38.812,234.76,0.013,1.0,1.892,49.97,3.0,3.052,0.62,32940.0,14155.0,219270
1740591219135,2025-02-26 17:33:39.135,234.76,0.013,1.0,1.892,49.97,3.0,3.052,0.62,32940.0,14155.0,220709
1740591219457,2025-02-26 17:33:39.457,234.76,0.013,1.0,1.892,49.97,3.0,3.052,0.62,32940.0,14155.0,219751
