Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740590080446,2025-02-26 17:14:40.446,235.08,0.014,2.0,2.04,50.0,3.0,3.291,0.62,32940.0,14155.0,219032
1740590080770,2025-02-26 17:14:40.770,235.14,0.013,1.0,1.895,50.0,3.0,3.057,0.62,32940.0,14155.0,220289
1740590081091,2025-02-26 17:14:41.091,235.14,0.013,1.0,1.895,50.0,3.0,3.057,0.62,32940.0,14155.0,219023
1740590081415,2025-02-26 17:14:41.415,235.14,0.013,1.0,1.895,50.0,3.0,3.057,0.62,32940.0,14155.0,220565
1740590081737,2025-02-26 17:14:41.737,235.04,0.015,2.0,2.08,50.0,3.0,3.526,0.59,32940.0,14155.0,219036
1740590082058,2025-02-26 17:14:42.058,235.04,0.015,2.0,2.08,50.0,3.0,3.526,0.59,32940.0,14155.0,219043
1740590082381,2025-02-26 17:14:42.381,235.04,0.015,2.0,2.08,50.0,3.0,3.526,0.59,32940.0,14155.0,219326
1740590082702,2025-02-26 17:14:42.702,234.97,0.015,2.0,2.115,50.0,3.0,3.525,0.6,32940.0,14155.0,219198
1740590083024,2025-02-26 17:14:43.024,234.97,0.015,2.0,2.115,50.0,3.0,3.525,0.6,32940.0,14155.0,218984
1740590083346,2025-02-26 17:14:43.346,234.97,0.015,2.0,2.115,50.0,3.0,3.525,0.6,32940.0,14155.0,219616
1740590083684,2025-02-26 17:14:43.684,234.93,0.014,2.0,1.941,50.0,3.0,3.289,0.59,32940.0,14155.0,236169
1740590084007,2025-02-26 17:14:44.007,234.93,0.014,2.0,1.941,50.0,3.0,3.289,0.59,32940.0,14155.0,219427
1740590084329,2025-02-26 17:14:44.329,234.93,0.014,2.0,1.941,50.0,3.0,3.289,0.59,32940.0,14155.0,219920
1740590084659,2025-02-26 17:14:44.659,234.91,0.015,2.0,2.114,50.01,3.0,3.524,0.6,32940.0,14155.0,226792
1740590084981,2025-02-26 17:14:44.981,234.91,0.015,2.0,2.114,50.01,3.0,3.524,0.6,32940.0,14155.0,219688
1740590085304,2025-02-26 17:14:45.304,234.91,0.015,2.0,2.114,50.01,3.0,3.524,0.6,32940.0,14155.0,220078
1740590085641,2025-02-26 17:14:45.641,234.91,0.015,2.0,2.114,50.01,3.0,3.524,0.6,32940.0,14155.0,234805
1740590085964,2025-02-26 17:14:45.964,235.03,0.014,2.0,1.941,50.01,3.0,3.29,0.59,32940.0,14155.0,219256
1740590086286,2025-02-26 17:14:46.286,235.03,0.014,2.0,1.941,50.01,3.0,3.29,0.59,32940.0,14155.0,219666
1740590086617,2025-02-26 17:14:46.617,235.03,0.014,2.0,1.941,50.01,3.0,3.29,0.59,32940.0,14155.0,227153
1740590086938,2025-02-26 17:14:46.938,235.05,0.014,2.0,2.007,50.01,3.0,3.291,0.61,32940.0,14155.0,218842
1740590087260,2025-02-26 17:14:47.260,235.05,0.014,2.0,2.007,50.01,3.0,3.291,0.61,32940.0,14155.0,219347
1740590087599,2025-02-26 17:14:47.599,235.05,0.014,2.0,2.007,50.01,3.0,3.291,0.61,32940.0,14155.0,235560
1740590087920,2025-02-26 17:14:47.920,235.14,0.014,2.0,1.942,50.01,3.0,3.292,0.59,32940.0,14155.0,218568
1740590088242,2025-02-26 17:14:48.242,235.14,0.014,2.0,1.942,50.01,3.0,3.292,0.59,32940.0,14155.0,219619
1740590088573,2025-02-26 17:14:48.573,235.14,0.014,2.0,1.942,50.01,3.0,3.292,0.59,32940.0,14155.0,227721
1740590088896,2025-02-26 17:14:48.896,235.1,0.014,1.0,1.975,50.01,3.0,3.291,0.6,32940.0,14155.0,220901
1740590089218,2025-02-26 17:14:49.218,235.1,0.014,1.0,1.975,50.01,3.0,3.291,0.6,32940.0,14155.0,219844
1740590089556,2025-02-26 17:14:49.556,235.1,0.014,1.0,1.975,50.01,3.0,3.291,0.6,32940.0,14155.0,234954
1740590089878,2025-02-26 17:14:49.878,235.12,0.014,2.0,1.942,50.02,3.0,3.292,0.59,32940.0,14155.0,219158
1740590090200,2025-02-26 17:14:50.200,235.12,0.014,2.0,1.942,50.02,3.0,3.292,0.59,32940.0,14155.0,219321
1740590090529,2025-02-26 17:14:50.529,235.12,0.014,2.0,1.942,50.02,3.0,3.292,0.59,32940.0,14155.0,226297
1740590090851,2025-02-26 17:14:50.851,235.01,0.014,2.0,2.007,50.01,3.0,3.29,0.61,32940.0,14155.0,219646
1740590091173,2025-02-26 17:14:51.173,235.01,0.014,2.0,2.007,50.01,3.0,3.29,0.61,32940.0,14155.0,219283
