Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740656737666,2025-02-27 11:45:37.666,233.92,0.014,2.0,2.03,49.97,3.0,3.275,0.62,32943.0,14156.0,240283
1740656737995,2025-02-27 11:45:37.995,233.92,0.014,2.0,2.03,49.97,3.0,3.275,0.62,32943.0,14156.0,226799
1740656738317,2025-02-27 11:45:38.317,233.95,0.014,2.0,1.998,49.97,3.0,3.275,0.61,32943.0,14156.0,218654
1740656738660,2025-02-27 11:45:38.660,233.95,0.014,2.0,1.998,49.97,3.0,3.275,0.61,32943.0,14156.0,239676
1740656739001,2025-02-27 11:45:39.001,233.95,0.014,2.0,1.998,49.97,3.0,3.275,0.61,32943.0,14156.0,237819
1740656739322,2025-02-27 11:45:39.322,233.87,0.014,2.0,2.03,49.97,3.0,3.274,0.62,32943.0,14156.0,218640
1740656739664,2025-02-27 11:45:39.664,233.87,0.014,2.0,2.03,49.97,3.0,3.274,0.62,32943.0,14156.0,239758
1740656739996,2025-02-27 11:45:39.996,233.87,0.014,2.0,2.03,49.97,3.0,3.274,0.62,32943.0,14156.0,230256
1740656740318,2025-02-27 11:45:40.318,233.85,0.014,2.0,1.997,49.97,3.0,3.274,0.61,32943.0,14156.0,218510
1740656740660,2025-02-27 11:45:40.660,233.85,0.014,2.0,1.997,49.97,3.0,3.274,0.61,32943.0,14156.0,239475
1740656740989,2025-02-27 11:45:40.989,233.85,0.014,2.0,1.997,49.97,3.0,3.274,0.61,32943.0,14156.0,226363
1740656741311,2025-02-27 11:45:41.311,233.81,0.014,2.0,1.964,49.97,3.0,3.273,0.6,32943.0,14156.0,219096
1740656741654,2025-02-27 11:45:41.654,233.81,0.014,2.0,1.964,49.97,3.0,3.273,0.6,32943.0,14156.0,241155
1740656741983,2025-02-27 11:45:41.983,233.81,0.014,2.0,1.964,49.97,3.0,3.273,0.6,32943.0,14156.0,226414
1740656742305,2025-02-27 11:45:42.305,233.84,0.014,2.0,1.964,49.98,3.0,3.274,0.6,32943.0,14156.0,218725
1740656742648,2025-02-27 11:45:42.648,233.84,0.014,2.0,1.964,49.98,3.0,3.274,0.6,32943.0,14156.0,240605
1740656742977,2025-02-27 11:45:42.977,233.84,0.014,2.0,1.964,49.98,3.0,3.274,0.6,32943.0,14156.0,226116
1740656743300,2025-02-27 11:45:43.300,233.84,0.014,2.0,2.03,49.98,3.0,3.274,0.62,32943.0,14156.0,219285
1740656743642,2025-02-27 11:45:43.642,233.84,0.014,2.0,2.03,49.98,3.0,3.274,0.62,32943.0,14156.0,240121
1740656743972,2025-02-27 11:45:43.972,233.84,0.014,2.0,2.03,49.98,3.0,3.274,0.62,32943.0,14156.0,226574
1740656744294,2025-02-27 11:45:44.294,233.76,0.013,1.0,1.854,49.98,3.0,3.039,0.61,32943.0,14156.0,219222
1740656744637,2025-02-27 11:45:44.637,233.76,0.013,1.0,1.854,49.98,3.0,3.039,0.61,32943.0,14156.0,240705
1740656744966,2025-02-27 11:45:44.966,233.76,0.013,1.0,1.854,49.98,3.0,3.039,0.61,32943.0,14156.0,226438
1740656745287,2025-02-27 11:45:45.287,233.78,0.013,1.0,1.884,49.98,3.0,3.039,0.62,32943.0,14156.0,219024
1740656745630,2025-02-27 11:45:45.630,233.78,0.013,1.0,1.884,49.98,3.0,3.039,0.62,32943.0,14156.0,240249
1740656745961,2025-02-27 11:45:45.961,233.78,0.013,1.0,1.884,49.98,3.0,3.039,0.62,32943.0,14156.0,227065
1740656746283,2025-02-27 11:45:46.283,233.74,0.013,1.0,1.884,49.98,3.0,3.039,0.62,32943.0,14156.0,219932
1740656746625,2025-02-27 11:45:46.625,233.74,0.013,1.0,1.884,49.98,3.0,3.039,0.62,32943.0,14156.0,239102
1740656746956,2025-02-27 11:45:46.956,233.74,0.013,1.0,1.884,49.98,3.0,3.039,0.62,32943.0,14156.0,227701
1740656747278,2025-02-27 11:45:47.278,233.78,0.013,1.0,1.884,49.98,3.0,3.039,0.62,32943.0,14156.0,219532
1740656747619,2025-02-27 11:45:47.619,233.78,0.013,1.0,1.884,49.98,3.0,3.039,0.62,32943.0,14156.0,238005
1740656747949,2025-02-27 11:45:47.949,233.78,0.013,1.0,1.884,49.98,3.0,3.039,0.62,32943.0,14156.0,227607
1740656748271,2025-02-27 11:45:48.271,233.66,0.014,2.0,1.963,49.98,3.0,3.271,0.6,32943.0,14156.0,219152
1740656748595,2025-02-27 11:45:48.595,233.66,0.014,2.0,1.963,49.98,3.0,3.271,0.6,32943.0,14156.0,220372
1740656748925,2025-02-27 11:45:48.925,233.66,0.014,2.0,1.963,49.98,3.0,3.271,0.6,32943.0,14156.0,227122
1740656749247,2025-02-27 11:45:49.247,233.72,0.014,2.0,1.996,49.98,3.0,3.272,0.61,32943.0,14156.0,219945
1740656749569,2025-02-27 11:45:49.569,233.72,0.014,2.0,1.996,49.98,3.0,3.272,0.61,32943.0,14156.0,218723
1740656749900,2025-02-27 11:45:49.900,233.72,0.014,2.0,1.996,49.98,3.0,3.272,0.61,32943.0,14156.0,229131
1740656750222,2025-02-27 11:45:50.222,233.76,0.014,2.0,1.964,49.98,3.0,3.273,0.6,32943.0,14156.0,219351
1740656750543,2025-02-27 11:45:50.543,233.76,0.014,2.0,1.964,49.98,3.0,3.273,0.6,32943.0,14156.0,218812
1740656750872,2025-02-27 11:45:50.872,233.76,0.014,2.0,1.964,49.98,3.0,3.273,0.6,32943.0,14156.0,226360
1740656751194,2025-02-27 11:45:51.194,233.8,0.015,2.0,2.104,49.98,3.0,3.507,0.6,32943.0,14156.0,219173
1740656751517,2025-02-27 11:45:51.517,233.8,0.015,2.0,2.104,49.98,3.0,3.507,0.6,32943.0,14156.0,219701
1740656751841,2025-02-27 11:45:51.841,233.8,0.015,2.0,2.104,49.98,3.0,3.507,0.6,32943.0,14156.0,221265
1740656752163,2025-02-27 11:45:52.163,233.72,0.014,2.0,1.963,49.98,3.0,3.272,0.6,32943.0,14156.0,219712
1740656752484,2025-02-27 11:45:52.484,233.72,0.014,2.0,1.963,49.98,3.0,3.272,0.6,32943.0,14156.0,218487
1740656752826,2025-02-27 11:45:52.826,233.72,0.014,2.0,1.963,49.98,3.0,3.272,0.6,32943.0,14156.0,239151
1740656753149,2025-02-27 11:45:53.149,233.69,0.013,1.0,1.884,49.98,3.0,3.038,0.62,32943.0,14156.0,219801
1740656753470,2025-02-27 11:45:53.470,233.69,0.013,1.0,1.884,49.98,3.0,3.038,0.62,32943.0,14156.0,218537
1740656753812,2025-02-27 11:45:53.812,233.69,0.013,1.0,1.884,49.98,3.0,3.038,0.62,32943.0,14156.0,239801
1740656754135,2025-02-27 11:45:54.135,233.73,0.013,1.0,1.853,49.98,3.0,3.038,0.61,32943.0,14156.0,219366
1740656754457,2025-02-27 11:45:54.457,233.73,0.013,1.0,1.853,49.98,3.0,3.038,0.61,32943.0,14156.0,219544
1740656754800,2025-02-27 11:45:54.800,233.73,0.013,1.0,1.853,49.98,3.0,3.038,0.61,32943.0,14156.0,239413
1740656755122,2025-02-27 11:45:55.122,233.63,0.013,1.0,1.883,49.98,3.0,3.037,0.62,32943.0,14156.0,219355
1740656755444,2025-02-27 11:45:55.444,233.63,0.013,1.0,1.883,49.98,3.0,3.037,0.62,32943.0,14156.0,219030
1740656755787,2025-02-27 11:45:55.787,233.63,0.013,1.0,1.883,49.98,3.0,3.037,0.62,32943.0,14156.0,239871
1740656756110,2025-02-27 11:45:56.110,233.6,0.014,2.0,1.962,49.98,3.0,3.27,0.6,32943.0,14156.0,219853
1740656756432,2025-02-27 11:45:56.432,233.6,0.014,2.0,1.962,49.98,3.0,3.27,0.6,32943.0,14156.0,219459
