Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741185065426,2025-03-05 14:31:05.426,234.6,0.012,1.0,1.83,49.97,2.0,2.815,0.65,32963.0,14161.0,220507
1741185065748,2025-03-05 14:31:05.748,234.6,0.012,1.0,1.83,49.97,2.0,2.815,0.65,32963.0,14161.0,218976
1741185066071,2025-03-05 14:31:06.071,234.6,0.012,1.0,1.83,49.97,2.0,2.815,0.65,32963.0,14161.0,220552
1741185066393,2025-03-05 14:31:06.393,234.51,0.014,2.0,2.036,49.97,3.0,3.283,0.62,32963.0,14161.0,218899
1741185066717,2025-03-05 14:31:06.717,234.51,0.014,2.0,2.036,49.97,3.0,3.283,0.62,32963.0,14161.0,218887
1741185067041,2025-03-05 14:31:07.041,234.51,0.014,2.0,2.036,49.97,3.0,3.283,0.62,32963.0,14161.0,221739
1741185067371,2025-03-05 14:31:07.371,234.47,0.013,1.0,1.92,49.97,3.0,3.048,0.63,32963.0,14161.0,226913
1741185067692,2025-03-05 14:31:07.692,234.47,0.013,1.0,1.92,49.97,3.0,3.048,0.63,32963.0,14161.0,218740
1741185068013,2025-03-05 14:31:08.013,234.47,0.013,1.0,1.92,49.97,3.0,3.048,0.63,32963.0,14161.0,218256
1741185068343,2025-03-05 14:31:08.343,234.51,0.013,1.0,1.921,49.97,3.0,3.049,0.63,32963.0,14161.0,226819
1741185068664,2025-03-05 14:31:08.664,234.51,0.013,1.0,1.921,49.97,3.0,3.049,0.63,32963.0,14161.0,218638
1741185068986,2025-03-05 14:31:08.986,234.51,0.013,1.0,1.921,49.97,3.0,3.049,0.63,32963.0,14161.0,218964
1741185069317,2025-03-05 14:31:09.317,234.51,0.013,1.0,1.921,49.97,3.0,3.049,0.63,32963.0,14161.0,227462
1741185069642,2025-03-05 14:31:09.642,234.56,0.013,1.0,1.921,49.97,3.0,3.049,0.63,32963.0,14161.0,220869
1741185069963,2025-03-05 14:31:09.963,234.56,0.013,1.0,1.921,49.97,3.0,3.049,0.63,32963.0,14161.0,218260
1741185070293,2025-03-05 14:31:10.293,234.56,0.013,1.0,1.921,49.97,3.0,3.049,0.63,32963.0,14161.0,227931
1741185070615,2025-03-05 14:31:10.615,234.53,0.012,1.0,1.829,49.96,2.0,2.814,0.65,32963.0,14161.0,218823
1741185070937,2025-03-05 14:31:10.937,234.53,0.012,1.0,1.829,49.96,2.0,2.814,0.65,32963.0,14161.0,219222
1741185071267,2025-03-05 14:31:11.267,234.53,0.012,1.0,1.829,49.96,2.0,2.814,0.65,32963.0,14161.0,227575
1741185071589,2025-03-05 14:31:11.589,234.41,0.013,1.0,1.889,49.96,3.0,3.047,0.62,32963.0,14161.0,218886
1741185071911,2025-03-05 14:31:11.911,234.41,0.013,1.0,1.889,49.96,3.0,3.047,0.62,32963.0,14161.0,219287
1741185072240,2025-03-05 14:31:12.240,234.41,0.013,1.0,1.889,49.96,3.0,3.047,0.62,32963.0,14161.0,226676
1741185072562,2025-03-05 14:31:12.562,234.39,0.012,1.0,1.828,49.95,2.0,2.813,0.65,32963.0,14161.0,218842
1741185072883,2025-03-05 14:31:12.883,234.39,0.012,1.0,1.828,49.95,2.0,2.813,0.65,32963.0,14161.0,217852
1741185073213,2025-03-05 14:31:13.213,234.39,0.012,1.0,1.828,49.95,2.0,2.813,0.65,32963.0,14161.0,227434
1741185073534,2025-03-05 14:31:13.534,234.42,0.013,1.0,1.889,49.95,3.0,3.047,0.62,32963.0,14161.0,218575
1741185073855,2025-03-05 14:31:13.855,234.42,0.013,1.0,1.889,49.95,3.0,3.047,0.62,32963.0,14161.0,218378
1741185074184,2025-03-05 14:31:14.184,234.42,0.013,1.0,1.889,49.95,3.0,3.047,0.62,32963.0,14161.0,227217
1741185074506,2025-03-05 14:31:14.506,234.52,0.013,1.0,1.89,49.95,3.0,3.049,0.62,32963.0,14161.0,219753
1741185074827,2025-03-05 14:31:14.827,234.52,0.013,1.0,1.89,49.95,3.0,3.049,0.62,32963.0,14161.0,218187
1741185075150,2025-03-05 14:31:15.150,234.52,0.013,1.0,1.89,49.95,3.0,3.049,0.62,32963.0,14161.0,219230
1741185075471,2025-03-05 14:31:15.471,234.59,0.013,1.0,1.921,49.95,3.0,3.05,0.63,32963.0,14161.0,218585
1741185075792,2025-03-05 14:31:15.792,234.59,0.013,1.0,1.921,49.95,3.0,3.05,0.63,32963.0,14161.0,218784
1741185076114,2025-03-05 14:31:16.114,234.59,0.013,1.0,1.921,49.95,3.0,3.05,0.63,32963.0,14161.0,219299
1741185076436,2025-03-05 14:31:16.436,234.68,0.012,1.0,1.831,49.95,2.0,2.816,0.65,32963.0,14161.0,218819
1741185076757,2025-03-05 14:31:16.757,234.68,0.012,1.0,1.831,49.95,2.0,2.816,0.65,32963.0,14161.0,218744
1741185077079,2025-03-05 14:31:17.079,234.68,0.012,1.0,1.831,49.95,2.0,2.816,0.65,32963.0,14161.0,219547
1741185077401,2025-03-05 14:31:17.401,234.62,0.012,1.0,1.83,49.95,2.0,2.815,0.65,32963.0,14161.0,219616
1741185077723,2025-03-05 14:31:17.723,234.62,0.012,1.0,1.83,49.95,2.0,2.815,0.65,32963.0,14161.0,218710
1741185078044,2025-03-05 14:31:18.044,234.62,0.012,1.0,1.83,49.95,2.0,2.815,0.65,32963.0,14161.0,218220
1741185078374,2025-03-05 14:31:18.374,234.71,0.012,1.0,1.831,49.95,2.0,2.817,0.65,32963.0,14161.0,227723
1741185078697,2025-03-05 14:31:18.697,234.71,0.012,1.0,1.831,49.95,2.0,2.817,0.65,32963.0,14161.0,219262
1741185079018,2025-03-05 14:31:19.018,234.71,0.012,1.0,1.831,49.95,2.0,2.817,0.65,32963.0,14161.0,218925
1741185079348,2025-03-05 14:31:19.348,234.75,0.014,2.0,2.005,49.95,3.0,3.287,0.61,32963.0,14161.0,227674
1741185079670,2025-03-05 14:31:19.670,234.75,0.014,2.0,2.005,49.95,3.0,3.287,0.61,32963.0,14161.0,218756
1741185079991,2025-03-05 14:31:19.991,234.75,0.014,2.0,2.005,49.95,3.0,3.287,0.61,32963.0,14161.0,218921
1741185080320,2025-03-05 14:31:20.320,234.75,0.014,2.0,2.005,49.95,3.0,3.287,0.61,32963.0,14161.0,226673
1741185080641,2025-03-05 14:31:20.641,234.76,0.013,1.0,1.892,49.95,3.0,3.052,0.62,32963.0,14161.0,218658
1741185080964,2025-03-05 14:31:20.964,234.76,0.013,1.0,1.892,49.95,3.0,3.052,0.62,32963.0,14161.0,219167
1741185081293,2025-03-05 14:31:21.293,234.76,0.013,1.0,1.892,49.95,3.0,3.052,0.62,32963.0,14161.0,226711
1741185081614,2025-03-05 14:31:21.614,234.73,0.013,1.0,1.922,49.95,3.0,3.051,0.63,32963.0,14161.0,218785
1741185081935,2025-03-05 14:31:21.935,234.73,0.013,1.0,1.922,49.95,3.0,3.051,0.63,32963.0,14161.0,218670
1741185082265,2025-03-05 14:31:22.265,234.73,0.013,1.0,1.922,49.95,3.0,3.051,0.63,32963.0,14161.0,227308
1741185082587,2025-03-05 14:31:22.587,234.63,0.013,1.0,1.891,49.95,3.0,3.05,0.62,32963.0,14161.0,219362
1741185082909,2025-03-05 14:31:22.909,234.63,0.013,1.0,1.891,49.95,3.0,3.05,0.62,32963.0,14161.0,218975
1741185083240,2025-03-05 14:31:23.240,234.63,0.013,1.0,1.891,49.95,3.0,3.05,0.62,32963.0,14161.0,227895
1741185083561,2025-03-05 14:31:23.561,234.55,0.013,1.0,1.921,49.95,3.0,3.049,0.63,32963.0,14161.0,218943
1741185083883,2025-03-05 14:31:23.883,234.55,0.013,1.0,1.921,49.95,3.0,3.049,0.63,32963.0,14161.0,218702
1741185084214,2025-03-05 14:31:24.214,234.55,0.013,1.0,1.921,49.95,3.0,3.049,0.63,32963.0,14161.0,228178
1741185084536,2025-03-05 14:31:24.536,234.52,0.012,1.0,1.829,49.95,2.0,2.814,0.65,32963.0,14161.0,219480
1741185084858,2025-03-05 14:31:24.858,234.52,0.012,1.0,1.829,49.95,2.0,2.814,0.65,32963.0,14161.0,218302
1741185085189,2025-03-05 14:31:25.189,234.52,0.012,1.0,1.829,49.95,2.0,2.814,0.65,32963.0,14161.0,227567
1741185085510,2025-03-05 14:31:25.510,234.61,0.013,1.0,1.891,49.95,3.0,3.05,0.62,32963.0,14161.0,219052
1741185085830,2025-03-05 14:31:25.830,234.61,0.013,1.0,1.891,49.95,3.0,3.05,0.62,32963.0,14161.0,217520
1741185086153,2025-03-05 14:31:26.153,234.61,0.013,1.0,1.891,49.95,3.0,3.05,0.62,32963.0,14161.0,219908
1741185086475,2025-03-05 14:31:26.475,234.55,0.013,1.0,1.89,49.95,3.0,3.049,0.62,32963.0,14161.0,219661
1741185086797,2025-03-05 14:31:26.797,234.55,0.013,1.0,1.89,49.95,3.0,3.049,0.62,32963.0,14161.0,219048
1741185087119,2025-03-05 14:31:27.119,234.55,0.013,1.0,1.89,49.95,3.0,3.049,0.62,32963.0,14161.0,219454
1741185087441,2025-03-05 14:31:27.441,234.54,0.013,1.0,1.921,49.95,3.0,3.049,0.63,32963.0,14161.0,219134
1741185087762,2025-03-05 14:31:27.762,234.54,0.013,1.0,1.921,49.95,3.0,3.049,0.63,32963.0,14161.0,218845
1741185088084,2025-03-05 14:31:28.084,234.54,0.013,1.0,1.921,49.95,3.0,3.049,0.63,32963.0,14161.0,219095
1741185088405,2025-03-05 14:31:28.405,234.6,0.013,1.0,1.891,49.95,3.0,3.05,0.62,32963.0,14161.0,218719
1741185088727,2025-03-05 14:31:28.727,234.6,0.013,1.0,1.891,49.95,3.0,3.05,0.62,32963.0,14161.0,218987
1741185089049,2025-03-05 14:31:29.049,234.6,0.013,1.0,1.891,49.95,3.0,3.05,0.62,32963.0,14161.0,219161
1741185089379,2025-03-05 14:31:29.379,234.65,0.014,2.0,2.07,49.95,3.0,3.285,0.63,32963.0,14161.0,227147
1741185089701,2025-03-05 14:31:29.701,234.65,0.014,2.0,2.07,49.95,3.0,3.285,0.63,32963.0,14161.0,218712
1741185090024,2025-03-05 14:31:30.024,234.65,0.014,2.0,2.07,49.95,3.0,3.285,0.63,32963.0,14161.0,219046
1741185090359,2025-03-05 14:31:30.359,234.58,0.013,1.0,1.921,49.95,3.0,3.05,0.63,32963.0,14161.0,232281
1741185090681,2025-03-05 14:31:30.681,234.58,0.013,1.0,1.921,49.95,3.0,3.05,0.63,32963.0,14161.0,218741
1741185091003,2025-03-05 14:31:31.003,234.58,0.013,1.0,1.921,49.95,3.0,3.05,0.63,32963.0,14161.0,219395
1741185091333,2025-03-05 14:31:31.333,234.58,0.013,1.0,1.921,49.95,3.0,3.05,0.63,32963.0,14161.0,226991
1741185091654,2025-03-05 14:31:31.654,234.63,0.013,2.0,1.952,49.95,3.0,3.05,0.64,32963.0,14161.0,219109
1741185091977,2025-03-05 14:31:31.977,234.63,0.013,2.0,1.952,49.95,3.0,3.05,0.64,32963.0,14161.0,219712
1741185092307,2025-03-05 14:31:32.307,234.63,0.013,2.0,1.952,49.95,3.0,3.05,0.64,32963.0,14161.0,227000
1741185092628,2025-03-05 14:31:32.628,234.54,0.013,1.0,1.89,49.95,3.0,3.049,0.62,32963.0,14161.0,218600
1741185092950,2025-03-05 14:31:32.950,234.54,0.013,1.0,1.89,49.95,3.0,3.049,0.62,32963.0,14161.0,218589
1741185093290,2025-03-05 14:31:33.290,234.54,0.013,1.0,1.89,49.95,3.0,3.049,0.62,32963.0,14161.0,237632
1741185093612,2025-03-05 14:31:33.612,234.56,0.013,1.0,1.952,49.95,3.0,3.049,0.64,32963.0,14161.0,218646
1741185093933,2025-03-05 14:31:33.933,234.56,0.013,1.0,1.952,49.95,3.0,3.049,0.64,32963.0,14161.0,219470
1741185094265,2025-03-05 14:31:34.265,234.56,0.013,1.0,1.952,49.95,3.0,3.049,0.64,32963.0,14161.0,229204
1741185094587,2025-03-05 14:31:34.587,234.63,0.013,2.0,1.952,49.95,3.0,3.05,0.64,32963.0,14161.0,218645
1741185094908,2025-03-05 14:31:34.908,234.63,0.013,2.0,1.952,49.95,3.0,3.05,0.64,32963.0,14161.0,218667
1741185095238,2025-03-05 14:31:35.238,234.63,0.013,2.0,1.952,49.95,3.0,3.05,0.64,32963.0,14161.0,226553
1741185095559,2025-03-05 14:31:35.559,234.73,0.012,1.0,1.831,49.96,2.0,2.817,0.65,32963.0,14161.0,218648
1741185095880,2025-03-05 14:31:35.880,234.73,0.012,1.0,1.831,49.96,2.0,2.817,0.65,32963.0,14161.0,218740
1741185096211,2025-03-05 14:31:36.211,234.73,0.012,1.0,1.831,49.96,2.0,2.817,0.65,32963.0,14161.0,227404
1741185096532,2025-03-05 14:31:36.532,234.75,0.013,2.0,1.953,49.96,3.0,3.052,0.64,32963.0,14161.0,218980
1741185096853,2025-03-05 14:31:36.853,234.75,0.013,2.0,1.953,49.96,3.0,3.052,0.64,32963.0,14161.0,217909
