Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741188251639,2025-03-05 15:24:11.639,234.57,0.014,2.0,1.97,49.98,3.0,3.284,0.6,32965.0,14161.0,219539
1741188251962,2025-03-05 15:24:11.962,234.57,0.014,2.0,1.97,49.98,3.0,3.284,0.6,32965.0,14161.0,218822
1741188252292,2025-03-05 15:24:12.292,234.57,0.014,2.0,1.97,49.98,3.0,3.284,0.6,32965.0,14161.0,227271
1741188252617,2025-03-05 15:24:12.617,234.53,0.015,2.0,2.076,49.98,3.0,3.518,0.59,32965.0,14161.0,219107
1741188252937,2025-03-05 15:24:12.937,234.53,0.015,2.0,2.076,49.98,3.0,3.518,0.59,32965.0,14161.0,217987
1741188253267,2025-03-05 15:24:13.267,234.53,0.015,2.0,2.076,49.98,3.0,3.518,0.59,32965.0,14161.0,227101
1741188253588,2025-03-05 15:24:13.588,235.0,0.014,2.0,1.974,49.98,3.0,3.29,0.6,32965.0,14161.0,218375
1741188253910,2025-03-05 15:24:13.910,235.0,0.014,2.0,1.974,49.98,3.0,3.29,0.6,32965.0,14161.0,218775
1741188254231,2025-03-05 15:24:14.231,235.0,0.014,2.0,1.974,49.98,3.0,3.29,0.6,32965.0,14161.0,218834
1741188254555,2025-03-05 15:24:14.555,235.03,0.014,2.0,1.974,49.98,3.0,3.29,0.6,32965.0,14161.0,221288
1741188254876,2025-03-05 15:24:14.876,235.03,0.014,2.0,1.974,49.98,3.0,3.29,0.6,32965.0,14161.0,218219
1741188255197,2025-03-05 15:24:15.197,235.03,0.014,2.0,1.974,49.98,3.0,3.29,0.6,32965.0,14161.0,218574
1741188255518,2025-03-05 15:24:15.518,235.12,0.014,2.0,1.975,49.98,3.0,3.292,0.6,32965.0,14161.0,218659
1741188255839,2025-03-05 15:24:15.839,235.12,0.014,2.0,1.975,49.98,3.0,3.292,0.6,32965.0,14161.0,218639
1741188256161,2025-03-05 15:24:16.161,235.12,0.014,2.0,1.975,49.98,3.0,3.292,0.6,32965.0,14161.0,218896
1741188256482,2025-03-05 15:24:16.482,235.08,0.014,2.0,1.942,49.98,3.0,3.291,0.59,32965.0,14161.0,218476
1741188256803,2025-03-05 15:24:16.803,235.08,0.014,2.0,1.942,49.98,3.0,3.291,0.59,32965.0,14161.0,218455
1741188257125,2025-03-05 15:24:17.125,235.08,0.014,2.0,1.942,49.98,3.0,3.291,0.59,32965.0,14161.0,219032
1741188257456,2025-03-05 15:24:17.456,235.09,0.014,2.0,2.008,49.98,3.0,3.291,0.61,32965.0,14161.0,227694
1741188257778,2025-03-05 15:24:17.778,235.09,0.014,2.0,2.008,49.98,3.0,3.291,0.61,32965.0,14161.0,218831
1741188258099,2025-03-05 15:24:18.099,235.09,0.014,2.0,2.008,49.98,3.0,3.291,0.61,32965.0,14161.0,218835
1741188258428,2025-03-05 15:24:18.428,235.11,0.014,2.0,1.975,49.97,3.0,3.292,0.6,32965.0,14161.0,225725
1741188258750,2025-03-05 15:24:18.750,235.11,0.014,2.0,1.975,49.97,3.0,3.292,0.6,32965.0,14161.0,218611
1741188259072,2025-03-05 15:24:19.072,235.11,0.014,2.0,1.975,49.97,3.0,3.292,0.6,32965.0,14161.0,218746
1741188259402,2025-03-05 15:24:19.402,235.11,0.014,2.0,1.975,49.97,3.0,3.292,0.6,32965.0,14161.0,227558
1741188259723,2025-03-05 15:24:19.723,235.06,0.014,2.0,1.975,49.97,3.0,3.291,0.6,32965.0,14161.0,217633
1741188260043,2025-03-05 15:24:20.043,235.06,0.014,2.0,1.975,49.97,3.0,3.291,0.6,32965.0,14161.0,218127
1741188260373,2025-03-05 15:24:20.373,235.06,0.014,2.0,1.975,49.97,3.0,3.291,0.6,32965.0,14161.0,226993
1741188260694,2025-03-05 15:24:20.694,235.1,0.014,2.0,2.008,49.97,3.0,3.291,0.61,32965.0,14161.0,217834
1741188261015,2025-03-05 15:24:21.015,235.1,0.014,2.0,2.008,49.97,3.0,3.291,0.61,32965.0,14161.0,218168
1741188261344,2025-03-05 15:24:21.344,235.1,0.014,2.0,2.008,49.97,3.0,3.291,0.61,32965.0,14161.0,226177
1741188261665,2025-03-05 15:24:21.665,235.14,0.014,2.0,2.041,49.97,3.0,3.292,0.62,32965.0,14161.0,218020
1741188261986,2025-03-05 15:24:21.986,235.14,0.014,2.0,2.041,49.97,3.0,3.292,0.62,32965.0,14161.0,218350
1741188262315,2025-03-05 15:24:22.315,235.14,0.014,2.0,2.041,49.97,3.0,3.292,0.62,32965.0,14161.0,226625
1741188262636,2025-03-05 15:24:22.636,235.21,0.014,2.0,2.009,49.97,3.0,3.293,0.61,32965.0,14161.0,218579
1741188262958,2025-03-05 15:24:22.958,235.21,0.014,2.0,2.009,49.97,3.0,3.293,0.61,32965.0,14161.0,218982
1741188263288,2025-03-05 15:24:23.288,235.21,0.014,2.0,2.009,49.97,3.0,3.293,0.61,32965.0,14161.0,226726
1741188263610,2025-03-05 15:24:23.610,235.3,0.014,2.0,2.009,49.97,3.0,3.294,0.61,32965.0,14161.0,218706
1741188263932,2025-03-05 15:24:23.932,235.3,0.014,2.0,2.009,49.97,3.0,3.294,0.61,32965.0,14161.0,219017
1741188264261,2025-03-05 15:24:24.261,235.3,0.014,2.0,2.009,49.97,3.0,3.294,0.61,32965.0,14161.0,226440
1741188264582,2025-03-05 15:24:24.582,235.33,0.014,2.0,2.043,49.98,3.0,3.295,0.62,32965.0,14161.0,219209
1741188264905,2025-03-05 15:24:24.905,235.33,0.014,2.0,2.043,49.98,3.0,3.295,0.62,32965.0,14161.0,218977
