Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741541797429,2025-03-09 17:36:37.429,235.76,0.056,6.0,6.337,49.97,13.0,13.203,0.48,32990.0,14163.0,225772
1741541797774,2025-03-09 17:36:37.774,235.76,0.056,6.0,6.337,49.97,13.0,13.203,0.48,32990.0,14163.0,240128
1741541798095,2025-03-09 17:36:38.095,235.76,0.056,6.0,6.337,49.97,13.0,13.203,0.48,32990.0,14163.0,218330
1741541798417,2025-03-09 17:36:38.417,235.81,0.059,6.0,6.678,49.97,13.0,13.913,0.48,32990.0,14163.0,218629
1741541798738,2025-03-09 17:36:38.738,235.81,0.059,6.0,6.678,49.97,13.0,13.913,0.48,32990.0,14163.0,218825
1741541799059,2025-03-09 17:36:39.059,235.81,0.059,6.0,6.678,49.97,13.0,13.913,0.48,32990.0,14163.0,218306
1741541799388,2025-03-09 17:36:39.388,235.73,0.054,6.0,6.11,49.97,12.0,12.729,0.48,32990.0,14163.0,226338
1741541799731,2025-03-09 17:36:39.731,235.73,0.054,6.0,6.11,49.97,12.0,12.729,0.48,32990.0,14163.0,240092
1741541800052,2025-03-09 17:36:40.052,235.73,0.054,6.0,6.11,49.97,12.0,12.729,0.48,32990.0,14163.0,218769
1741541800381,2025-03-09 17:36:40.381,235.86,0.053,6.0,6.0,49.97,12.0,12.501,0.48,32990.0,14163.0,226039
1741541800701,2025-03-09 17:36:40.701,235.86,0.053,6.0,6.0,49.97,12.0,12.501,0.48,32990.0,14163.0,218051
1741541801021,2025-03-09 17:36:41.021,235.86,0.053,6.0,6.0,49.97,12.0,12.501,0.48,32990.0,14163.0,217784
1741541801350,2025-03-09 17:36:41.350,235.92,0.045,5.0,5.096,49.98,10.0,10.616,0.48,32990.0,14163.0,226203
1741541801692,2025-03-09 17:36:41.692,235.92,0.045,5.0,5.096,49.98,10.0,10.616,0.48,32990.0,14163.0,239437
1741541802013,2025-03-09 17:36:42.013,235.92,0.045,5.0,5.096,49.98,10.0,10.616,0.48,32990.0,14163.0,218525
1741541802343,2025-03-09 17:36:42.343,235.92,0.045,5.0,5.096,49.98,10.0,10.616,0.48,32990.0,14163.0,226547
1741541802664,2025-03-09 17:36:42.664,235.92,0.066,7.0,7.474,49.98,15.0,15.571,0.48,32990.0,14163.0,218115
1741541802984,2025-03-09 17:36:42.984,235.92,0.066,7.0,7.474,49.98,15.0,15.571,0.48,32990.0,14163.0,217922
1741541803312,2025-03-09 17:36:43.312,235.92,0.066,7.0,7.474,49.98,15.0,15.571,0.48,32990.0,14163.0,225625
1741541803635,2025-03-09 17:36:43.635,235.77,0.072,8.0,8.148,49.98,16.0,16.975,0.48,32990.0,14163.0,219259
1741541803957,2025-03-09 17:36:43.957,235.77,0.072,8.0,8.148,49.98,16.0,16.975,0.48,32990.0,14163.0,219250
1741541804287,2025-03-09 17:36:44.287,235.77,0.072,8.0,8.148,49.98,16.0,16.975,0.48,32990.0,14163.0,226676
1741541804608,2025-03-09 17:36:44.608,235.79,0.071,8.0,8.203,49.98,16.0,16.741,0.49,32990.0,14163.0,218982
1741541804930,2025-03-09 17:36:44.930,235.79,0.071,8.0,8.203,49.98,16.0,16.741,0.49,32990.0,14163.0,218435
1741541805259,2025-03-09 17:36:45.259,235.79,0.071,8.0,8.203,49.98,16.0,16.741,0.49,32990.0,14163.0,226391
1741541805581,2025-03-09 17:36:45.581,235.67,0.068,7.0,7.692,49.98,16.0,16.026,0.48,32990.0,14163.0,218888
1741541805902,2025-03-09 17:36:45.902,235.67,0.068,7.0,7.692,49.98,16.0,16.026,0.48,32990.0,14163.0,218655
1741541806231,2025-03-09 17:36:46.231,235.67,0.068,7.0,7.692,49.98,16.0,16.026,0.48,32990.0,14163.0,226038
1741541806552,2025-03-09 17:36:46.552,235.66,0.068,7.0,7.692,49.98,16.0,16.025,0.48,32990.0,14163.0,218379
1741541806873,2025-03-09 17:36:46.873,235.66,0.068,7.0,7.692,49.98,16.0,16.025,0.48,32990.0,14163.0,218452
1741541807204,2025-03-09 17:36:47.204,235.66,0.068,7.0,7.692,49.98,16.0,16.025,0.48,32990.0,14163.0,228613
1741541807526,2025-03-09 17:36:47.526,235.68,0.068,7.0,7.853,49.98,16.0,16.026,0.49,32990.0,14163.0,218775
1741541807869,2025-03-09 17:36:47.869,235.68,0.068,7.0,7.853,49.98,16.0,16.026,0.49,32990.0,14163.0,240808
1741541808197,2025-03-09 17:36:48.197,235.68,0.068,7.0,7.853,49.98,16.0,16.026,0.49,32990.0,14163.0,225994
1741541808520,2025-03-09 17:36:48.520,235.68,0.075,8.0,8.661,49.98,17.0,17.676,0.49,32990.0,14163.0,219422
1741541808841,2025-03-09 17:36:48.841,235.68,0.075,8.0,8.661,49.98,17.0,17.676,0.49,32990.0,14163.0,219223
1741541809162,2025-03-09 17:36:49.162,235.68,0.075,8.0,8.661,49.98,17.0,17.676,0.49,32990.0,14163.0,218394
1741541809483,2025-03-09 17:36:49.483,235.63,0.067,7.0,7.736,49.98,15.0,15.787,0.49,32990.0,14163.0,218520
1741541809825,2025-03-09 17:36:49.825,235.63,0.067,7.0,7.736,49.98,15.0,15.787,0.49,32990.0,14163.0,239697
1741541810147,2025-03-09 17:36:50.147,235.63,0.067,7.0,7.736,49.98,15.0,15.787,0.49,32990.0,14163.0,218798
1741541810470,2025-03-09 17:36:50.470,235.59,0.074,8.0,8.542,49.98,17.0,17.434,0.49,32990.0,14163.0,219304
1741541810791,2025-03-09 17:36:50.791,235.59,0.074,8.0,8.542,49.98,17.0,17.434,0.49,32990.0,14163.0,218480
1741541811112,2025-03-09 17:36:51.112,235.59,0.074,8.0,8.542,49.98,17.0,17.434,0.49,32990.0,14163.0,218468
1741541811433,2025-03-09 17:36:51.433,235.51,0.072,8.0,8.309,49.98,16.0,16.957,0.49,32990.0,14163.0,218975
1741541811776,2025-03-09 17:36:51.776,235.51,0.072,8.0,8.309,49.98,16.0,16.957,0.49,32990.0,14163.0,239704
1741541812096,2025-03-09 17:36:52.096,235.51,0.072,8.0,8.309,49.98,16.0,16.957,0.49,32990.0,14163.0,218647
1741541812417,2025-03-09 17:36:52.417,235.56,0.069,7.0,7.964,49.99,16.0,16.254,0.49,32990.0,14163.0,218270
1741541812738,2025-03-09 17:36:52.738,235.56,0.069,7.0,7.964,49.99,16.0,16.254,0.49,32990.0,14163.0,218001
1741541813059,2025-03-09 17:36:53.059,235.56,0.069,7.0,7.964,49.99,16.0,16.254,0.49,32990.0,14163.0,218096
1741541813387,2025-03-09 17:36:53.387,235.54,0.067,7.0,7.733,49.99,15.0,15.781,0.49,32990.0,14163.0,225866
1741541813729,2025-03-09 17:36:53.729,235.54,0.067,7.0,7.733,49.99,15.0,15.781,0.49,32990.0,14163.0,239426
1741541814051,2025-03-09 17:36:54.051,235.54,0.067,7.0,7.733,49.99,15.0,15.781,0.49,32990.0,14163.0,218850
1741541814380,2025-03-09 17:36:54.380,235.69,0.069,8.0,7.969,49.99,16.0,16.263,0.49,32990.0,14163.0,226190
1741541814702,2025-03-09 17:36:54.702,235.69,0.069,8.0,7.969,49.99,16.0,16.263,0.49,32990.0,14163.0,219167
1741541815022,2025-03-09 17:36:55.022,235.69,0.069,8.0,7.969,49.99,16.0,16.263,0.49,32990.0,14163.0,218394
1741541815351,2025-03-09 17:36:55.351,235.62,0.058,6.0,6.56,49.99,13.0,13.666,0.48,32990.0,14163.0,226136
1741541815694,2025-03-09 17:36:55.694,235.62,0.058,6.0,6.56,49.99,13.0,13.666,0.48,32990.0,14163.0,240229
1741541816015,2025-03-09 17:36:56.015,235.62,0.058,6.0,6.56,49.99,13.0,13.666,0.48,32990.0,14163.0,218523
1741541816345,2025-03-09 17:36:56.345,235.62,0.058,6.0,6.56,49.99,13.0,13.666,0.48,32990.0,14163.0,226641
1741541816665,2025-03-09 17:36:56.665,235.57,0.055,6.0,6.349,49.99,12.0,12.956,0.49,32990.0,14163.0,218061
1741541816986,2025-03-09 17:36:56.986,235.57,0.055,6.0,6.349,49.99,12.0,12.956,0.49,32990.0,14163.0,218531
