UTC,Voltage (V),Current (A),Active Power (W),Computed Power (W),Frequency (Hz),Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740558795900,233,0.015,2,2.069,49.99,3,0.592,32919,32919,17826.79557800293
1740558795930,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16372.442245483398
1740558795959,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16807.31773376465
1740558795987,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16136.407852172852
1740558796015,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16044.61669921875
1740558796044,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16172.88589477539
1740558796073,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16101.12190246582
1740558796102,233,0.015,2,2.069,49.99,3,0.592,32919,32919,17159.700393676758
1740558796130,233,0.015,2,2.069,49.99,3,0.592,32919,32919,15596.628189086914
1740558796159,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16157.150268554688
1740558796187,233,0.015,2,2.069,49.99,3,0.592,32919,32919,15668.869018554688
1740558796215,233,0.015,2,2.069,49.99,3,0.592,32919,32919,15806.913375854492
1740558796242,233,0.015,2,2.069,49.99,3,0.592,32919,32919,15558.242797851562
1740558796270,233,0.015,2,2.069,49.99,3,0.592,32919,32919,15771.865844726562
1740558796299,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16412.973403930664
1740558796327,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16009.092330932617
1740558796355,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16272.783279418945
1740558796383,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16173.839569091797
1740558796412,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16048.669815063477
1740558796440,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16219.615936279297
1740558796469,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16364.574432373047
1740558796498,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16429.662704467773
1740558796541,233,0.015,2,2.069,49.99,3,0.592,32919,32919,31652.212142944336
1740558796569,233,0.015,2,2.069,49.99,3,0.592,32919,32919,16180.276870727539
1740558796598,233,0.015,2,2.069,49.99,3,0.592,32919,32919,15926.837921142578
1740558796626,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16102.790832519531
1740558796653,233,0.014,1,2.013,49.99,3,0.617,32919,32919,15800.714492797852
1740558796687,233,0.014,1,2.013,49.99,3,0.617,32919,32919,21249.771118164062
1740558796719,233,0.014,1,2.013,49.99,3,0.617,32919,32919,18879.89044189453
1740558796747,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16283.273696899414
1740558796775,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16142.129898071289
1740558796804,233,0.014,1,2.013,49.99,3,0.617,32919,32919,15859.127044677734
1740558796832,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16221.284866333008
1740558796860,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16032.934188842773
1740558796888,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16180.51528930664
1740558796916,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16362.190246582031
1740558796945,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16645.193099975586
1740558796974,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16601.5625
1740558797002,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16273.021697998047
1740558797031,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16393.661499023438
1740558797059,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16023.635864257812
1740558797087,233,0.014,1,2.013,49.99,3,0.617,32919,32919,15718.221664428711
1740558797115,233,0.014,1,2.013,49.99,3,0.617,32919,32919,15758.037567138672
1740558797143,233,0.014,1,2.013,49.99,3,0.617,32919,32919,15636.682510375977
1740558797171,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16251.802444458008
1740558797199,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16474.246978759766
1740558797228,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16157.388687133789
1740558797256,233,0.014,1,2.013,49.99,3,0.617,32919,32919,15750.885009765625
1740558797284,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16221.52328491211
1740558797312,233,0.014,1,2.013,49.99,3,0.617,32919,32919,15871.047973632812
1740558797340,233,0.014,1,2.013,49.99,3,0.617,32919,32919,15964.984893798828
1740558797368,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16076.56478881836
1740558797397,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16932.72590637207
1740558797425,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16320.943832397461
1740558797454,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16271.352767944336
1740558797482,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16180.276870727539
1740558797510,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16138.792037963867
1740558797538,233,0.014,1,2.013,49.99,3,0.617,32919,32919,15972.375869750977
1740558797567,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16502.857208251953
1740558797595,233,0.014,1,2.013,49.99,3,0.617,32919,32919,16129.732131958008
1740558797623,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16030.550003051758
1740558797650,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15751.838684082031
1740558797679,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16180.51528930664
1740558797707,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16210.794448852539
1740558797735,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15824.079513549805
1740558797764,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16164.302825927734
1740558797792,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16429.662704467773
1740558797820,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15780.68733215332
1740558797848,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16137.59994506836
1740558797877,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16121.625900268555
1740558797905,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16211.748123168945
1740558797933,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16067.5048828125
1740558797961,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15978.336334228516
1740558797990,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16128.063201904297
1740558798018,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15873.432159423828
1740558798046,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16114.473342895508
1740558798074,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16076.326370239258
1740558798102,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15785.21728515625
1740558798130,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16073.465347290039
1740558798158,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15571.117401123047
1740558798186,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15874.385833740234
1740558798214,233,0.014,2,1.964,49.99,3,0.602,32919,32919,16000.509262084961
1740558798242,233,0.014,2,1.964,49.99,3,0.602,32919,32919,15878.20053100586
