UTC,Voltage (V),Current (A),Active Power (W),Computed Power (W),Frequency (Hz),Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740557422543,234,0.014,2,2.011,50.0,3,0.614,32918,32918,26719.093322753906
1740557422589,234,0.013,2,1.907,50.01,3,0.627,32918,32918,31532.28759765625
1740557422627,234,0.013,1,1.907,50.01,3,0.627,32918,32918,23756.50405883789
1740557422666,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24547.576904296875
1740557422705,234,0.013,1,1.907,50.01,3,0.627,32918,32918,23975.133895874023
1740557422744,234,0.013,1,1.907,50.01,3,0.627,32918,32918,23963.212966918945
1740557422783,234,0.013,1,1.907,50.01,3,0.627,32918,32918,23640.871047973633
1740557422822,234,0.013,1,1.907,50.01,3,0.627,32918,32918,23656.368255615234
1740557422863,234,0.013,1,1.907,50.01,3,0.627,32918,32918,26778.459548950195
1740557422905,234,0.013,1,1.907,50.01,3,0.627,32918,32918,28117.41828918457
1740557422943,234,0.013,1,1.907,50.01,3,0.627,32918,32918,22228.95622253418
1740557422982,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24760.007858276367
1740557423027,234,0.013,1,1.907,50.01,3,0.627,32918,32918,31645.29800415039
1740557423064,234,0.013,1,1.907,50.01,3,0.627,32918,32918,22728.919982910156
1740557423102,234,0.013,1,1.907,50.01,3,0.627,32918,32918,22238.731384277344
1740557423140,234,0.013,1,1.907,50.01,3,0.627,32918,32918,23835.182189941406
1740557423178,234,0.013,1,1.907,50.01,3,0.627,32918,32918,22594.928741455078
1740557423217,234,0.013,1,1.907,50.01,3,0.627,32918,32918,23996.11473083496
1740557423258,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24583.101272583008
1740557423297,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24066.448211669922
1740557423336,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24431.228637695312
1740557423376,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24533.27178955078
1740557423440,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24215.4598236084
1740557423478,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24013.519287109375
1740557423518,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24664.16358947754
1740557423558,234,0.013,1,1.907,50.01,3,0.627,32918,32918,24996.519088745117
1740557423596,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23723.840713500977
1740557423635,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23385.52474975586
1740557423673,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23377.180099487305
1740557423711,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23449.65934753418
1740557423749,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23908.138275146484
1740557423789,234,0.014,2,2.011,50.01,3,0.614,32918,32918,24961.233139038086
1740557423829,234,0.014,2,2.011,50.01,3,0.614,32918,32918,24787.66441345215
1740557423868,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23856.87828063965
1740557423906,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23012.399673461914
1740557423944,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23652.315139770508
1740557423982,234,0.014,2,2.011,50.01,3,0.614,32918,32918,22817.611694335938
1740557424020,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23218.154907226562
1740557424059,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23493.051528930664
1740557424098,234,0.014,2,2.011,50.01,3,0.614,32918,32918,24039.030075073242
1740557424137,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23647.308349609375
1740557424175,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23133.039474487305
1740557424213,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23513.5555267334
1740557424251,234,0.014,2,2.011,50.01,3,0.614,32918,32918,22991.418838500977
1740557424290,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23326.635360717773
1740557424329,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23582.45849609375
1740557424367,234,0.014,2,2.011,50.01,3,0.614,32918,32918,23203.84979248047
1740557424405,234,0.014,2,2.011,50.01,3,0.614,32918,32918,22823.572158813477
1740557424443,234,0.014,2,2.011,50.01,3,0.614,32918,32918,22889.137268066406
1740557424480,234,0.014,2,2.011,50.01,3,0.614,32918,32918,22442.81768798828
1740557424531,234,0.014,2,2.011,50.01,3,0.614,32918,32918,35510.54000854492
1740557424579,234,0.014,2,2.011,50.01,3,0.614,32918,32918,33648.72932434082
1740557424614,234,0.013,2,1.929,50.01,3,0.634,32918,32918,21212.81623840332
1740557424653,234,0.013,2,1.929,50.01,3,0.634,32918,32918,24402.856826782227
1740557424691,234,0.013,2,1.929,50.01,3,0.634,32918,32918,23506.40296936035
1740557424730,234,0.013,2,1.929,50.01,3,0.634,32918,32918,23519.277572631836
1740557424796,234,0.013,2,1.929,50.01,3,0.634,32918,32918,24284.36279296875
1740557424837,234,0.013,2,1.929,50.01,3,0.634,32918,32918,25687.694549560547
1740557424876,234,0.013,2,1.929,50.01,3,0.634,32918,32918,24079.322814941406
1740557424915,234,0.013,2,1.929,50.01,3,0.634,32918,32918,23543.119430541992
1740557424953,234,0.013,2,1.929,50.01,3,0.634,32918,32918,22147.655487060547
1740557424990,234,0.013,2,1.929,50.01,3,0.634,32918,32918,22567.9874420166
1740557425029,234,0.013,2,1.929,50.01,3,0.634,32918,32918,23316.86019897461
1740557425069,234,0.013,2,1.929,50.01,3,0.634,32918,32918,24762.868881225586
1740557425108,234,0.013,2,1.929,50.01,3,0.634,32918,32918,23755.788803100586
1740557425145,234,0.013,2,1.929,50.01,3,0.634,32918,32918,22612.571716308594
1740557425187,234,0.013,2,1.929,50.01,3,0.634,32918,32918,27274.131774902344
1740557425226,234,0.013,2,1.929,50.01,3,0.634,32918,32918,24158.000946044922
1740557425267,234,0.013,2,1.929,50.01,3,0.634,32918,32918,24419.546127319336
1740557425306,234,0.013,2,1.929,50.01,3,0.634,32918,32918,24087.42904663086
1740557425346,234,0.013,2,1.929,50.01,3,0.634,32918,32918,25363.922119140625
1740557425385,234,0.013,2,1.929,50.01,3,0.634,32918,32918,23484.468460083008
1740557425424,234,0.013,2,1.929,50.01,3,0.634,32918,32918,23422.2412109375
1740557425460,234,0.013,2,1.929,50.01,3,0.634,32918,32918,22399.187088012695
1740557425498,234,0.013,2,1.929,50.01,3,0.634,32918,32918,22493.362426757812
1740557425537,234,0.013,2,1.929,50.01,3,0.634,32918,32918,24096.012115478516
1740557425583,234,0.013,2,1.929,50.01,3,0.634,32918,32918,30272.960662841797
1740557425621,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23617.029190063477
1740557425661,234,0.013,2,1.935,50.01,3,0.636,32918,32918,26052.236557006836
1740557425700,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23683.07113647461
1740557425739,234,0.013,2,1.935,50.01,3,0.636,32918,32918,24010.658264160156
1740557425777,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23258.686065673828
1740557425815,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23395.299911499023
1740557425854,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23922.443389892578
1740557425893,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23612.73765563965
1740557425931,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23529.529571533203
1740557425969,234,0.013,2,1.935,50.01,3,0.636,32918,32918,22416.83006286621
1740557426006,234,0.013,2,1.935,50.01,3,0.636,32918,32918,22298.574447631836
1740557426044,234,0.013,2,1.935,50.01,3,0.636,32918,32918,22519.588470458984
1740557426083,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23749.351501464844
1740557426121,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23013.11492919922
1740557426159,234,0.013,2,1.935,50.01,3,0.636,32918,32918,22609.710693359375
1740557426197,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23576.736450195312
1740557426235,234,0.013,2,1.935,50.01,3,0.636,32918,32918,22835.493087768555
1740557426273,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23130.65528869629
1740557426312,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23351.430892944336
1740557426350,234,0.013,2,1.935,50.01,3,0.636,32918,32918,23225.30746459961
1740557426388,234,0.013,2,1.935,50.01,3,0.636,32918,32918,22872.209548950195
1740557426425,234,0.013,2,1.935,50.01,3,0.636,32918,32918,22364.377975463867
1740557426463,234,0.013,2,1.935,50.01,3,0.636,32918,32918,22265.43426513672
