Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741445477495,2025-03-08 14:51:17.495,235.45,0.041,4.0,4.827,50.01,9.0,9.653,0.5,32972.0,14162.0,220037
1741445477825,2025-03-08 14:51:17.825,235.49,0.044,5.0,5.077,50.01,10.0,10.362,0.49,32972.0,14162.0,225138
1741445478168,2025-03-08 14:51:18.168,235.49,0.044,5.0,5.077,50.01,10.0,10.362,0.49,32972.0,14162.0,240057
1741445478490,2025-03-08 14:51:18.490,235.49,0.044,5.0,5.077,50.01,10.0,10.362,0.49,32972.0,14162.0,218737
1741445478820,2025-03-08 14:51:18.820,235.64,0.061,7.0,7.331,50.02,14.0,14.374,0.51,32972.0,14162.0,227644
1741445479161,2025-03-08 14:51:19.161,235.64,0.061,7.0,7.331,50.02,14.0,14.374,0.51,32972.0,14162.0,239464
1741445479482,2025-03-08 14:51:19.482,235.64,0.061,7.0,7.331,50.02,14.0,14.374,0.51,32972.0,14162.0,219049
1741445479813,2025-03-08 14:51:19.813,235.62,0.065,7.0,7.811,50.02,15.0,15.315,0.51,32972.0,14162.0,227641
1741445480156,2025-03-08 14:51:20.156,235.62,0.065,7.0,7.811,50.02,15.0,15.315,0.51,32972.0,14162.0,240468
1741445480478,2025-03-08 14:51:20.478,235.62,0.065,7.0,7.811,50.02,15.0,15.315,0.51,32972.0,14162.0,219468
1741445480808,2025-03-08 14:51:20.808,235.58,0.061,7.0,7.473,50.02,14.0,14.37,0.52,32972.0,14162.0,227538
1741445481150,2025-03-08 14:51:21.150,235.58,0.061,7.0,7.473,50.02,14.0,14.37,0.52,32972.0,14162.0,239446
1741445481471,2025-03-08 14:51:21.471,235.58,0.061,7.0,7.473,50.02,14.0,14.37,0.52,32972.0,14162.0,219487
1741445481805,2025-03-08 14:51:21.805,235.55,0.054,6.0,6.487,50.02,12.0,12.72,0.51,32972.0,14162.0,230141
1741445482146,2025-03-08 14:51:22.146,235.55,0.054,6.0,6.487,50.02,12.0,12.72,0.51,32972.0,14162.0,238237
1741445482469,2025-03-08 14:51:22.469,235.55,0.054,6.0,6.487,50.02,12.0,12.72,0.51,32972.0,14162.0,219444
1741445482797,2025-03-08 14:51:22.797,235.58,0.052,6.0,6.125,50.02,12.0,12.25,0.5,32972.0,14162.0,226553
1741445483118,2025-03-08 14:51:23.118,235.58,0.052,6.0,6.125,50.02,12.0,12.25,0.5,32972.0,14162.0,218526
