UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741552997994,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741552998393,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741552998793,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741552999193,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741552999594,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741552999994,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553000394,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553000795,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553001194,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553001602,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553002002,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553002402,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553002803,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553003208,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553003611,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553004011,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553004412,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553004812,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553005211,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553005611,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553006011,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553006411,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553006811,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553007212,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553007613,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553008014,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553008418,0x0,0x0,750x422,N/A,0,53,4.03.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553008820,1920x1080,1920x1080,750x422,N/A,0,83,15.51.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553009222,1920x1080,1920x1080,750x422,N/A,0,83,15.51.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553009623,1920x1080,1920x1080,750x422,N/A,0,83,15.51.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553010024,1920x1080,1920x1080,750x422,N/A,0,83,15.51.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553010427,1920x1080,1920x1080,750x422,N/A,0,83,15.51.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741553010829,1920x1080,1920x1080,750x422,N/A,7533,45,18.04.,18.94.,avc1.64002A,mp4a.40.2,Low Latency
1741553011230,1920x1080,1920x1080,750x422,N/A,7533,45,18.04.,18.94.,avc1.64002A,mp4a.40.2,Low Latency
1741553011630,1920x1080,1920x1080,750x422,31,7554,45,18.44.,18.74.,avc1.64002A,mp4a.40.2,Low Latency
1741553012031,1920x1080,1920x1080,750x422,31,7554,45,18.44.,18.74.,avc1.64002A,mp4a.40.2,Low Latency
1741553012433,1920x1080,1920x1080,750x422,31,7554,45,18.44.,18.74.,avc1.64002A,mp4a.40.2,Low Latency
