Timestamp,qfe_wtr_pa0,qfe_wtr_pa1,qfe_wtr_pa2,qfe_wtr_pa3,aoss0-usr,mdm-q6-usr,ipa-usr,cpu0-a7-usr,mdm-5g-usr,mdm-vpe-usr,mdm-core-usr,xo-therm-usr,sdx-case-therm-usr
1741605634889,26,28,31,31,33,35,35,34,35,35,35,33,34
1741605634994,26,28,31,31,34,35,35,34,35,35,35,33,34
1741605635096,26,28,31,31,33,35,35,35,35,35,35,33,34
1741605635198,26,28,31,31,33,35,35,34,35,35,35,33,34
1741605635300,26,28,31,31,33,35,35,35,35,36,35,33,34
1741605635403,26,28,31,31,33,35,35,34,34,35,35,33,34
1741605635505,26,28,31,31,33,35,35,34,35,35,35,33,34
1741605635607,26,28,31,31,33,35,35,34,35,35,35,33,34
1741605635711,26,28,31,31,33,35,35,34,35,35,35,33,34
1741605635814,26,28,31,31,33,35,35,35,35,35,35,33,34
1741605635916,26,28,31,31,34,35,35,34,35,35,35,33,34
1741605636380,26,28,31,31,33,34,35,34,35,35,35,33,34
1741605636561,26,28,31,31,33,35,35,34,35,35,35,33,34
1741605636670,26,28,31,31,34,35,35,34,35,35,35,33,34
1741605636775,26,28,31,31,34,35,35,34,35,35,35,33,34
1741605636884,26,28,31,31,33,35,35,34,35,35,35,33,34
1741605636994,26,28,31,31,34,35,35,35,35,35,35,33,34
1741605637100,26,28,31,31,34,35,35,34,35,35,35,33,34
1741605637205,26,28,31,31,33,34,35,34,35,35,35,33,34
1741605637310,26,28,31,31,33,35,35,34,35,35,35,33,34
1741605637416,26,28,31,31,33,35,35,35,35,35,35,33,34
1741605637521,26,28,31,31,33,35,35,35,35,35,35,33,34
1741605637634,26,28,31,31,34,35,35,34,35,35,35,33,34
1741605637765,26,28,31,31,34,35,35,35,35,35,35,33,34
1741605637882,26,28,31,31,34,35,35,35,35,35,35,33,34
1741605637998,26,28,31,31,34,35,35,35,35,35,35,33,34
1741605638105,26,28,31,31,34,35,35,34,35,36,35,33,34
