Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741543088539,2025-03-09 17:58:08.539,236.15,0.051,5.0,5.901,50.01,12.0,12.044,0.49,32992.0,14163.0,220617
1741543088862,2025-03-09 17:58:08.862,236.15,0.051,5.0,5.901,50.01,12.0,12.044,0.49,32992.0,14163.0,219447
1741543089182,2025-03-09 17:58:09.182,236.15,0.051,5.0,5.901,50.01,12.0,12.044,0.49,32992.0,14163.0,218159
1741543089503,2025-03-09 17:58:09.503,236.11,0.067,7.0,7.751,50.0,15.0,15.819,0.49,32992.0,14163.0,218263
1741543089846,2025-03-09 17:58:09.846,236.11,0.067,7.0,7.751,50.0,15.0,15.819,0.49,32992.0,14163.0,240084
1741543090167,2025-03-09 17:58:10.167,236.11,0.067,7.0,7.751,50.0,15.0,15.819,0.49,32992.0,14163.0,218875
1741543090488,2025-03-09 17:58:10.488,236.2,0.063,7.0,7.589,50.0,14.0,14.881,0.51,32992.0,14163.0,218654
1741543090810,2025-03-09 17:58:10.810,236.2,0.063,7.0,7.589,50.0,14.0,14.881,0.51,32992.0,14163.0,218837
1741543091131,2025-03-09 17:58:11.131,236.2,0.063,7.0,7.589,50.0,14.0,14.881,0.51,32992.0,14163.0,218240
1741543091452,2025-03-09 17:58:11.452,236.23,0.072,8.0,8.504,50.0,17.0,17.009,0.5,32992.0,14163.0,218948
1741543091795,2025-03-09 17:58:11.795,236.23,0.072,8.0,8.504,50.0,17.0,17.009,0.5,32992.0,14163.0,239687
1741543092117,2025-03-09 17:58:12.117,236.23,0.072,8.0,8.504,50.0,17.0,17.009,0.5,32992.0,14163.0,219078
1741543092438,2025-03-09 17:58:12.438,236.3,0.067,8.0,8.074,50.0,15.0,15.832,0.51,32992.0,14163.0,218662
1741543092760,2025-03-09 17:58:12.760,236.3,0.067,8.0,8.074,50.0,15.0,15.832,0.51,32992.0,14163.0,219153
1741543093081,2025-03-09 17:58:13.081,236.3,0.067,8.0,8.074,50.0,15.0,15.832,0.51,32992.0,14163.0,218559
