Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-14 10:07:21.124,235.88,0.013,49.97,32.3,1.0,0.0,3.0,0.623,32.847,14.134
2025-02-14 10:07:22.348,235.71,0.013,49.97,40.4,1.0,0.0,3.0,0.598,32.847,14.134
2025-02-14 10:07:24.595,235.83,0.013,49.97,46.2,1.0,0.0,3.0,0.621,32.847,14.134
2025-02-14 10:07:25.817,235.94,0.014,49.97,39.1,2.0,0.0,3.0,0.59,32.847,14.134
2025-02-14 10:07:26.042,235.88,0.013,49.96,32.6,1.0,0.0,3.0,0.623,32.847,14.134
2025-02-14 10:07:27.275,235.87,0.013,49.95,46.2,1.0,0.0,3.0,0.598,32.847,14.134
2025-02-14 10:07:29.500,235.88,0.013,49.95,35.5,1.0,0.0,3.0,0.598,32.847,14.134
2025-02-14 10:07:30.746,236.05,0.013,49.95,39.5,1.0,0.0,3.0,0.622,32.847,14.134
2025-02-14 10:07:31.970,236.13,0.013,49.95,31.2,1.0,0.0,3.0,0.613,32.847,14.134
2025-02-14 10:07:32.202,236.04,0.013,49.95,29.7,1.0,0.0,3.0,0.611,32.847,14.134
2025-02-14 10:07:33.427,236.04,0.013,49.95,33.5,1.0,0.0,3.0,0.619,32.847,14.134
2025-02-14 10:07:35.672,235.89,0.013,49.94,24.4,1.0,0.0,3.0,0.603,32.847,14.134
2025-02-14 10:07:36.895,235.87,0.013,49.94,30.7,1.0,0.0,3.0,0.604,32.847,14.134
2025-02-14 10:07:37.128,235.97,0.013,49.94,30.4,1.0,0.0,3.0,0.597,32.847,14.134
2025-02-14 10:07:38.353,236.22,0.013,49.94,29.1,1.0,0.0,3.0,0.62,32.847,14.134
2025-02-14 10:07:40.578,236.27,0.013,49.94,24.9,1.0,0.0,3.0,0.623,32.847,14.134
2025-02-14 10:07:41.823,236.17,0.013,49.94,31.8,1.0,0.0,3.0,0.622,32.847,14.134
2025-02-14 10:07:42.047,236.1,0.013,49.94,39.3,1.0,0.0,3.0,0.603,32.847,14.134
2025-02-14 10:07:43.279,236.11,0.013,49.95,32.6,1.0,0.0,3.0,0.622,32.847,14.134
2025-02-14 10:07:45.504,236.24,0.013,49.95,33.7,1.0,0.0,3.0,0.624,32.847,14.134
2025-02-14 10:07:46.738,236.18,0.013,49.95,37.6,1.0,0.0,3.0,0.598,32.847,14.134
2025-02-14 10:07:47.962,236.23,0.013,49.95,31.1,1.0,0.0,3.0,0.621,32.847,14.134
2025-02-14 10:07:48.193,236.2,0.013,49.95,41.1,1.0,0.0,3.0,0.6,32.847,14.134
2025-02-14 10:07:49.417,236.17,0.014,49.95,35.8,2.0,0.0,3.0,0.594,32.847,14.134
2025-02-14 10:07:51.641,236.19,0.015,49.96,26.5,2.0,0.0,3.0,0.593,32.847,14.134
2025-02-14 10:07:52.885,236.18,0.014,49.96,32.1,2.0,0.0,3.0,0.601,32.847,14.134
2025-02-14 10:07:53.116,236.18,0.014,49.96,26.1,2.0,0.0,3.0,0.602,32.847,14.134
2025-02-14 10:07:54.339,236.12,0.014,49.96,33.5,2.0,0.0,3.0,0.6,32.847,14.134
2025-02-14 10:07:56.562,236.1,0.015,49.96,30.5,2.0,0.0,3.0,0.593,32.847,14.134
