Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-14 12:08:05.092,235.06,0.012,50.04,42.0,1.0,0.0,2.0,0.65,32.85,14.134
2025-02-14 12:08:06.324,234.99,0.012,50.04,42.3,1.0,0.0,2.0,0.647,32.85,14.134
2025-02-14 12:08:07.548,235.08,0.012,50.05,26.1,1.0,0.0,2.0,0.65,32.85,14.134
2025-02-14 12:08:09.794,235.09,0.013,50.05,38.3,2.0,0.0,3.0,0.635,32.85,14.134
2025-02-14 12:08:10.019,235.11,0.013,50.05,29.0,1.0,0.0,3.0,0.625,32.85,14.134
2025-02-14 12:08:11.244,235.25,0.013,50.05,34.2,1.0,0.0,3.0,0.628,32.85,14.134
2025-02-14 12:08:12.477,235.25,0.012,50.05,28.1,1.0,0.0,2.0,0.649,32.85,14.134
2025-02-14 12:08:13.701,235.25,0.012,50.05,26.0,1.0,0.0,2.0,0.647,32.85,14.134
2025-02-14 12:08:15.927,235.23,0.012,50.06,24.6,1.0,0.0,2.0,0.649,32.85,14.134
2025-02-14 12:08:16.151,235.25,0.013,50.06,33.2,1.0,0.0,3.0,0.624,32.85,14.134
2025-02-14 12:08:17.383,235.34,0.012,50.06,43.0,1.0,0.0,2.0,0.648,32.85,14.134
2025-02-14 12:08:18.607,235.37,0.013,50.06,34.2,2.0,0.0,3.0,0.637,32.85,14.134
2025-02-14 12:08:20.832,235.27,0.014,50.06,39.0,2.0,0.0,3.0,0.608,32.85,14.134
2025-02-14 12:08:21.056,235.23,0.014,50.06,33.9,2.0,0.0,3.0,0.614,32.85,14.134
2025-02-14 12:08:22.288,235.09,0.014,50.06,33.2,2.0,0.0,3.0,0.616,32.85,14.134
2025-02-14 12:08:23.513,234.94,0.014,50.06,36.0,2.0,0.0,3.0,0.626,32.85,14.134
2025-02-14 12:08:24.757,235.03,0.014,50.06,37.0,2.0,0.0,3.0,0.627,32.85,14.134
