Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-15 12:52:40.332,234.7,0.012,50.01,30.9,1.0,0.0,2.0,0.648,32.856,14.136
2025-02-15 12:52:42.558,234.74,0.012,50.01,36.9,1.0,0.0,2.0,0.676,32.856,14.136
2025-02-15 12:52:43.810,234.69,0.012,50.01,34.4,1.0,0.0,2.0,0.676,32.856,14.136
2025-02-15 12:52:44.033,234.56,0.013,50.01,37.2,1.0,0.0,3.0,0.638,32.856,14.136
2025-02-15 12:52:45.257,234.58,0.012,50.01,32.3,1.0,0.0,2.0,0.647,32.856,14.136
2025-02-15 12:52:46.481,234.66,0.012,50.01,38.3,1.0,0.0,2.0,0.648,32.856,14.136
2025-02-15 12:52:48.708,234.68,0.012,50.01,41.4,1.0,0.0,2.0,0.647,32.856,14.136
2025-02-15 12:52:49.959,234.73,0.012,50.01,41.1,1.0,0.0,2.0,0.649,32.856,14.136
2025-02-15 12:52:50.183,234.67,0.012,50.01,41.8,1.0,0.0,2.0,0.651,32.856,14.136
2025-02-15 12:52:51.408,234.72,0.012,50.01,37.0,1.0,0.0,2.0,0.649,32.856,14.136
2025-02-15 12:52:53.633,234.73,0.013,50.01,34.4,1.0,0.0,3.0,0.63,32.856,14.136
2025-02-15 12:52:54.865,234.76,0.013,50.01,31.4,2.0,0.0,3.0,0.635,32.856,14.136
2025-02-15 12:52:55.110,234.86,0.013,50.01,26.5,2.0,0.0,3.0,0.641,32.856,14.136
2025-02-15 12:52:56.334,234.89,0.013,50.01,25.1,2.0,0.0,3.0,0.642,32.856,14.136
2025-02-15 12:52:58.559,234.76,0.013,50.01,25.3,2.0,0.0,3.0,0.634,32.856,14.136
2025-02-15 12:52:59.786,234.66,0.012,50.01,28.8,1.0,0.0,2.0,0.654,32.856,14.136
2025-02-15 12:53:00.031,234.77,0.012,50.01,29.5,1.0,0.0,2.0,0.658,32.856,14.136
2025-02-15 12:53:01.254,234.8,0.013,50.01,23.7,2.0,0.0,3.0,0.636,32.856,14.136
2025-02-15 12:53:02.478,234.74,0.013,50.01,30.9,2.0,0.0,3.0,0.642,32.856,14.136
2025-02-15 12:53:04.702,234.69,0.014,50.01,32.1,2.0,0.0,3.0,0.611,32.856,14.136
2025-02-15 12:53:05.932,234.67,0.013,50.0,33.7,2.0,0.0,3.0,0.637,32.856,14.136
2025-02-15 12:53:06.177,234.65,0.012,50.0,29.0,1.0,0.0,2.0,0.648,32.856,14.136
2025-02-15 12:53:07.400,234.64,0.012,50.0,32.6,1.0,0.0,2.0,0.65,32.856,14.136
2025-02-15 12:53:09.625,234.7,0.012,50.0,36.0,1.0,0.0,2.0,0.649,32.856,14.136
2025-02-15 12:53:10.857,234.79,0.012,50.0,33.5,1.0,0.0,2.0,0.648,32.856,14.136
2025-02-15 12:53:11.102,234.86,0.012,50.0,27.2,1.0,0.0,2.0,0.65,32.856,14.136
2025-02-15 12:53:12.326,234.83,0.014,50.0,33.3,2.0,0.0,3.0,0.617,32.856,14.136
2025-02-15 12:53:14.550,234.85,0.013,50.0,31.9,2.0,0.0,3.0,0.638,32.856,14.136
2025-02-15 12:53:15.774,234.77,0.013,50.0,33.5,1.0,0.0,3.0,0.626,32.856,14.136
2025-02-15 12:53:16.007,234.79,0.018,50.0,29.7,2.0,0.0,4.0,0.589,32.856,14.136
2025-02-15 12:53:17.252,234.79,0.019,50.0,31.8,2.0,0.0,4.0,0.591,32.856,14.136
2025-02-15 12:53:18.475,234.85,0.02,50.0,31.1,2.0,0.0,4.0,0.576,32.856,14.136
2025-02-15 12:53:20.701,234.84,0.019,50.0,28.4,2.0,0.0,4.0,0.594,32.856,14.136
