Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-12 12:13:39.610,234.13,0.013,50.0,45.3,1.0,0.0,3.0,0.6,32.822,14.123
2025-02-12 12:13:40.836,234.05,0.013,50.0,41.3,1.0,0.0,3.0,0.625,32.822,14.123
2025-02-12 12:13:42.225,233.84,0.013,49.99,45.5,1.0,0.0,3.0,0.625,32.822,14.123
2025-02-12 12:13:43.470,233.78,0.015,49.99,36.3,2.0,0.0,3.0,0.599,32.822,14.123
2025-02-12 12:13:44.695,233.77,0.015,49.99,38.8,2.0,0.0,3.0,0.599,32.822,14.123
2025-02-12 12:13:45.920,233.83,0.014,49.99,36.7,2.0,0.0,3.0,0.619,32.822,14.123
2025-02-12 12:13:47.408,234.05,0.013,49.99,44.1,1.0,0.0,3.0,0.627,32.822,14.123
2025-02-12 12:13:48.633,234.09,0.012,50.0,42.7,1.0,0.0,2.0,0.652,32.822,14.123
2025-02-12 12:13:49.857,234.2,0.013,50.0,46.2,1.0,0.0,3.0,0.627,32.822,14.123
2025-02-12 12:13:50.363,234.28,0.012,50.0,37.6,1.0,0.0,2.0,0.654,32.822,14.123
2025-02-12 12:13:52.587,234.3,0.014,50.01,38.6,2.0,0.0,3.0,0.612,32.822,14.123
2025-02-12 12:13:53.811,234.22,0.014,50.01,42.1,2.0,0.0,3.0,0.624,32.822,14.123
2025-02-12 12:13:54.034,234.17,0.014,50.01,36.3,2.0,0.0,3.0,0.62,32.822,14.123
2025-02-12 12:13:56.266,234.13,0.013,50.01,44.8,1.0,0.0,3.0,0.641,32.822,14.123
2025-02-12 12:13:57.508,234.02,0.013,50.01,45.5,1.0,0.0,3.0,0.629,32.822,14.123
2025-02-12 12:13:58.732,234.02,0.013,50.01,37.9,1.0,0.0,3.0,0.626,32.822,14.123
2025-02-12 12:13:59.956,233.96,0.013,50.01,45.7,1.0,0.0,3.0,0.629,32.822,14.123
2025-02-12 12:14:01.180,234.06,0.014,50.01,45.1,2.0,0.0,3.0,0.615,32.822,14.123
