Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
1900-01-02 02:52:54.071,234.43,0.012,49.98,40.4,1.0,0.0,2.0,0.65,32.804,14.115
1900-01-02 02:52:56.315,234.37,0.012,49.98,38.3,1.0,0.0,2.0,0.652,32.804,14.115
1900-01-02 02:52:57.538,234.37,0.013,49.98,33.2,1.0,0.0,3.0,0.628,32.804,14.115
1900-01-02 02:52:58.768,234.34,0.013,49.98,31.1,1.0,0.0,3.0,0.629,32.804,14.115
1900-01-02 02:52:59.993,234.26,0.012,49.98,33.2,1.0,0.0,2.0,0.653,32.804,14.115
1900-01-02 02:53:01.216,234.35,0.014,49.98,37.9,2.0,0.0,3.0,0.626,32.804,14.115
1900-01-02 02:53:02.461,234.36,0.013,49.98,36.3,1.0,0.0,3.0,0.641,32.804,14.115
1900-01-02 02:53:03.683,234.36,0.012,49.98,34.2,1.0,0.0,2.0,0.656,32.804,14.115
1900-01-02 02:53:04.914,234.43,0.013,49.99,46.4,1.0,0.0,3.0,0.626,32.804,14.115
1900-01-02 02:53:06.137,234.31,0.013,49.99,39.7,1.0,0.0,3.0,0.628,32.804,14.115
1900-01-02 02:53:07.381,234.25,0.013,49.99,39.0,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:53:08.604,234.29,0.013,49.99,36.3,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:53:09.836,234.27,0.013,49.99,46.9,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:53:10.060,234.2,0.013,49.99,33.3,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:53:12.283,234.28,0.013,50.0,37.2,1.0,0.0,3.0,0.63,32.804,14.115
1900-01-02 02:53:13.526,234.22,0.013,50.0,35.6,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:53:14.757,234.1,0.013,50.0,36.7,1.0,0.0,3.0,0.624,32.804,14.115
1900-01-02 02:53:15.980,234.0,0.013,50.0,41.6,1.0,0.0,3.0,0.629,32.804,14.115
1900-01-02 02:53:17.203,233.99,0.013,50.0,36.0,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:53:18.447,234.01,0.013,50.0,41.4,1.0,0.0,3.0,0.63,32.804,14.115
1900-01-02 02:53:19.670,234.1,0.013,50.0,38.1,1.0,0.0,3.0,0.626,32.804,14.115
1900-01-02 02:53:20.901,234.07,0.013,50.0,37.6,1.0,0.0,3.0,0.627,32.804,14.115
1900-01-02 02:53:22.124,234.09,0.013,50.0,36.5,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:53:23.348,234.11,0.014,50.0,39.7,2.0,0.0,3.0,0.61,32.804,14.115
1900-01-02 02:53:24.591,234.2,0.014,50.0,34.8,2.0,0.0,3.0,0.616,32.804,14.115
1900-01-02 02:53:25.822,234.25,0.014,50.0,36.9,2.0,0.0,3.0,0.617,32.804,14.115
1900-01-02 02:53:26.045,234.29,0.015,50.0,38.3,2.0,0.0,3.0,0.603,32.804,14.115
1900-01-02 02:53:28.269,234.25,0.014,50.0,36.2,2.0,0.0,3.0,0.617,32.804,14.115
1900-01-02 02:53:29.491,234.17,0.014,49.99,32.1,2.0,0.0,3.0,0.624,32.804,14.115
1900-01-02 02:53:30.743,234.02,0.013,49.99,37.9,1.0,0.0,3.0,0.623,32.804,14.115
1900-01-02 02:53:31.967,234.03,0.013,49.99,38.3,1.0,0.0,3.0,0.627,32.804,14.115
1900-01-02 02:53:33.189,233.98,0.014,49.98,31.1,2.0,0.0,3.0,0.624,32.804,14.115
1900-01-02 02:53:34.412,233.94,0.014,49.98,42.0,2.0,0.0,3.0,0.61,32.804,14.115
1900-01-02 02:53:35.655,234.01,0.015,49.98,43.4,2.0,0.0,3.0,0.613,32.804,14.115
1900-01-02 02:53:36.886,234.08,0.013,49.97,40.4,1.0,0.0,3.0,0.629,32.804,14.115
1900-01-02 02:53:37.110,234.02,0.013,49.97,44.6,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:53:39.332,234.14,0.014,49.97,36.9,2.0,0.0,3.0,0.62,32.804,14.115
1900-01-02 02:53:40.555,234.07,0.013,49.96,38.3,1.0,0.0,3.0,0.63,32.804,14.115
1900-01-02 02:53:41.806,234.09,0.013,49.96,40.2,1.0,0.0,3.0,0.629,32.804,14.115
1900-01-02 02:53:42.029,234.12,0.013,49.96,31.1,1.0,0.0,3.0,0.627,32.804,14.115
1900-01-02 02:53:44.252,234.13,0.013,49.96,38.8,1.0,0.0,3.0,0.626,32.804,14.115
1900-01-02 02:53:45.476,234.21,0.014,49.97,43.7,2.0,0.0,3.0,0.618,32.804,14.115
1900-01-02 02:53:46.728,234.32,0.014,49.97,41.3,2.0,0.0,3.0,0.624,32.804,14.115
1900-01-02 02:53:47.952,234.22,0.017,49.96,34.4,2.0,0.0,4.0,0.58,32.804,14.115
1900-01-02 02:53:49.174,234.21,0.013,49.96,39.7,1.0,0.0,3.0,0.635,32.804,14.115
1900-01-02 02:53:50.398,234.23,0.013,49.96,44.4,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:53:51.621,234.21,0.013,49.96,42.0,1.0,0.0,3.0,0.621,32.804,14.115
1900-01-02 02:53:52.873,234.28,0.017,49.96,40.9,2.0,0.0,4.0,0.593,32.804,14.115
1900-01-02 02:53:53.095,234.34,0.017,49.96,39.7,2.0,0.0,3.0,0.592,32.804,14.115
1900-01-02 02:53:55.318,234.41,0.014,49.96,42.7,2.0,0.0,3.0,0.616,32.804,14.115
1900-01-02 02:53:56.541,234.45,0.013,49.97,40.9,1.0,0.0,3.0,0.629,32.804,14.115
1900-01-02 02:53:57.793,234.44,0.017,49.97,34.1,2.0,0.0,4.0,0.591,32.804,14.115
1900-01-02 02:53:58.017,234.39,0.013,49.97,33.7,1.0,0.0,3.0,0.627,32.804,14.115
1900-01-02 02:54:00.240,234.39,0.013,49.97,34.6,1.0,0.0,3.0,0.611,32.804,14.115
1900-01-02 02:54:01.462,234.42,0.014,49.97,33.7,2.0,0.0,3.0,0.617,32.804,14.115
1900-01-02 02:54:02.686,234.4,0.013,49.97,36.9,1.0,0.0,3.0,0.634,32.804,14.115
1900-01-02 02:54:03.936,234.41,0.013,49.97,36.2,1.0,0.0,3.0,0.627,32.804,14.115
1900-01-02 02:54:05.160,234.45,0.013,49.98,30.4,1.0,0.0,3.0,0.627,32.804,14.115
1900-01-02 02:54:06.382,234.35,0.013,49.98,31.8,1.0,0.0,3.0,0.629,32.804,14.115
1900-01-02 02:54:07.606,234.32,0.013,49.98,30.5,1.0,0.0,3.0,0.627,32.804,14.115
1900-01-02 02:54:08.836,234.28,0.013,49.98,33.0,1.0,0.0,3.0,0.628,32.804,14.115
1900-01-02 02:54:09.080,234.25,0.013,49.98,41.6,1.0,0.0,3.0,0.625,32.804,14.115
1900-01-02 02:54:11.302,234.21,0.013,49.97,42.5,1.0,0.0,3.0,0.622,32.804,14.115
1900-01-02 02:54:12.525,234.25,0.013,49.97,36.3,1.0,0.0,3.0,0.627,32.804,14.115
1900-01-02 02:54:13.756,234.07,0.014,49.97,37.9,2.0,0.0,3.0,0.612,32.804,14.115
1900-01-02 02:54:14.999,233.92,0.017,49.96,32.8,2.0,0.0,4.0,0.59,32.804,14.115
1900-01-02 02:54:16.222,233.95,0.017,49.96,44.2,2.0,0.0,3.0,0.592,32.804,14.115
1900-01-02 02:54:17.445,233.93,0.019,49.96,41.8,2.0,0.0,4.0,0.574,32.804,14.115
