Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-11 16:40:42.461,235.61,0.013,49.95,42.7,1.0,0.0,3.0,0.603,32.811,14.116
2025-02-11 16:40:43.685,235.61,0.013,49.95,45.1,1.0,0.0,3.0,0.603,32.811,14.116
2025-02-11 16:40:44.908,235.6,0.013,49.95,43.0,1.0,0.0,3.0,0.628,32.811,14.116
2025-02-11 16:40:45.139,235.58,0.013,49.95,41.4,1.0,0.0,3.0,0.602,32.811,14.116
2025-02-11 16:40:47.363,235.4,0.013,49.94,40.0,1.0,0.0,3.0,0.602,32.811,14.116
2025-02-11 16:40:48.587,235.53,0.014,49.94,44.1,1.0,0.0,3.0,0.604,32.811,14.116
2025-02-11 16:40:49.812,235.64,0.015,49.94,37.9,2.0,0.0,3.0,0.591,32.811,14.116
2025-02-11 16:40:50.035,235.69,0.013,49.94,40.6,1.0,0.0,3.0,0.603,32.811,14.116
2025-02-11 16:40:51.266,235.99,0.013,49.95,39.5,1.0,0.0,3.0,0.604,32.811,14.116
2025-02-11 16:40:53.490,236.02,0.013,49.95,35.8,1.0,0.0,3.0,0.604,32.811,14.116
2025-02-11 16:40:54.714,236.04,0.013,49.95,40.6,1.0,0.0,3.0,0.605,32.811,14.116
2025-02-11 16:40:55.937,236.16,0.013,49.96,36.5,1.0,0.0,3.0,0.599,32.811,14.116
2025-02-11 16:40:56.189,236.09,0.013,49.96,48.1,1.0,0.0,3.0,0.624,32.811,14.116
2025-02-11 16:40:58.413,236.11,0.013,49.96,40.9,1.0,0.0,3.0,0.603,32.811,14.116
2025-02-11 16:40:59.637,235.94,0.013,49.96,37.7,1.0,0.0,3.0,0.598,32.811,14.116
2025-02-11 16:41:00.860,235.9,0.013,49.97,45.0,1.0,0.0,3.0,0.6,32.811,14.116
2025-02-11 16:41:01.083,235.85,0.013,49.97,44.8,1.0,0.0,3.0,0.625,32.811,14.116
2025-02-11 16:41:03.307,235.83,0.014,49.97,32.5,1.0,0.0,3.0,0.607,32.811,14.116
2025-02-11 16:41:04.532,235.87,0.014,49.97,34.9,2.0,0.0,3.0,0.596,32.811,14.116
2025-02-11 16:41:05.755,235.85,0.015,49.97,38.1,2.0,0.0,3.0,0.578,32.811,14.116
2025-02-11 16:41:06.978,235.91,0.014,49.97,36.5,2.0,0.0,3.0,0.602,32.811,14.116
2025-02-11 16:41:07.209,235.89,0.014,49.97,35.6,2.0,0.0,3.0,0.596,32.811,14.116
2025-02-11 16:41:09.433,235.85,0.014,49.98,48.1,2.0,0.0,3.0,0.599,32.811,14.116
2025-02-11 16:41:10.657,235.84,0.014,49.97,47.9,2.0,0.0,3.0,0.597,32.811,14.116
2025-02-11 16:41:11.880,235.86,0.014,49.98,44.6,2.0,0.0,3.0,0.596,32.811,14.116
2025-02-11 16:41:12.132,235.78,0.013,49.97,38.8,1.0,0.0,3.0,0.603,32.811,14.116
2025-02-11 16:41:14.359,235.54,0.014,49.97,44.2,2.0,0.0,3.0,0.592,32.811,14.116
2025-02-11 16:41:15.583,235.45,0.015,49.96,41.1,2.0,0.0,3.0,0.587,32.811,14.116
2025-02-11 16:41:16.807,235.46,0.014,49.96,41.1,2.0,0.0,3.0,0.596,32.811,14.116
2025-02-11 16:41:17.030,235.43,0.013,49.96,41.8,1.0,0.0,3.0,0.602,32.811,14.116
2025-02-11 16:41:18.281,235.53,0.014,49.95,37.4,2.0,0.0,3.0,0.596,32.811,14.116
2025-02-11 16:41:20.505,235.69,0.015,49.95,39.9,2.0,0.0,3.0,0.59,32.811,14.116
2025-02-11 16:41:21.728,235.87,0.017,49.95,40.7,2.0,0.0,3.0,0.59,32.811,14.116
2025-02-11 16:41:22.950,235.86,0.017,49.95,40.2,2.0,0.0,3.0,0.587,32.811,14.116
2025-02-11 16:41:23.182,235.9,0.017,49.95,41.4,2.0,0.0,4.0,0.579,32.811,14.116
2025-02-11 16:41:25.405,235.94,0.014,49.95,39.3,1.0,0.0,3.0,0.606,32.811,14.116
2025-02-11 16:41:26.630,235.83,0.014,49.95,42.0,1.0,0.0,3.0,0.602,32.811,14.116
2025-02-11 16:41:27.852,235.74,0.014,49.94,41.1,1.0,0.0,3.0,0.586,32.811,14.116
2025-02-11 16:41:28.103,235.57,0.013,49.94,27.9,1.0,0.0,3.0,0.603,32.811,14.116
2025-02-11 16:41:30.327,235.63,0.014,49.94,30.2,2.0,0.0,3.0,0.594,32.811,14.116
2025-02-11 16:41:31.550,235.66,0.013,49.94,35.6,1.0,0.0,3.0,0.604,32.811,14.116
