Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
1900-01-02 01:14:28.047,236.12,0.013,50.02,41.8,1.0,0.0,3.0,0.628,32.801,14.114
1900-01-02 01:14:29.291,236.16,0.013,50.02,40.7,1.0,0.0,3.0,0.627,32.801,14.114
1900-01-02 01:14:30.523,236.15,0.013,50.01,38.4,1.0,0.0,3.0,0.625,32.801,14.114
1900-01-02 01:14:31.747,236.22,0.013,50.01,46.2,1.0,0.0,3.0,0.629,32.801,14.114
1900-01-02 01:14:33.971,236.18,0.013,50.01,45.5,1.0,0.0,3.0,0.628,32.801,14.114
1900-01-02 01:14:34.193,236.3,0.013,50.01,44.1,1.0,0.0,3.0,0.617,32.801,14.114
1900-01-02 01:14:35.438,236.33,0.014,50.01,43.9,2.0,0.0,3.0,0.623,32.801,14.114
1900-01-02 01:14:36.670,236.23,0.013,50.01,40.9,1.0,0.0,3.0,0.627,32.801,14.114
1900-01-02 01:14:38.894,236.35,0.013,50.01,48.8,1.0,0.0,3.0,0.616,32.801,14.114
1900-01-02 01:14:39.118,236.4,0.013,50.02,45.3,1.0,0.0,3.0,0.619,32.801,14.114
1900-01-02 01:14:40.362,236.4,0.013,50.02,45.0,1.0,0.0,3.0,0.619,32.801,14.114
1900-01-02 01:14:41.592,236.43,0.012,50.02,42.3,1.0,0.0,2.0,0.642,32.801,14.114
1900-01-02 01:14:42.816,236.48,0.013,50.02,37.0,1.0,0.0,3.0,0.619,32.801,14.114
1900-01-02 01:14:44.038,236.63,0.013,50.03,43.4,1.0,0.0,3.0,0.62,32.801,14.114
1900-01-02 01:14:45.261,236.4,0.013,50.03,45.0,1.0,0.0,3.0,0.618,32.801,14.114
1900-01-02 01:14:46.504,236.45,0.012,50.03,35.6,1.0,0.0,2.0,0.641,32.801,14.114
