Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
1900-01-02 02:21:14.693,233.48,0.015,50.02,35.3,2.0,0.0,3.0,0.599,32.803,14.115
1900-01-02 02:21:15.917,233.41,0.013,50.02,42.1,1.0,0.0,3.0,0.625,32.803,14.115
1900-01-02 02:21:17.140,233.44,0.013,50.02,43.7,1.0,0.0,3.0,0.623,32.803,14.115
1900-01-02 02:21:18.363,233.45,0.013,50.02,42.3,1.0,0.0,3.0,0.626,32.803,14.115
1900-01-02 02:21:19.586,233.41,0.013,50.02,40.9,1.0,0.0,3.0,0.623,32.803,14.115
1900-01-02 02:21:20.816,233.5,0.013,50.02,39.0,1.0,0.0,3.0,0.627,32.803,14.115
1900-01-02 02:21:22.039,233.45,0.013,50.02,49.9,1.0,0.0,3.0,0.623,32.803,14.115
1900-01-02 02:21:23.262,233.52,0.013,50.03,42.8,1.0,0.0,3.0,0.63,32.803,14.115
1900-01-02 02:21:24.484,233.52,0.013,50.03,43.2,1.0,0.0,3.0,0.629,32.803,14.115
1900-01-02 02:21:25.715,233.44,0.013,50.03,44.4,1.0,0.0,3.0,0.627,32.803,14.115
1900-01-02 02:21:26.937,233.49,0.013,50.03,41.1,1.0,0.0,3.0,0.624,32.803,14.115
1900-01-02 02:21:28.160,233.47,0.013,50.03,39.1,1.0,0.0,3.0,0.623,32.803,14.115
1900-01-02 02:21:29.383,233.51,0.013,50.03,41.3,1.0,0.0,3.0,0.628,32.803,14.115
1900-01-02 02:21:30.605,233.58,0.013,50.03,34.9,1.0,0.0,3.0,0.627,32.803,14.115
1900-01-02 02:21:31.835,233.57,0.013,50.03,48.1,1.0,0.0,3.0,0.625,32.803,14.115
1900-01-02 02:21:33.057,233.52,0.013,50.03,44.6,1.0,0.0,3.0,0.625,32.803,14.115
1900-01-02 02:21:34.280,233.49,0.013,50.02,40.6,1.0,0.0,3.0,0.625,32.803,14.115
1900-01-02 02:21:35.503,233.34,0.013,50.02,34.6,1.0,0.0,3.0,0.625,32.803,14.115
1900-01-02 02:21:36.733,233.26,0.013,50.02,42.8,1.0,0.0,3.0,0.623,32.803,14.115
