Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
1900-01-02 01:44:57.724,234.47,0.012,50.05,44.8,1.0,0.0,2.0,0.65,32.802,14.115
1900-01-02 01:44:59.947,234.33,0.012,50.06,36.7,1.0,0.0,2.0,0.65,32.802,14.115
1900-01-02 01:45:00.171,234.3,0.012,50.06,42.3,1.0,0.0,2.0,0.654,32.802,14.115
1900-01-02 01:45:01.395,234.25,0.012,50.06,37.9,1.0,0.0,2.0,0.653,32.802,14.115
1900-01-02 01:45:02.627,234.28,0.012,50.06,44.6,1.0,0.0,2.0,0.652,32.802,14.115
1900-01-02 01:45:03.850,234.27,0.012,50.06,40.7,1.0,0.0,2.0,0.654,32.802,14.115
1900-01-02 01:45:05.073,234.14,0.014,50.06,46.0,2.0,0.0,3.0,0.625,32.802,14.115
1900-01-02 01:45:06.295,234.13,0.013,50.06,46.9,2.0,0.0,3.0,0.634,32.802,14.115
1900-01-02 01:45:07.518,234.12,0.013,50.06,51.8,1.0,0.0,3.0,0.628,32.802,14.115
1900-01-02 01:45:08.748,234.07,0.012,50.05,47.9,1.0,0.0,2.0,0.652,32.802,14.115
1900-01-02 01:45:10.971,234.22,0.012,50.05,44.6,1.0,0.0,2.0,0.653,32.802,14.115
1900-01-02 01:45:11.195,234.04,0.012,50.05,39.3,1.0,0.0,2.0,0.653,32.802,14.115
1900-01-02 01:45:12.418,234.0,0.012,50.04,43.0,1.0,0.0,2.0,0.653,32.802,14.115
1900-01-02 01:45:13.649,233.98,0.012,50.04,43.4,1.0,0.0,2.0,0.654,32.802,14.115
1900-01-02 01:45:14.871,234.01,0.012,50.03,45.8,1.0,0.0,2.0,0.653,32.802,14.115
1900-01-02 01:45:16.094,233.91,0.012,50.02,47.9,1.0,0.0,2.0,0.653,32.802,14.115
1900-01-02 01:45:17.317,233.86,0.012,50.02,34.9,1.0,0.0,2.0,0.652,32.802,14.115
1900-01-02 01:45:18.540,233.87,0.012,50.01,30.5,1.0,0.0,2.0,0.655,32.802,14.115
1900-01-02 01:45:19.771,234.04,0.012,50.0,30.7,1.0,0.0,2.0,0.653,32.802,14.115
1900-01-02 01:45:21.993,234.1,0.012,50.0,36.5,1.0,0.0,2.0,0.651,32.802,14.115
1900-01-02 01:45:22.216,234.18,0.012,50.0,38.8,1.0,0.0,2.0,0.649,32.802,14.115
1900-01-02 01:45:23.440,234.21,0.012,50.0,31.6,1.0,0.0,2.0,0.651,32.802,14.115
1900-01-02 01:45:24.671,234.23,0.012,50.0,40.6,1.0,0.0,2.0,0.654,32.802,14.115
1900-01-02 01:45:25.894,234.24,0.012,50.0,35.1,1.0,0.0,2.0,0.653,32.802,14.115
1900-01-02 01:45:27.116,234.16,0.012,50.0,39.3,1.0,0.0,2.0,0.651,32.802,14.115
1900-01-02 01:45:28.339,234.22,0.012,50.0,38.6,1.0,0.0,2.0,0.65,32.802,14.115
1900-01-02 01:45:29.562,234.16,0.012,50.0,32.8,1.0,0.0,2.0,0.649,32.802,14.115
1900-01-02 01:45:30.791,234.17,0.014,50.0,31.2,2.0,0.0,3.0,0.625,32.802,14.115
1900-01-02 01:45:32.014,234.26,0.014,50.0,30.7,2.0,0.0,3.0,0.631,32.802,14.115
1900-01-02 01:45:33.235,234.34,0.014,50.0,40.9,2.0,0.0,3.0,0.632,32.802,14.115
1900-01-02 01:45:34.459,234.37,0.014,50.0,45.3,2.0,0.0,3.0,0.618,32.802,14.115
1900-01-02 01:45:35.689,234.35,0.015,50.01,41.8,2.0,0.0,3.0,0.612,32.802,14.115
1900-01-02 01:45:36.913,234.29,0.014,50.01,42.5,2.0,0.0,3.0,0.617,32.802,14.115
1900-01-02 01:45:38.135,234.21,0.014,50.01,46.0,2.0,0.0,3.0,0.615,32.802,14.115
1900-01-02 01:45:39.357,234.35,0.015,50.01,40.9,2.0,0.0,3.0,0.606,32.802,14.115
1900-01-02 01:45:40.588,234.39,0.014,50.01,46.5,2.0,0.0,3.0,0.617,32.802,14.115
1900-01-02 01:45:41.809,234.4,0.013,50.01,41.1,1.0,0.0,3.0,0.627,32.802,14.115
1900-01-02 01:45:43.032,234.45,0.013,50.01,38.1,1.0,0.0,3.0,0.631,32.802,14.115
1900-01-02 01:45:44.255,234.34,0.014,50.01,37.7,2.0,0.0,3.0,0.613,32.802,14.115
1900-01-02 01:45:45.477,234.29,0.014,50.02,48.6,2.0,0.0,3.0,0.618,32.802,14.115
1900-01-02 01:45:46.708,234.24,0.014,50.02,44.2,2.0,0.0,3.0,0.62,32.802,14.115
1900-01-02 01:45:48.930,234.36,0.014,50.02,41.4,2.0,0.0,3.0,0.62,32.802,14.115
1900-01-02 01:45:49.153,234.42,0.013,50.02,33.0,1.0,0.0,3.0,0.619,32.802,14.115
1900-01-02 01:45:50.376,234.39,0.014,50.02,39.7,2.0,0.0,3.0,0.614,32.802,14.115
