Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-13 13:55:19.881,235.49,0.013,49.99,35.8,1.0,0.0,3.0,0.625,32.843,14.133
2025-02-13 13:55:21.109,235.4,0.013,49.99,36.5,1.0,0.0,3.0,0.625,32.843,14.133
2025-02-13 13:55:22.335,235.39,0.013,49.99,35.8,1.0,0.0,3.0,0.63,32.843,14.133
2025-02-13 13:55:23.568,235.31,0.013,49.98,37.4,1.0,0.0,3.0,0.602,32.843,14.133
2025-02-13 13:55:24.793,235.28,0.013,49.98,46.2,1.0,0.0,3.0,0.607,32.843,14.133
2025-02-13 13:55:25.040,235.23,0.013,49.98,42.7,1.0,0.0,3.0,0.601,32.843,14.133
2025-02-13 13:55:27.265,235.18,0.013,49.98,41.1,1.0,0.0,3.0,0.603,32.843,14.133
2025-02-13 13:55:28.498,235.16,0.013,49.98,44.4,1.0,0.0,3.0,0.603,32.843,14.133
2025-02-13 13:55:29.722,235.02,0.013,49.98,47.1,1.0,0.0,3.0,0.602,32.843,14.133
2025-02-13 13:55:30.969,234.98,0.013,49.97,43.9,1.0,0.0,3.0,0.598,32.843,14.133
2025-02-13 13:55:32.195,235.05,0.013,49.98,49.7,1.0,0.0,3.0,0.603,32.843,14.133
2025-02-13 13:55:33.427,235.2,0.014,49.98,51.6,2.0,0.0,3.0,0.6,32.843,14.133
2025-02-13 13:55:34.655,235.23,0.016,49.98,49.2,2.0,0.0,3.0,0.576,32.843,14.133
2025-02-13 13:55:35.879,235.16,0.015,49.98,46.4,2.0,0.0,3.0,0.583,32.843,14.133
2025-02-13 13:55:37.125,235.05,0.014,49.98,47.9,2.0,0.0,3.0,0.593,32.843,14.133
2025-02-13 13:55:38.349,235.05,0.015,49.98,47.2,2.0,0.0,3.0,0.581,32.843,14.133
2025-02-13 13:55:39.581,235.13,0.015,49.98,47.1,2.0,0.0,3.0,0.6,32.843,14.133
2025-02-13 13:55:40.807,235.12,0.015,49.99,48.8,2.0,0.0,3.0,0.594,32.843,14.133
2025-02-13 13:55:41.053,235.17,0.016,49.99,39.1,2.0,0.0,3.0,0.597,32.843,14.133
2025-02-13 13:55:43.281,235.11,0.014,49.99,38.4,2.0,0.0,3.0,0.611,32.843,14.133
2025-02-13 13:55:44.514,235.11,0.014,49.99,46.2,2.0,0.0,3.0,0.608,32.843,14.133
2025-02-13 13:55:45.738,234.9,0.014,49.98,47.1,2.0,0.0,3.0,0.597,32.843,14.133
