Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-15 16:00:04.417,236.09,0.012,50.05,30.5,1.0,0.0,2.0,0.639,32.863,14.137
2025-02-15 16:00:05.642,236.11,0.012,50.04,41.4,1.0,0.0,2.0,0.641,32.863,14.137
2025-02-15 16:00:06.888,236.25,0.012,50.04,39.1,1.0,0.0,2.0,0.641,32.863,14.137
2025-02-15 16:00:08.119,236.3,0.013,50.04,41.3,2.0,0.0,3.0,0.651,32.863,14.137
2025-02-15 16:00:09.345,236.38,0.012,50.05,38.3,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:00:10.570,236.35,0.012,50.04,38.6,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:00:11.795,236.32,0.012,50.05,39.7,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:00:13.019,236.26,0.012,50.05,33.5,1.0,0.0,2.0,0.639,32.863,14.137
2025-02-15 16:00:14.251,236.18,0.012,50.05,36.2,1.0,0.0,2.0,0.639,32.863,14.137
2025-02-15 16:00:15.475,236.16,0.014,50.05,39.1,2.0,0.0,3.0,0.645,32.863,14.137
2025-02-15 16:00:16.699,236.15,0.012,50.05,33.7,1.0,0.0,2.0,0.643,32.863,14.137
2025-02-15 16:00:17.924,236.1,0.012,50.05,29.8,1.0,0.0,2.0,0.641,32.863,14.137
2025-02-15 16:00:19.156,236.1,0.012,50.05,31.4,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:00:20.380,236.0,0.013,50.05,31.1,2.0,0.0,3.0,0.657,32.863,14.137
2025-02-15 16:00:21.606,235.97,0.014,50.05,31.4,2.0,0.0,3.0,0.645,32.863,14.137
2025-02-15 16:00:22.851,235.98,0.015,50.05,31.9,2.0,0.0,3.0,0.628,32.863,14.137
2025-02-15 16:00:24.083,235.92,0.016,50.05,32.8,2.0,0.0,3.0,0.622,32.863,14.137
2025-02-15 16:00:25.307,235.89,0.018,50.05,35.8,2.0,0.0,4.0,0.627,32.863,14.137
2025-02-15 16:00:26.531,235.89,0.018,50.06,31.9,2.0,0.0,4.0,0.622,32.863,14.137
2025-02-15 16:00:27.755,235.98,0.018,50.06,36.3,2.0,0.0,4.0,0.624,32.863,14.137
2025-02-15 16:00:29.980,235.96,0.018,50.06,35.8,2.0,0.0,4.0,0.625,32.863,14.137
2025-02-15 16:00:30.212,235.92,0.013,50.07,31.9,2.0,0.0,3.0,0.642,32.863,14.137
2025-02-15 16:00:31.436,235.96,0.012,50.07,39.9,1.0,0.0,2.0,0.644,32.863,14.137
2025-02-15 16:00:32.660,236.04,0.012,50.08,40.0,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:00:33.885,236.1,0.012,50.08,32.1,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:00:35.116,236.22,0.012,50.08,31.4,1.0,0.0,2.0,0.644,32.863,14.137
2025-02-15 16:00:36.341,236.32,0.012,50.08,44.6,1.0,0.0,2.0,0.638,32.863,14.137
2025-02-15 16:00:37.565,236.3,0.012,50.08,34.2,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:00:38.811,236.18,0.012,50.08,26.5,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:00:40.036,236.18,0.012,50.08,36.3,1.0,0.0,2.0,0.643,32.863,14.137
2025-02-15 16:00:41.268,236.12,0.012,50.08,39.0,1.0,0.0,2.0,0.639,32.863,14.137
2025-02-15 16:00:42.491,236.0,0.012,50.08,31.8,1.0,0.0,2.0,0.638,32.863,14.137
2025-02-15 16:00:43.715,235.97,0.012,50.07,30.5,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:00:45.939,235.9,0.012,50.07,41.3,1.0,0.0,2.0,0.648,32.863,14.137
2025-02-15 16:00:46.171,236.06,0.012,50.07,43.5,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:00:47.394,236.14,0.012,50.07,29.7,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:00:48.619,236.08,0.012,50.07,29.3,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:00:49.844,236.04,0.012,50.07,26.5,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:00:51.069,236.03,0.012,50.07,26.3,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:00:52.298,236.03,0.012,50.07,41.4,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:00:53.522,235.98,0.012,50.07,34.6,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:00:54.768,235.95,0.012,50.07,36.0,1.0,0.0,2.0,0.638,32.863,14.137
2025-02-15 16:00:56.993,235.92,0.012,50.07,34.6,1.0,0.0,2.0,0.651,32.863,14.137
2025-02-15 16:00:57.226,235.87,0.012,50.07,40.0,1.0,0.0,2.0,0.65,32.863,14.137
2025-02-15 16:00:58.452,235.66,0.012,50.06,36.5,1.0,0.0,2.0,0.648,32.863,14.137
