Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-15 15:19:14.288,235.82,0.012,50.07,26.7,1.0,0.0,2.0,0.665,32.861,14.137
2025-02-15 15:19:15.514,235.73,0.012,50.06,36.2,1.0,0.0,2.0,0.647,32.861,14.137
2025-02-15 15:19:16.759,235.68,0.012,50.06,33.0,1.0,0.0,2.0,0.651,32.861,14.137
2025-02-15 15:19:18.982,235.65,0.012,50.06,35.5,1.0,0.0,2.0,0.647,32.861,14.137
2025-02-15 15:19:19.214,235.49,0.013,50.06,39.5,2.0,0.0,3.0,0.634,32.861,14.137
2025-02-15 15:19:20.438,235.43,0.012,50.05,42.3,1.0,0.0,2.0,0.648,32.861,14.137
2025-02-15 15:19:21.664,235.46,0.012,50.05,27.2,1.0,0.0,2.0,0.654,32.861,14.137
2025-02-15 15:19:23.909,235.55,0.012,50.05,36.5,1.0,0.0,2.0,0.647,32.861,14.137
2025-02-15 15:19:24.140,235.6,0.012,50.04,35.6,1.0,0.0,2.0,0.65,32.861,14.137
2025-02-15 15:19:25.366,235.65,0.012,50.04,32.3,1.0,0.0,2.0,0.649,32.861,14.137
2025-02-15 15:19:26.590,235.67,0.012,50.04,33.3,1.0,0.0,2.0,0.648,32.861,14.137
2025-02-15 15:19:27.815,235.68,0.012,50.03,38.8,1.0,0.0,2.0,0.647,32.861,14.137
2025-02-15 15:19:29.046,235.74,0.012,50.03,33.9,1.0,0.0,2.0,0.647,32.861,14.137
2025-02-15 15:19:30.271,235.83,0.012,50.03,30.9,1.0,0.0,2.0,0.648,32.861,14.137
2025-02-15 15:19:31.496,235.85,0.012,50.03,26.3,1.0,0.0,2.0,0.647,32.861,14.137
2025-02-15 15:19:32.741,235.84,0.012,50.03,29.7,1.0,0.0,2.0,0.647,32.861,14.137
2025-02-15 15:19:34.966,235.85,0.012,50.03,36.2,1.0,0.0,2.0,0.648,32.861,14.137
2025-02-15 15:19:35.198,235.7,0.012,50.03,35.8,1.0,0.0,2.0,0.648,32.861,14.137
2025-02-15 15:19:36.421,235.76,0.012,50.03,34.2,1.0,0.0,2.0,0.653,32.861,14.137
2025-02-15 15:19:37.646,235.76,0.012,50.03,29.8,1.0,0.0,2.0,0.65,32.861,14.137
2025-02-15 15:19:39.892,235.79,0.012,50.03,30.5,1.0,0.0,2.0,0.649,32.861,14.137
2025-02-15 15:19:40.124,235.83,0.012,50.03,35.1,1.0,0.0,2.0,0.647,32.861,14.137
2025-02-15 15:19:41.348,235.78,0.012,50.03,28.6,1.0,0.0,2.0,0.649,32.861,14.137
2025-02-15 15:19:42.572,235.88,0.012,50.04,37.2,1.0,0.0,2.0,0.649,32.861,14.137
2025-02-15 15:19:43.797,235.85,0.013,50.04,36.2,1.0,0.0,3.0,0.633,32.861,14.137
2025-02-15 15:19:45.029,235.77,0.013,50.04,29.8,2.0,0.0,3.0,0.644,32.861,14.137
2025-02-15 15:19:46.252,235.89,0.014,50.05,37.4,2.0,0.0,3.0,0.634,32.861,14.137
2025-02-15 15:19:47.477,235.86,0.014,50.05,32.3,2.0,0.0,3.0,0.633,32.861,14.137
2025-02-15 15:19:48.713,235.89,0.015,50.06,27.7,2.0,0.0,3.0,0.648,32.861,14.137
2025-02-15 15:19:50.937,235.92,0.017,50.06,35.3,2.0,0.0,3.0,0.636,32.861,14.137
2025-02-15 15:19:51.168,235.9,0.017,50.06,33.7,2.0,0.0,4.0,0.636,32.861,14.137
2025-02-15 15:19:52.392,235.87,0.018,50.07,30.0,2.0,0.0,4.0,0.632,32.861,14.137
2025-02-15 15:19:53.616,235.81,0.016,50.07,31.6,2.0,0.0,3.0,0.643,32.861,14.137
2025-02-15 15:19:55.862,235.8,0.018,50.07,31.6,2.0,0.0,4.0,0.618,32.861,14.137
2025-02-15 15:19:56.095,235.68,0.018,50.07,31.8,2.0,0.0,4.0,0.627,32.861,14.137
2025-02-15 15:19:57.319,235.66,0.018,50.07,29.1,2.0,0.0,4.0,0.623,32.861,14.137
2025-02-15 15:19:58.544,235.63,0.018,50.07,31.6,2.0,0.0,4.0,0.626,32.861,14.137
2025-02-15 15:19:59.769,235.5,0.018,50.07,33.2,2.0,0.0,4.0,0.62,32.861,14.137
2025-02-15 15:20:01.992,235.49,0.015,50.07,31.4,2.0,0.0,3.0,0.632,32.861,14.137
2025-02-15 15:20:02.225,235.38,0.016,50.06,34.1,2.0,0.0,3.0,0.636,32.861,14.137
2025-02-15 15:20:03.449,235.39,0.018,50.06,36.0,2.0,0.0,4.0,0.637,32.861,14.137
