Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-15 15:37:27.526,235.13,0.012,49.97,29.8,1.0,0.0,2.0,0.652,32.862,14.137
2025-02-15 15:37:28.771,235.12,0.012,49.97,29.1,1.0,0.0,2.0,0.653,32.862,14.137
2025-02-15 15:37:30.995,235.14,0.012,49.97,25.1,1.0,0.0,2.0,0.654,32.862,14.137
2025-02-15 15:37:31.226,235.1,0.012,49.97,28.6,1.0,0.0,2.0,0.654,32.862,14.137
2025-02-15 15:37:32.450,235.02,0.012,49.97,28.6,1.0,0.0,2.0,0.653,32.862,14.137
2025-02-15 15:37:33.674,235.04,0.012,49.97,33.2,1.0,0.0,2.0,0.653,32.862,14.137
2025-02-15 15:37:35.920,235.01,0.012,49.97,34.8,1.0,0.0,2.0,0.651,32.862,14.137
2025-02-15 15:37:36.151,234.95,0.012,49.97,31.8,1.0,0.0,2.0,0.65,32.862,14.137
2025-02-15 15:37:37.374,234.81,0.013,49.96,38.3,1.0,0.0,3.0,0.647,32.862,14.137
2025-02-15 15:37:38.598,234.83,0.014,49.96,35.8,2.0,0.0,3.0,0.639,32.862,14.137
2025-02-15 15:37:39.823,234.82,0.014,49.96,25.3,2.0,0.0,3.0,0.639,32.862,14.137
2025-02-15 15:37:41.054,234.86,0.013,49.96,32.3,2.0,0.0,3.0,0.645,32.862,14.137
2025-02-15 15:37:42.277,234.79,0.012,49.96,38.6,1.0,0.0,2.0,0.65,32.862,14.137
2025-02-15 15:37:43.500,234.89,0.012,49.96,30.7,1.0,0.0,2.0,0.65,32.862,14.137
2025-02-15 15:37:44.746,234.91,0.012,49.95,37.6,1.0,0.0,2.0,0.651,32.862,14.137
2025-02-15 15:37:46.970,235.05,0.012,49.96,37.9,1.0,0.0,2.0,0.651,32.862,14.137
2025-02-15 15:37:47.203,235.05,0.012,49.95,28.8,1.0,0.0,2.0,0.653,32.862,14.137
2025-02-15 15:37:48.426,234.93,0.013,49.95,30.9,1.0,0.0,3.0,0.637,32.862,14.137
2025-02-15 15:37:49.650,234.92,0.012,49.95,30.0,1.0,0.0,2.0,0.647,32.862,14.137
2025-02-15 15:37:50.896,234.91,0.012,49.96,30.9,1.0,0.0,2.0,0.653,32.862,14.137
2025-02-15 15:37:52.128,235.1,0.013,49.96,25.8,2.0,0.0,3.0,0.647,32.862,14.137
2025-02-15 15:37:53.351,235.19,0.014,49.96,31.2,2.0,0.0,3.0,0.637,32.862,14.137
2025-02-15 15:37:54.575,235.29,0.015,49.96,25.6,2.0,0.0,3.0,0.633,32.862,14.137
2025-02-15 15:37:55.800,235.31,0.015,49.96,31.6,2.0,0.0,3.0,0.618,32.862,14.137
2025-02-15 15:37:57.024,235.42,0.016,49.97,39.9,2.0,0.0,3.0,0.638,32.862,14.137
2025-02-15 15:37:58.256,235.47,0.018,49.97,28.8,2.0,0.0,4.0,0.636,32.862,14.137
2025-02-15 15:37:59.479,235.44,0.018,49.97,30.2,2.0,0.0,4.0,0.618,32.862,14.137
2025-02-15 15:38:00.714,235.39,0.018,49.97,30.5,2.0,0.0,4.0,0.624,32.862,14.137
