Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-15 14:54:40.877,235.37,0.012,50.03,34.4,1.0,0.0,2.0,0.675,32.861,14.136
2025-02-15 14:54:41.109,235.4,0.012,50.03,33.9,1.0,0.0,2.0,0.682,32.861,14.136
2025-02-15 14:54:42.333,235.59,0.012,50.03,28.8,1.0,0.0,2.0,0.668,32.861,14.136
2025-02-15 14:54:43.555,235.59,0.012,50.03,33.0,1.0,0.0,2.0,0.665,32.861,14.136
2025-02-15 14:54:45.801,235.57,0.013,50.03,27.2,2.0,0.0,3.0,0.662,32.861,14.136
2025-02-15 14:54:46.032,235.69,0.013,50.03,21.9,2.0,0.0,3.0,0.66,32.861,14.136
2025-02-15 14:54:47.258,235.64,0.013,50.03,24.7,2.0,0.0,3.0,0.664,32.861,14.136
2025-02-15 14:54:48.481,235.5,0.012,50.03,31.8,1.0,0.0,2.0,0.666,32.861,14.136
2025-02-15 14:54:49.706,235.5,0.012,50.03,28.8,1.0,0.0,2.0,0.663,32.861,14.136
2025-02-15 14:54:51.938,235.47,0.013,50.03,33.0,2.0,0.0,3.0,0.637,32.861,14.136
2025-02-15 14:54:52.169,235.55,0.012,50.03,33.3,1.0,0.0,2.0,0.67,32.861,14.136
2025-02-15 14:54:53.393,235.56,0.012,50.03,29.1,1.0,0.0,2.0,0.667,32.861,14.136
2025-02-15 14:54:54.616,235.52,0.013,50.03,31.4,2.0,0.0,3.0,0.661,32.861,14.136
2025-02-15 14:54:56.841,235.47,0.012,50.03,25.1,1.0,0.0,2.0,0.647,32.861,14.136
2025-02-15 14:54:57.076,235.54,0.012,50.02,18.1,1.0,0.0,2.0,0.656,32.861,14.136
2025-02-15 14:54:58.300,235.64,0.014,50.02,37.6,2.0,0.0,3.0,0.646,32.861,14.136
2025-02-15 14:54:59.524,235.53,0.014,50.02,41.1,2.0,0.0,3.0,0.639,32.861,14.136
2025-02-15 14:55:00.769,235.55,0.013,50.02,39.3,2.0,0.0,3.0,0.643,32.861,14.136
2025-02-15 14:55:02.001,235.49,0.013,50.02,30.5,1.0,0.0,3.0,0.654,32.861,14.136
2025-02-15 14:55:03.224,235.58,0.013,50.02,39.7,1.0,0.0,3.0,0.652,32.861,14.136
