Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-15 14:48:46.651,235.75,0.012,50.06,26.8,1.0,0.0,2.0,0.669,32.86,14.136
2025-02-15 14:48:48.876,235.76,0.012,50.06,35.8,1.0,0.0,2.0,0.652,32.86,14.136
2025-02-15 14:48:49.108,235.78,0.012,50.05,31.8,1.0,0.0,2.0,0.666,32.86,14.136
2025-02-15 14:48:50.331,235.83,0.012,50.05,32.8,1.0,0.0,2.0,0.654,32.86,14.136
2025-02-15 14:48:51.557,235.79,0.012,50.05,36.0,1.0,0.0,2.0,0.649,32.86,14.136
2025-02-15 14:48:53.803,235.78,0.012,50.05,31.6,1.0,0.0,2.0,0.651,32.86,14.136
2025-02-15 14:48:54.036,235.68,0.012,50.05,37.0,1.0,0.0,2.0,0.647,32.86,14.136
2025-02-15 14:48:55.260,235.66,0.014,50.04,40.2,2.0,0.0,3.0,0.635,32.86,14.136
2025-02-15 14:48:56.483,235.69,0.014,50.04,31.1,2.0,0.0,3.0,0.635,32.86,14.136
2025-02-15 14:48:57.708,235.67,0.014,50.04,36.0,2.0,0.0,3.0,0.635,32.86,14.136
2025-02-15 14:48:59.937,235.55,0.015,50.04,36.5,2.0,0.0,3.0,0.625,32.86,14.136
2025-02-15 14:49:00.168,235.65,0.014,50.04,27.9,2.0,0.0,3.0,0.651,32.86,14.136
2025-02-15 14:49:01.392,235.54,0.015,50.03,27.5,2.0,0.0,3.0,0.627,32.86,14.136
2025-02-15 14:49:02.616,235.58,0.014,50.03,29.8,2.0,0.0,3.0,0.638,32.86,14.136
2025-02-15 14:49:04.841,235.52,0.013,50.03,29.8,1.0,0.0,3.0,0.628,32.86,14.136
2025-02-15 14:49:05.072,235.6,0.013,50.03,38.1,2.0,0.0,3.0,0.636,32.86,14.136
2025-02-15 14:49:06.297,235.74,0.012,50.02,41.1,1.0,0.0,2.0,0.649,32.86,14.136
2025-02-15 14:49:07.521,235.78,0.012,50.02,34.8,1.0,0.0,2.0,0.658,32.86,14.136
2025-02-15 14:49:08.767,235.89,0.013,50.02,33.3,2.0,0.0,3.0,0.639,32.86,14.136
2025-02-15 14:49:10.999,235.97,0.012,50.02,30.9,1.0,0.0,2.0,0.639,32.86,14.136
2025-02-15 14:49:11.222,236.0,0.013,50.03,36.5,2.0,0.0,3.0,0.637,32.86,14.136
2025-02-15 14:49:12.446,235.93,0.014,50.03,27.5,2.0,0.0,3.0,0.645,32.86,14.136
2025-02-15 14:49:13.670,235.88,0.013,50.03,26.5,2.0,0.0,3.0,0.642,32.86,14.136
2025-02-15 14:49:15.916,235.97,0.014,50.03,31.2,2.0,0.0,3.0,0.627,32.86,14.136
2025-02-15 14:49:16.149,236.14,0.013,50.04,26.3,2.0,0.0,3.0,0.64,32.86,14.136
2025-02-15 14:49:17.373,235.96,0.013,50.04,35.5,2.0,0.0,3.0,0.638,32.86,14.136
2025-02-15 14:49:18.597,235.96,0.012,50.04,37.4,1.0,0.0,2.0,0.645,32.86,14.136
2025-02-15 14:49:20.822,235.84,0.013,50.04,40.0,2.0,0.0,3.0,0.637,32.86,14.136
