Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
2025-02-15 16:06:31.181,236.52,0.012,50.07,41.3,1.0,0.0,2.0,0.671,32.863,14.137
2025-02-15 16:06:32.405,236.58,0.012,50.07,33.9,1.0,0.0,2.0,0.667,32.863,14.137
2025-02-15 16:06:33.630,236.61,0.012,50.08,39.5,1.0,0.0,2.0,0.641,32.863,14.137
2025-02-15 16:06:34.875,236.57,0.012,50.08,27.7,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:06:36.107,236.59,0.012,50.08,23.7,1.0,0.0,2.0,0.639,32.863,14.137
2025-02-15 16:06:37.333,236.8,0.013,50.08,35.8,1.0,0.0,3.0,0.649,32.863,14.137
2025-02-15 16:06:38.559,236.77,0.012,50.08,29.5,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:06:39.783,236.8,0.013,50.08,36.9,2.0,0.0,3.0,0.628,32.863,14.137
2025-02-15 16:06:41.007,236.72,0.012,50.08,30.9,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:06:42.239,236.67,0.013,50.09,39.7,2.0,0.0,3.0,0.627,32.863,14.137
2025-02-15 16:06:43.463,236.63,0.013,50.09,19.3,2.0,0.0,3.0,0.638,32.863,14.137
2025-02-15 16:06:44.686,236.6,0.013,50.09,30.5,1.0,0.0,3.0,0.623,32.863,14.137
2025-02-15 16:06:45.911,236.61,0.012,50.08,32.1,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:06:47.144,236.55,0.012,50.08,37.2,1.0,0.0,2.0,0.643,32.863,14.137
2025-02-15 16:06:48.368,236.37,0.012,50.08,32.8,1.0,0.0,2.0,0.639,32.863,14.137
2025-02-15 16:06:49.592,236.35,0.013,50.08,34.4,2.0,0.0,3.0,0.634,32.863,14.137
2025-02-15 16:06:50.837,236.47,0.013,50.08,35.3,1.0,0.0,3.0,0.629,32.863,14.137
2025-02-15 16:06:52.061,236.54,0.013,50.07,33.5,1.0,0.0,3.0,0.619,32.863,14.137
2025-02-15 16:06:53.293,236.6,0.015,50.07,40.9,2.0,0.0,3.0,0.625,32.863,14.137
2025-02-15 16:06:54.518,236.55,0.015,50.07,38.4,2.0,0.0,3.0,0.638,32.863,14.137
2025-02-15 16:06:55.743,236.63,0.015,50.07,25.8,2.0,0.0,3.0,0.627,32.863,14.137
2025-02-15 16:06:57.967,236.55,0.016,50.06,27.7,2.0,0.0,3.0,0.614,32.863,14.137
2025-02-15 16:06:58.200,236.49,0.016,50.06,28.6,2.0,0.0,3.0,0.617,32.863,14.137
2025-02-15 16:06:59.423,236.41,0.016,50.06,29.3,2.0,0.0,3.0,0.617,32.863,14.137
2025-02-15 16:07:00.648,236.52,0.016,50.06,30.9,2.0,0.0,3.0,0.625,32.863,14.137
2025-02-15 16:07:01.872,236.49,0.016,50.06,34.6,2.0,0.0,3.0,0.625,32.863,14.137
2025-02-15 16:07:03.103,236.64,0.017,50.06,37.0,2.0,0.0,4.0,0.617,32.863,14.137
2025-02-15 16:07:04.327,236.64,0.016,50.07,32.1,2.0,0.0,3.0,0.63,32.863,14.137
2025-02-15 16:07:05.551,236.59,0.017,50.06,38.1,2.0,0.0,4.0,0.617,32.863,14.137
2025-02-15 16:07:06.796,236.64,0.017,50.06,40.9,2.0,0.0,4.0,0.619,32.863,14.137
2025-02-15 16:07:08.020,236.65,0.016,50.07,40.0,2.0,0.0,3.0,0.623,32.863,14.137
2025-02-15 16:07:09.252,236.58,0.017,50.07,34.9,2.0,0.0,4.0,0.629,32.863,14.137
2025-02-15 16:07:10.476,236.62,0.017,50.07,29.7,2.0,0.0,4.0,0.627,32.863,14.137
2025-02-15 16:07:11.700,236.6,0.017,50.07,30.4,2.0,0.0,4.0,0.626,32.863,14.137
2025-02-15 16:07:12.928,236.57,0.013,50.07,33.2,2.0,0.0,3.0,0.645,32.863,14.137
2025-02-15 16:07:14.161,236.52,0.014,50.07,23.2,2.0,0.0,3.0,0.631,32.863,14.137
2025-02-15 16:07:15.386,236.51,0.012,50.07,25.4,1.0,0.0,2.0,0.662,32.863,14.137
2025-02-15 16:07:16.611,236.59,0.012,50.07,39.1,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:07:17.835,236.51,0.012,50.07,40.9,1.0,0.0,2.0,0.643,32.863,14.137
2025-02-15 16:07:19.059,236.55,0.012,50.07,34.2,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:07:20.290,236.58,0.012,50.06,36.9,1.0,0.0,2.0,0.644,32.863,14.137
2025-02-15 16:07:21.514,236.63,0.012,50.06,40.2,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:07:22.760,236.65,0.012,50.06,24.0,1.0,0.0,2.0,0.641,32.863,14.137
2025-02-15 16:07:24.984,236.51,0.013,50.06,27.7,2.0,0.0,3.0,0.655,32.863,14.137
2025-02-15 16:07:25.217,236.45,0.012,50.06,34.9,1.0,0.0,2.0,0.643,32.863,14.137
2025-02-15 16:07:26.441,236.31,0.012,50.05,29.1,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:07:27.666,236.31,0.012,50.05,22.8,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:07:28.912,236.31,0.013,50.05,30.5,2.0,0.0,3.0,0.637,32.863,14.137
2025-02-15 16:07:30.144,236.25,0.012,50.05,35.6,1.0,0.0,2.0,0.644,32.863,14.137
2025-02-15 16:07:31.370,236.3,0.012,50.05,29.3,1.0,0.0,2.0,0.669,32.863,14.137
2025-02-15 16:07:32.595,236.34,0.012,50.04,36.3,1.0,0.0,2.0,0.644,32.863,14.137
2025-02-15 16:07:33.818,236.35,0.012,50.04,36.2,1.0,0.0,2.0,0.639,32.863,14.137
2025-02-15 16:07:35.042,236.34,0.013,50.04,35.8,2.0,0.0,3.0,0.639,32.863,14.137
2025-02-15 16:07:36.275,236.43,0.012,50.05,29.3,1.0,0.0,2.0,0.67,32.863,14.137
2025-02-15 16:07:37.499,236.47,0.012,50.05,36.5,1.0,0.0,2.0,0.671,32.863,14.137
2025-02-15 16:07:38.742,236.53,0.013,50.05,36.0,2.0,0.0,3.0,0.656,32.863,14.137
2025-02-15 16:07:40.967,236.5,0.012,50.05,34.9,1.0,0.0,2.0,0.669,32.863,14.137
2025-02-15 16:07:41.200,236.59,0.013,50.05,45.8,1.0,0.0,3.0,0.649,32.863,14.137
2025-02-15 16:07:42.425,236.73,0.012,50.05,30.0,1.0,0.0,2.0,0.655,32.863,14.137
2025-02-15 16:07:43.649,236.78,0.013,50.06,33.3,2.0,0.0,3.0,0.654,32.863,14.137
2025-02-15 16:07:44.895,236.64,0.013,50.06,29.0,2.0,0.0,3.0,0.656,32.863,14.137
2025-02-15 16:07:46.128,236.58,0.012,50.06,32.3,1.0,0.0,2.0,0.67,32.863,14.137
2025-02-15 16:07:47.356,236.52,0.012,50.06,33.9,1.0,0.0,2.0,0.669,32.863,14.137
2025-02-15 16:07:48.581,236.62,0.012,50.07,37.0,1.0,0.0,2.0,0.667,32.863,14.137
2025-02-15 16:07:49.806,236.7,0.013,50.07,33.5,2.0,0.0,3.0,0.632,32.863,14.137
2025-02-15 16:07:51.031,236.74,0.012,50.07,37.4,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:07:52.263,236.74,0.012,50.07,38.1,1.0,0.0,2.0,0.667,32.863,14.137
2025-02-15 16:07:53.487,236.66,0.012,50.07,39.7,1.0,0.0,2.0,0.671,32.863,14.137
2025-02-15 16:07:54.731,236.65,0.012,50.07,37.6,1.0,0.0,2.0,0.672,32.863,14.137
2025-02-15 16:07:56.956,236.67,0.013,50.07,35.5,2.0,0.0,3.0,0.632,32.863,14.137
2025-02-15 16:07:57.190,236.68,0.012,50.08,32.1,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:07:58.414,236.52,0.013,50.08,23.0,2.0,0.0,3.0,0.638,32.863,14.137
2025-02-15 16:07:59.639,236.46,0.013,50.08,29.5,2.0,0.0,3.0,0.635,32.863,14.137
2025-02-15 16:08:00.885,236.41,0.013,50.08,27.2,2.0,0.0,3.0,0.642,32.863,14.137
2025-02-15 16:08:02.117,236.39,0.012,50.08,33.5,1.0,0.0,2.0,0.643,32.863,14.137
2025-02-15 16:08:03.342,236.32,0.013,50.08,32.6,1.0,0.0,3.0,0.633,32.863,14.137
2025-02-15 16:08:04.566,236.27,0.012,50.08,42.8,1.0,0.0,2.0,0.641,32.863,14.137
2025-02-15 16:08:05.792,236.35,0.012,50.07,33.9,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:08:07.017,236.39,0.012,50.07,33.5,1.0,0.0,2.0,0.644,32.863,14.137
2025-02-15 16:08:08.248,236.36,0.012,50.07,39.7,1.0,0.0,2.0,0.643,32.863,14.137
2025-02-15 16:08:09.472,236.3,0.012,50.07,34.2,1.0,0.0,2.0,0.665,32.863,14.137
2025-02-15 16:08:10.699,236.3,0.012,50.07,34.1,1.0,0.0,2.0,0.667,32.863,14.137
2025-02-15 16:08:11.924,236.36,0.012,50.07,32.6,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:08:13.156,236.37,0.012,50.07,29.0,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:08:14.380,236.5,0.012,50.07,29.7,1.0,0.0,2.0,0.643,32.863,14.137
2025-02-15 16:08:15.605,236.56,0.012,50.07,33.9,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:08:16.852,236.62,0.012,50.07,35.1,1.0,0.0,2.0,0.64,32.863,14.137
2025-02-15 16:08:18.076,236.7,0.012,50.07,35.8,1.0,0.0,2.0,0.671,32.863,14.137
2025-02-15 16:08:19.308,236.82,0.012,50.07,34.1,1.0,0.0,2.0,0.67,32.863,14.137
2025-02-15 16:08:20.533,236.79,0.012,50.07,38.6,1.0,0.0,2.0,0.667,32.863,14.137
2025-02-15 16:08:21.757,236.76,0.012,50.07,39.7,1.0,0.0,2.0,0.666,32.863,14.137
2025-02-15 16:08:23.982,236.68,0.012,50.07,34.9,1.0,0.0,2.0,0.638,32.863,14.137
2025-02-15 16:08:24.214,236.73,0.012,50.07,35.3,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:08:25.439,236.83,0.012,50.07,23.9,1.0,0.0,2.0,0.642,32.863,14.137
2025-02-15 16:08:26.665,236.87,0.012,50.07,38.1,1.0,0.0,2.0,0.669,32.863,14.137
2025-02-15 16:08:27.890,236.9,0.012,50.07,29.5,1.0,0.0,2.0,0.668,32.863,14.137
2025-02-15 16:08:29.123,236.85,0.012,50.07,26.1,1.0,0.0,2.0,0.67,32.863,14.137
2025-02-15 16:08:30.348,236.78,0.012,50.07,30.9,1.0,0.0,2.0,0.67,32.863,14.137
2025-02-15 16:08:31.572,236.8,0.012,50.07,33.7,1.0,0.0,2.0,0.666,32.863,14.137
