Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741450057440,2025-03-08 16:07:37.440,234.42,0.04,4.0,4.782,50.02,9.0,9.377,0.51,32979.0,14162.0,222095
1741450057771,2025-03-08 16:07:37.771,234.42,0.04,4.0,4.782,50.02,9.0,9.377,0.51,32979.0,14162.0,226541
1741450058094,2025-03-08 16:07:38.094,234.41,0.046,5.0,5.499,50.02,10.0,10.783,0.51,32979.0,14162.0,220948
1741450058417,2025-03-08 16:07:38.417,234.41,0.046,5.0,5.499,50.02,10.0,10.783,0.51,32979.0,14162.0,219697
1741450058747,2025-03-08 16:07:38.747,234.41,0.046,5.0,5.499,50.02,10.0,10.783,0.51,32979.0,14162.0,227714
1741450059068,2025-03-08 16:07:39.068,234.49,0.059,7.0,7.194,50.02,13.0,13.835,0.52,32979.0,14162.0,218484
1741450059390,2025-03-08 16:07:39.390,234.49,0.059,7.0,7.194,50.02,13.0,13.835,0.52,32979.0,14162.0,219318
1741450059711,2025-03-08 16:07:39.711,234.49,0.059,7.0,7.194,50.02,13.0,13.835,0.52,32979.0,14162.0,219339
1741450060032,2025-03-08 16:07:40.032,234.35,0.065,8.0,8.073,50.02,15.0,15.233,0.53,32979.0,14162.0,218871
1741450060353,2025-03-08 16:07:40.353,234.35,0.065,8.0,8.073,50.02,15.0,15.233,0.53,32979.0,14162.0,218571
1741450060675,2025-03-08 16:07:40.675,234.35,0.065,8.0,8.073,50.02,15.0,15.233,0.53,32979.0,14162.0,219269
1741450060996,2025-03-08 16:07:40.996,234.28,0.061,7.0,7.574,50.02,14.0,14.291,0.53,32979.0,14162.0,218416
1741450061338,2025-03-08 16:07:41.338,234.28,0.061,7.0,7.574,50.02,14.0,14.291,0.53,32979.0,14162.0,239319
1741450061659,2025-03-08 16:07:41.659,234.28,0.061,7.0,7.574,50.02,14.0,14.291,0.53,32979.0,14162.0,218992
1741450061984,2025-03-08 16:07:41.984,234.3,0.054,6.0,6.579,50.01,12.0,12.652,0.52,32979.0,14162.0,221802
1741450062326,2025-03-08 16:07:42.326,234.3,0.054,6.0,6.579,50.01,12.0,12.652,0.52,32979.0,14162.0,239628
1741450062648,2025-03-08 16:07:42.648,234.3,0.054,6.0,6.579,50.01,12.0,12.652,0.52,32979.0,14162.0,219508
1741450062969,2025-03-08 16:07:42.969,234.3,0.05,6.0,6.092,50.01,11.0,11.715,0.52,32979.0,14162.0,218039
1741450063311,2025-03-08 16:07:43.311,234.3,0.05,6.0,6.092,50.01,11.0,11.715,0.52,32979.0,14162.0,239398
1741450063632,2025-03-08 16:07:43.632,234.3,0.05,6.0,6.092,50.01,11.0,11.715,0.52,32979.0,14162.0,219305
1741450063954,2025-03-08 16:07:43.954,234.37,0.05,6.0,5.976,50.01,11.0,11.719,0.51,32979.0,14162.0,219169
