Timestamp,qfe_wtr_pa0,qfe_wtr_pa1,qfe_wtr_pa2,qfe_wtr_pa3,aoss0-usr,mdm-q6-usr,ipa-usr,cpu0-a7-usr,mdm-5g-usr,mdm-vpe-usr,mdm-core-usr,xo-therm-usr,sdx-case-therm-usr
1741446458776,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446458882,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446458988,31,28,32,31,35,36,36,36,35,36,36,34,35
1741446459091,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446459193,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446459300,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446459402,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446459505,31,28,32,31,35,36,36,35,36,36,36,34,35
1741446459608,31,28,32,31,35,36,36,35,36,36,36,34,35
1741446459711,31,28,32,31,35,36,36,35,36,36,36,34,35
1741446459816,31,28,32,31,35,36,36,35,36,36,37,34,35
1741446459921,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446460028,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446460136,31,28,32,31,35,36,36,36,36,36,36,34,35
1741446460244,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446460354,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446460463,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446460570,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446460677,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446460781,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446460885,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446460991,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446461095,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446461201,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446461310,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446461416,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446461523,31,28,32,31,35,36,36,36,36,36,36,34,35
1741446461625,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446461731,31,28,32,31,35,36,36,35,36,36,36,34,35
1741446461835,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446461937,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446462039,31,28,32,31,35,36,36,36,36,37,36,34,35
1741446462142,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446462248,31,28,32,31,35,36,36,35,37,37,36,34,35
1741446462351,31,28,32,31,35,36,36,35,36,37,36,34,35
1741446462453,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446462555,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446462658,31,28,32,31,35,36,36,35,36,37,37,35,35
1741446462760,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446462863,31,28,32,31,35,36,36,35,36,37,37,35,35
1741446462965,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446463067,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446463170,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446463272,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446463375,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446463477,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446463580,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446463684,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446463787,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446463890,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446463993,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446464096,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446464199,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446464302,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446464405,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446464509,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446464612,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446464715,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446464818,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446464921,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446465025,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446465128,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446465231,31,28,32,31,35,36,36,35,36,37,37,35,35
1741446465334,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446465441,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446465546,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446465676,31,28,32,31,35,36,36,36,36,36,37,35,35
1741446465780,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446465883,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446465986,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446466089,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446466191,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446466294,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446466396,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446466560,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446466662,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446466980,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446467083,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446467186,31,28,32,31,35,36,37,36,36,37,36,35,35
1741446467330,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446467436,31,28,32,31,35,37,36,36,36,37,36,35,35
1741446467564,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446467669,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446467784,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446467888,31,28,32,31,35,36,36,35,37,37,36,35,35
1741446467992,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446468124,31,28,32,31,35,37,37,36,37,37,36,35,35
1741446468228,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446468414,31,28,32,31,35,36,36,35,36,37,37,35,35
1741446468561,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446468671,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446468777,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446468880,31,28,32,31,35,36,36,36,37,37,36,35,35
1741446468984,31,28,32,31,35,36,37,36,36,37,37,35,35
1741446469089,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446469192,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446469294,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446469397,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446469502,31,28,32,31,35,37,36,36,36,37,37,35,35
1741446469605,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446469708,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446469821,31,28,32,31,35,37,37,36,37,37,36,35,35
1741446469924,31,28,32,31,35,36,37,36,36,37,36,35,35
1741446470048,31,28,32,31,35,36,36,36,37,37,37,35,35
1741446470159,31,28,32,31,35,36,37,35,36,37,36,35,35
1741446470264,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446470433,31,28,32,31,35,36,36,35,36,37,36,35,35
1741446470553,31,28,32,31,35,36,36,35,37,37,36,35,35
1741446470659,31,28,32,31,35,37,36,36,36,37,36,35,35
1741446470764,31,28,32,31,35,37,36,36,36,37,36,35,35
1741446470869,31,28,32,31,35,36,36,36,37,37,37,35,35
1741446470984,31,28,32,31,35,36,37,36,36,37,37,35,35
1741446471088,31,28,32,31,35,36,36,36,37,37,36,35,35
1741446471195,31,28,32,31,35,36,37,36,36,37,36,35,35
1741446471302,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446471410,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446471518,31,28,32,31,35,36,36,36,37,37,37,35,35
1741446471623,31,28,32,31,35,37,36,36,37,37,37,35,35
1741446471728,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446471836,31,28,32,31,35,37,36,36,37,37,37,35,35
1741446471943,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446472052,31,28,32,31,35,36,37,36,37,37,36,35,35
1741446472156,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446472259,31,28,32,31,35,36,36,36,36,37,36,35,35
1741446472368,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446472475,31,28,32,31,35,36,36,35,37,37,37,35,35
1741446472578,31,28,32,31,35,36,36,36,37,37,37,35,35
1741446472681,31,28,32,31,35,36,36,36,37,37,37,35,35
1741446472785,31,28,32,31,35,37,36,36,36,37,36,35,35
1741446472888,31,28,32,31,35,36,37,36,37,37,37,35,35
1741446473006,31,28,32,31,35,36,36,35,36,37,37,35,35
1741446473112,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446473217,31,28,32,31,35,36,37,36,36,37,37,35,35
1741446473327,31,28,32,31,35,36,37,36,36,37,37,35,35
1741446473436,31,28,32,31,35,36,36,36,37,37,36,35,35
1741446473539,31,28,32,31,35,36,37,36,36,37,37,35,35
1741446473643,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446473746,31,28,32,31,35,36,36,36,37,37,37,35,35
1741446473850,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446473964,31,28,32,31,35,36,36,36,36,37,37,35,35
1741446474068,31,28,32,31,35,36,37,36,36,37,37,35,35
1741446474180,31,28,32,31,35,36,37,36,36,37,37,35,35
1741446474289,31,28,32,31,35,36,36,36,37,37,37,35,35
1741446474393,31,28,32,31,35,37,36,36,37,37,37,35,35
