Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741451968622,2025-03-08 16:39:28.622,235.59,0.041,4.0,4.83,49.93,9.0,9.659,0.5,32982.0,14163.0,221583
1741451968953,2025-03-08 16:39:28.953,235.59,0.041,4.0,4.83,49.93,9.0,9.659,0.5,32982.0,14163.0,226866
1741451969274,2025-03-08 16:39:29.274,235.54,0.05,6.0,6.006,49.93,11.0,11.777,0.51,32982.0,14163.0,218537
1741451969597,2025-03-08 16:39:29.597,235.54,0.05,6.0,6.006,49.93,11.0,11.777,0.51,32982.0,14163.0,218664
1741451969948,2025-03-08 16:39:29.948,235.54,0.05,6.0,6.006,49.93,11.0,11.777,0.51,32982.0,14163.0,248505
1741451970271,2025-03-08 16:39:30.271,235.49,0.052,6.0,6.123,49.93,12.0,12.245,0.5,32982.0,14163.0,219748
1741451970594,2025-03-08 16:39:30.594,235.49,0.052,6.0,6.123,49.93,12.0,12.245,0.5,32982.0,14163.0,220650
1741451970925,2025-03-08 16:39:30.925,235.49,0.052,6.0,6.123,49.93,12.0,12.245,0.5,32982.0,14163.0,227703
1741451971247,2025-03-08 16:39:31.247,235.47,0.055,6.0,6.605,49.92,12.0,12.951,0.51,32983.0,14163.0,219075
1741451971569,2025-03-08 16:39:31.569,235.47,0.055,6.0,6.605,49.92,12.0,12.951,0.51,32983.0,14163.0,219676
1741451971922,2025-03-08 16:39:31.922,235.47,0.055,6.0,6.605,49.92,12.0,12.951,0.51,32983.0,14163.0,249410
1741451972243,2025-03-08 16:39:32.243,235.62,0.05,6.0,6.126,49.92,11.0,11.781,0.52,32983.0,14163.0,219433
1741451972566,2025-03-08 16:39:32.566,235.62,0.05,6.0,6.126,49.92,11.0,11.781,0.52,32983.0,14163.0,219535
1741451972896,2025-03-08 16:39:32.896,235.62,0.05,6.0,6.126,49.92,11.0,11.781,0.52,32983.0,14163.0,227586
1741451973217,2025-03-08 16:39:33.217,235.62,0.052,6.0,6.249,49.92,12.0,12.252,0.51,32983.0,14163.0,218937
1741451973540,2025-03-08 16:39:33.540,235.62,0.052,6.0,6.249,49.92,12.0,12.252,0.51,32983.0,14163.0,219892
1741451973892,2025-03-08 16:39:33.892,235.62,0.052,6.0,6.249,49.92,12.0,12.252,0.51,32983.0,14163.0,248681
1741451974215,2025-03-08 16:39:34.215,235.76,0.053,6.0,6.373,49.92,12.0,12.495,0.51,32983.0,14163.0,219722
1741451974536,2025-03-08 16:39:34.536,235.76,0.053,6.0,6.373,49.92,12.0,12.495,0.51,32983.0,14163.0,218518
1741451974866,2025-03-08 16:39:34.866,235.76,0.053,6.0,6.373,49.92,12.0,12.495,0.51,32983.0,14163.0,227700
1741451975188,2025-03-08 16:39:35.188,235.76,0.06,7.0,7.073,49.93,14.0,14.146,0.5,32983.0,14163.0,218845
1741451975510,2025-03-08 16:39:35.510,235.76,0.06,7.0,7.073,49.93,14.0,14.146,0.5,32983.0,14163.0,219392
1741451975862,2025-03-08 16:39:35.862,235.76,0.06,7.0,7.073,49.93,14.0,14.146,0.5,32983.0,14163.0,248565
1741451976184,2025-03-08 16:39:36.184,235.77,0.057,6.0,6.854,49.93,13.0,13.439,0.51,32983.0,14163.0,219216
1741451976505,2025-03-08 16:39:36.505,235.77,0.057,6.0,6.854,49.93,13.0,13.439,0.51,32983.0,14163.0,218923
1741451976834,2025-03-08 16:39:36.834,235.77,0.057,6.0,6.854,49.93,13.0,13.439,0.51,32983.0,14163.0,227453
1741451977155,2025-03-08 16:39:37.155,235.77,0.055,6.0,6.484,49.93,13.0,12.967,0.5,32983.0,14163.0,218764
1741451977478,2025-03-08 16:39:37.478,235.77,0.055,6.0,6.484,49.93,13.0,12.967,0.5,32983.0,14163.0,219473
1741451977830,2025-03-08 16:39:37.830,235.77,0.055,6.0,6.484,49.93,13.0,12.967,0.5,32983.0,14163.0,249031
