UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741452002183,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452002582,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452002983,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452003384,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452003784,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452004185,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452004585,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452004986,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452005386,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452005787,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452006188,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452006589,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452006989,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452007391,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452007793,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452008195,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452008600,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452009001,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452009402,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452009803,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452010204,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452010604,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452011004,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452011405,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452011805,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452012205,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452012605,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452013004,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452013405,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452013806,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452014206,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452014607,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452015007,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452015408,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452015809,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452016211,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452016611,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741452017015,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452017417,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452017817,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452018218,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452018619,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452019019,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452019420,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452019819,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452020219,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452020620,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452021020,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452021421,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452021821,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741452022222,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
