Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741547952618,2025-03-09 19:19:12.618,236.23,0.015,2.0,2.126,49.99,3.0,3.543,0.6,33000.0,14163.0,219637
1741547952942,2025-03-09 19:19:12.942,236.23,0.015,2.0,2.126,49.99,3.0,3.543,0.6,33000.0,14163.0,218522
1741547953265,2025-03-09 19:19:13.265,236.23,0.015,2.0,2.126,49.99,3.0,3.543,0.6,33000.0,14163.0,219259
1741547953588,2025-03-09 19:19:13.588,236.24,0.014,2.0,1.984,49.99,3.0,3.307,0.6,33000.0,14163.0,219629
1741547953911,2025-03-09 19:19:13.911,236.24,0.014,2.0,1.984,49.99,3.0,3.307,0.6,33000.0,14163.0,218730
1741547954232,2025-03-09 19:19:14.232,236.24,0.014,2.0,1.984,49.99,3.0,3.307,0.6,33000.0,14163.0,218625
1741547954562,2025-03-09 19:19:14.562,236.19,0.015,2.0,2.09,49.99,3.0,3.543,0.59,33000.0,14163.0,227447
1741547954893,2025-03-09 19:19:14.893,236.19,0.015,2.0,2.09,49.99,3.0,3.543,0.59,33000.0,14163.0,228876
1741547955215,2025-03-09 19:19:15.215,236.19,0.015,2.0,2.09,49.99,3.0,3.543,0.59,33000.0,14163.0,219069
1741547955545,2025-03-09 19:19:15.545,236.26,0.015,2.0,2.091,49.99,3.0,3.544,0.59,33000.0,14163.0,227509
1741547955886,2025-03-09 19:19:15.886,236.26,0.015,2.0,2.091,49.99,3.0,3.544,0.59,33000.0,14163.0,239162
1741547956207,2025-03-09 19:19:16.207,236.26,0.015,2.0,2.091,49.99,3.0,3.544,0.59,33000.0,14163.0,218878
1741547956549,2025-03-09 19:19:16.549,236.29,0.015,2.0,2.091,49.99,3.0,3.544,0.59,33000.0,14163.0,238064
1741547956890,2025-03-09 19:19:16.890,236.29,0.015,2.0,2.091,49.99,3.0,3.544,0.59,33000.0,14163.0,239558
1741547957212,2025-03-09 19:19:17.212,236.29,0.015,2.0,2.091,49.99,3.0,3.544,0.59,33000.0,14163.0,219082
1741547957544,2025-03-09 19:19:17.544,236.3,0.014,2.0,1.985,49.99,3.0,3.308,0.6,33000.0,14163.0,229997
1741547957886,2025-03-09 19:19:17.886,236.3,0.014,2.0,1.985,49.99,3.0,3.308,0.6,33000.0,14163.0,239337
1741547958207,2025-03-09 19:19:18.207,236.3,0.014,2.0,1.985,49.99,3.0,3.308,0.6,33000.0,14163.0,218580
1741547958537,2025-03-09 19:19:18.537,236.3,0.014,2.0,1.985,49.99,3.0,3.308,0.6,33000.0,14163.0,227285
1741547958882,2025-03-09 19:19:18.882,236.3,0.014,2.0,1.985,49.99,3.0,3.308,0.6,33000.0,14163.0,239901
1741547959203,2025-03-09 19:19:19.203,236.3,0.014,2.0,1.985,49.99,3.0,3.308,0.6,33000.0,14163.0,218834
1741547959533,2025-03-09 19:19:19.533,236.21,0.014,2.0,1.984,49.99,3.0,3.307,0.6,33000.0,14163.0,227084
1741547959875,2025-03-09 19:19:19.875,236.21,0.014,2.0,1.984,49.99,3.0,3.307,0.6,33000.0,14163.0,239382
1741547960197,2025-03-09 19:19:20.197,236.21,0.014,2.0,1.984,49.99,3.0,3.307,0.6,33000.0,14163.0,218908
