Timestamp,qfe_wtr_pa0,qfe_wtr_pa1,qfe_wtr_pa2,qfe_wtr_pa3,aoss0-usr,mdm-q6-usr,ipa-usr,cpu0-a7-usr,mdm-5g-usr,mdm-vpe-usr,mdm-core-usr,xo-therm-usr,sdx-case-therm-usr
1741546049050,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546049153,31,28,32,31,35,35,36,35,36,37,36,34,35
1741546049256,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546049358,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546049461,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546049563,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546049667,31,28,32,31,35,36,36,36,36,36,36,34,35
1741546049770,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546049873,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546049979,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546050110,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546050213,31,28,32,31,35,35,36,35,36,37,36,34,35
1741546050315,31,28,32,31,35,36,35,35,36,37,36,34,35
1741546050485,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546050749,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546050854,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546051109,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546051292,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546051416,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546051530,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546051652,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546051755,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546051859,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546051968,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546052073,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546052175,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546052277,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546052379,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546052482,31,28,32,31,35,36,36,36,36,37,37,34,35
1741546052585,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546052687,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546052791,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546052895,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546052998,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546053100,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546053202,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546053305,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546053407,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546053510,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546053612,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546053714,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546053816,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546053918,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546054021,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546054123,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546054225,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546054328,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546054430,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546054532,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546054634,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546054737,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546054839,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546054941,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546055044,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546055146,31,28,32,31,35,36,36,36,36,36,36,34,35
1741546055248,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546055350,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546055453,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546055597,31,28,32,31,35,36,36,36,36,36,36,34,35
1741546055700,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546055802,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546055904,31,28,32,31,35,36,36,36,36,36,36,34,35
1741546056007,31,28,32,31,35,36,36,36,36,36,36,34,35
1741546056109,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546056212,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546056314,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546056416,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546056519,31,28,32,31,35,36,36,36,36,36,36,34,35
1741546056621,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546056724,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546056954,31,28,32,31,35,36,36,35,36,36,36,34,35
1741546057058,31,28,32,31,35,36,36,36,36,37,37,34,35
1741546057222,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546057336,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546057444,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546057549,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546057654,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546057759,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546057866,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546057973,31,28,32,31,35,36,36,36,36,37,37,34,35
1741546058089,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546058192,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546058295,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546058399,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546058502,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546058606,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546058712,31,28,32,31,35,37,36,36,36,37,37,34,35
1741546058814,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546058920,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546059023,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546059129,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546059236,31,28,32,31,35,36,37,36,36,37,36,34,35
1741546059341,31,28,32,31,35,36,36,35,36,37,37,34,35
1741546059446,31,28,32,31,35,36,37,36,36,37,36,34,35
1741546059550,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546059654,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546059761,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546059873,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546059983,31,28,32,31,35,36,36,36,36,37,37,34,35
1741546060087,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546060195,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546060420,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546060530,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546060640,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546060748,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546060924,31,28,32,31,35,36,37,35,36,37,36,34,35
1741546061027,31,28,32,31,35,36,37,36,36,37,36,34,35
1741546061132,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546061275,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546061378,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546061482,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546061592,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546061700,31,28,32,31,35,37,36,36,36,37,37,34,35
1741546061803,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546061906,31,28,32,31,35,36,36,36,36,37,37,34,35
1741546062010,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546062112,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546062215,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546062317,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546062420,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546062522,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546062625,31,28,32,31,35,36,37,36,36,37,36,34,35
1741546062728,31,28,32,31,35,36,36,35,36,37,36,34,35
1741546062830,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546062952,31,28,32,31,35,36,36,36,36,37,36,34,35
1741546063054,31,28,32,31,35,36,36,36,36,37,37,34,35
1741546063157,31,28,32,31,35,36,37,36,36,37,36,34,35
1741546063259,31,28,32,31,35,36,36,36,36,37,37,34,35
1741546063363,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546063466,31,28,32,31,35,36,37,36,36,37,36,34,35
1741546063572,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546063678,31,28,32,31,35,36,36,35,36,37,37,35,35
1741546063784,31,28,32,31,35,36,36,35,36,37,36,35,35
1741546063886,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546063989,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546064092,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546064197,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546064301,31,28,32,31,35,37,36,36,36,37,36,35,35
1741546064403,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546064506,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546064608,31,28,32,31,35,36,36,36,37,37,36,35,35
1741546064712,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546064815,31,28,32,31,35,37,36,36,36,37,37,35,35
1741546064917,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546065020,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546065122,31,28,32,31,35,37,36,35,36,37,36,35,35
1741546065228,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546065335,31,28,32,31,35,37,36,36,36,37,36,35,35
1741546065440,31,28,32,31,35,36,37,36,37,37,36,35,35
1741546065542,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546065644,31,28,32,31,35,36,36,36,37,37,37,35,35
1741546065748,31,28,32,31,35,37,36,35,37,37,37,35,35
1741546065851,31,28,32,31,35,37,37,36,37,37,37,35,35
1741546065953,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546066055,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546066158,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546066260,31,28,32,31,35,36,36,35,37,37,37,35,35
1741546066363,31,28,32,31,35,36,36,36,37,37,37,35,35
1741546066466,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546066568,31,28,32,31,35,36,36,36,37,37,37,35,35
1741546066670,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546066773,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546066875,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546066978,31,28,32,31,35,36,36,36,37,37,36,35,35
1741546067083,31,28,32,31,35,37,36,36,36,37,37,35,35
1741546067185,31,28,32,31,35,36,36,36,37,37,36,35,35
1741546067292,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546068316,31,28,32,31,35,36,36,36,37,37,36,35,35
1741546068419,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546068658,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546068760,31,28,32,31,35,36,36,35,36,37,36,35,35
1741546068864,31,28,32,31,35,36,37,36,37,37,36,35,35
1741546068968,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546069072,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546069178,31,28,32,31,35,37,37,36,36,37,36,35,35
1741546069282,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546069386,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546069489,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546069591,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546069694,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546069796,31,28,32,31,35,36,36,35,36,37,37,35,35
1741546069905,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546070008,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546070116,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546070225,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546070331,31,28,32,31,35,37,36,36,36,37,36,35,35
1741546070436,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546070548,31,28,32,31,35,36,37,36,36,37,36,35,35
1741546070657,31,28,32,31,35,36,36,36,37,37,37,35,35
1741546070768,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546070872,31,28,32,31,35,37,37,36,36,37,37,35,35
1741546070978,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546071082,31,28,32,31,35,36,36,36,37,37,36,35,35
1741546071188,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546071291,31,28,32,31,35,36,36,36,37,37,37,35,35
1741546071394,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546071498,31,28,32,31,35,36,36,35,36,37,37,35,35
1741546071601,31,28,32,31,35,37,36,36,37,37,37,35,35
1741546071704,31,28,32,31,35,37,37,36,36,37,36,35,35
1741546071807,31,28,32,31,35,36,36,36,37,37,37,35,35
1741546071910,31,28,32,31,35,37,36,36,36,37,37,35,35
1741546072013,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546072115,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546072218,31,28,32,31,35,36,37,35,37,37,37,35,35
1741546072320,31,28,32,31,35,37,37,36,37,37,37,35,35
1741546072423,31,28,32,31,35,36,37,36,37,37,37,35,35
1741546072525,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546072627,31,28,32,31,35,37,37,36,36,37,37,35,35
1741546072730,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546072833,31,28,32,31,35,37,37,36,36,37,37,35,35
1741546072940,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546073048,31,28,32,31,35,37,37,36,36,37,37,35,35
1741546073153,31,28,32,31,35,36,36,36,36,37,37,35,35
1741546073259,31,28,32,31,35,37,37,36,37,37,37,35,35
1741546073362,31,28,32,31,35,36,36,36,37,37,37,35,35
1741546073464,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546073566,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546073669,31,28,32,31,35,37,37,36,37,37,37,35,35
1741546073774,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546073878,31,28,32,31,35,37,37,36,36,37,37,35,35
1741546073985,31,28,32,31,35,37,36,36,36,37,37,35,35
1741546074628,31,28,32,31,35,36,36,35,36,37,37,35,35
1741546074733,31,28,32,31,35,37,36,36,37,37,37,35,35
1741546074842,31,28,32,31,35,37,36,36,36,37,37,35,35
1741546074945,31,28,32,31,35,37,37,36,36,37,37,35,35
1741546075053,31,28,32,31,35,37,36,36,36,37,37,35,35
1741546075157,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546075260,31,28,32,31,35,37,36,35,37,37,37,35,35
1741546075367,31,28,32,31,35,36,36,36,36,37,36,35,35
1741546075475,31,28,32,31,35,36,37,36,36,37,37,35,35
1741546075582,31,28,32,31,35,37,37,36,37,37,37,35,35
1741546075688,31,28,32,31,35,37,36,36,37,37,36,35,35
1741546075798,31,28,32,31,35,37,37,36,37,37,37,35,35
1741546075913,31,28,32,31,35,37,36,36,37,37,37,35,35
