Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741552978397,2025-03-09 20:42:58.397,235.69,0.014,2.0,2.013,49.99,3.0,3.3,0.61,33002.0,14164.0,220362
1741552978719,2025-03-09 20:42:58.719,235.73,0.013,1.0,1.869,49.99,3.0,3.064,0.61,33002.0,14164.0,219251
1741552979041,2025-03-09 20:42:59.041,235.73,0.013,1.0,1.869,49.99,3.0,3.064,0.61,33002.0,14164.0,219422
1741552979364,2025-03-09 20:42:59.364,235.73,0.013,1.0,1.869,49.99,3.0,3.064,0.61,33002.0,14164.0,219363
1741552979714,2025-03-09 20:42:59.714,235.87,0.013,1.0,1.87,49.99,3.0,3.066,0.61,33002.0,14164.0,248270
1741552980036,2025-03-09 20:43:00.036,235.87,0.013,1.0,1.87,49.99,3.0,3.066,0.61,33002.0,14164.0,218857
1741552980358,2025-03-09 20:43:00.358,235.87,0.013,1.0,1.87,49.99,3.0,3.066,0.61,33002.0,14164.0,219679
1741552980688,2025-03-09 20:43:00.688,236.02,0.013,1.0,1.872,50.0,3.0,3.068,0.61,33002.0,14164.0,226772
1741552981010,2025-03-09 20:43:01.010,236.02,0.013,1.0,1.872,50.0,3.0,3.068,0.61,33002.0,14164.0,219764
1741552981333,2025-03-09 20:43:01.333,236.02,0.013,1.0,1.872,50.0,3.0,3.068,0.61,33002.0,14164.0,219876
1741552981681,2025-03-09 20:43:01.681,236.04,0.015,2.0,2.089,49.99,3.0,3.541,0.59,33002.0,14164.0,246220
1741552982002,2025-03-09 20:43:02.002,236.04,0.015,2.0,2.089,49.99,3.0,3.541,0.59,33002.0,14164.0,218667
1741552982323,2025-03-09 20:43:02.323,236.04,0.015,2.0,2.089,49.99,3.0,3.541,0.59,33002.0,14164.0,219022
1741552982654,2025-03-09 20:43:02.654,236.04,0.015,2.0,2.089,49.99,3.0,3.541,0.59,33002.0,14164.0,227253
1741552982976,2025-03-09 20:43:02.976,236.07,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,219343
1741552983299,2025-03-09 20:43:03.299,236.07,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,219947
1741552983628,2025-03-09 20:43:03.628,236.07,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,227030
1741552983951,2025-03-09 20:43:03.951,236.1,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,218781
1741552984272,2025-03-09 20:43:04.272,236.1,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,219248
1741552984602,2025-03-09 20:43:04.602,236.1,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,227164
1741552984925,2025-03-09 20:43:04.925,236.11,0.014,2.0,1.983,50.0,3.0,3.306,0.6,33002.0,14164.0,220629
1741552985248,2025-03-09 20:43:05.248,236.11,0.014,2.0,1.983,50.0,3.0,3.306,0.6,33002.0,14164.0,219496
1741552985579,2025-03-09 20:43:05.579,236.11,0.014,2.0,1.983,50.0,3.0,3.306,0.6,33002.0,14164.0,227231
1741552985901,2025-03-09 20:43:05.901,236.1,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,219481
1741552986222,2025-03-09 20:43:06.222,236.1,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,218899
1741552986552,2025-03-09 20:43:06.552,236.1,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,226692
1741552986875,2025-03-09 20:43:06.875,236.05,0.015,2.0,2.124,50.0,3.0,3.541,0.6,33002.0,14164.0,220403
1741552987197,2025-03-09 20:43:07.197,236.05,0.015,2.0,2.124,50.0,3.0,3.541,0.6,33002.0,14164.0,219489
1741552987526,2025-03-09 20:43:07.526,236.05,0.015,2.0,2.124,50.0,3.0,3.541,0.6,33002.0,14164.0,226815
1741552987869,2025-03-09 20:43:07.869,235.98,0.014,2.0,2.015,50.0,3.0,3.304,0.61,33002.0,14164.0,240546
1741552988191,2025-03-09 20:43:08.191,235.98,0.014,2.0,2.015,50.0,3.0,3.304,0.61,33002.0,14164.0,219064
1741552988521,2025-03-09 20:43:08.521,235.98,0.014,2.0,2.015,50.0,3.0,3.304,0.61,33002.0,14164.0,227151
1741552988843,2025-03-09 20:43:08.843,236.08,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,220062
1741552989165,2025-03-09 20:43:09.165,236.08,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,218908
1741552989494,2025-03-09 20:43:09.494,236.08,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,227138
1741552989838,2025-03-09 20:43:09.838,236.08,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,240676
1741552990160,2025-03-09 20:43:10.160,236.08,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,219088
1741552990481,2025-03-09 20:43:10.481,236.08,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,219271
1741552990804,2025-03-09 20:43:10.804,236.07,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,219712
1741552991126,2025-03-09 20:43:11.126,236.07,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,219208
1741552991448,2025-03-09 20:43:11.448,236.07,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,219517
1741552991791,2025-03-09 20:43:11.791,236.08,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,240567
1741552992112,2025-03-09 20:43:12.112,236.08,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,218837
1741552992435,2025-03-09 20:43:12.435,236.08,0.015,2.0,2.125,50.0,3.0,3.541,0.6,33002.0,14164.0,220065
1741552992757,2025-03-09 20:43:12.757,236.06,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,220148
1741552993080,2025-03-09 20:43:13.080,236.06,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,219596
1741552993402,2025-03-09 20:43:13.402,236.06,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,219494
1741552993746,2025-03-09 20:43:13.746,236.04,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,241071
1741552994067,2025-03-09 20:43:14.067,236.04,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,218842
1741552994390,2025-03-09 20:43:14.390,236.04,0.014,2.0,1.983,50.0,3.0,3.305,0.6,33002.0,14164.0,220267
1741552994712,2025-03-09 20:43:14.712,235.93,0.014,1.0,2.015,50.0,3.0,3.303,0.61,33002.0,14164.0,219371
1741552995035,2025-03-09 20:43:15.035,235.93,0.014,1.0,2.015,50.0,3.0,3.303,0.61,33002.0,14164.0,219714
1741552995357,2025-03-09 20:43:15.357,235.93,0.014,1.0,2.015,50.0,3.0,3.303,0.61,33002.0,14164.0,219574
1741552995707,2025-03-09 20:43:15.707,235.95,0.014,2.0,1.982,50.0,3.0,3.303,0.6,33002.0,14164.0,247782
1741552996029,2025-03-09 20:43:16.029,235.95,0.014,2.0,1.982,50.0,3.0,3.303,0.6,33002.0,14164.0,219040
1741552996350,2025-03-09 20:43:16.350,235.95,0.014,2.0,1.982,50.0,3.0,3.303,0.6,33002.0,14164.0,219225
1741552996701,2025-03-09 20:43:16.701,235.91,0.014,2.0,1.982,50.0,3.0,3.303,0.6,33002.0,14164.0,247818
1741552997023,2025-03-09 20:43:17.023,235.91,0.014,2.0,1.982,50.0,3.0,3.303,0.6,33002.0,14164.0,219591
1741552997345,2025-03-09 20:43:17.345,235.91,0.014,2.0,1.982,50.0,3.0,3.303,0.6,33002.0,14164.0,219248
1741552997675,2025-03-09 20:43:17.675,235.97,0.014,2.0,1.982,50.0,3.0,3.304,0.6,33002.0,14164.0,227065
1741552997999,2025-03-09 20:43:17.999,235.97,0.014,2.0,1.982,50.0,3.0,3.304,0.6,33002.0,14164.0,221473
1741552998320,2025-03-09 20:43:18.320,235.97,0.014,2.0,1.982,50.0,3.0,3.304,0.6,33002.0,14164.0,218892
