Timestamp,qfe_wtr_pa0,qfe_wtr_pa1,qfe_wtr_pa2,qfe_wtr_pa3,aoss0-usr,mdm-q6-usr,ipa-usr,cpu0-a7-usr,mdm-5g-usr,mdm-vpe-usr,mdm-core-usr,xo-therm-usr,sdx-case-therm-usr
1741544349780,31,28,31,31,35,36,36,35,36,36,36,34,35
1741544349890,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544349996,31,28,31,31,35,36,36,36,36,37,36,34,35
1741544350099,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544350201,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544350305,31,28,31,31,35,36,35,35,36,36,36,34,35
1741544350407,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544350510,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544350615,31,28,31,31,35,36,36,35,35,37,36,34,35
1741544350718,31,28,31,31,35,36,36,35,36,36,36,34,35
1741544350854,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544350957,31,28,31,31,35,36,36,36,36,36,36,34,35
1741544351059,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544351209,31,28,31,31,35,36,36,36,36,37,36,34,35
1741544351315,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544351421,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544351534,31,28,31,31,35,36,36,36,36,37,36,34,35
1741544351721,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544351902,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544352016,31,28,31,31,35,36,36,35,36,36,36,34,35
1741544352123,31,28,31,31,35,36,36,36,36,37,36,34,35
1741544352227,31,28,31,31,35,36,36,35,36,37,36,34,35
1741544352393,31,28,31,31,35,36,36,36,36,37,36,34,35
1741544352498,31,28,32,31,35,36,36,35,36,37,36,34,35
1741544352609,31,28,32,31,35,36,36,35,36,36,36,34,35
1741544352712,31,28,32,31,35,36,36,36,36,36,36,34,35
1741544352911,31,28,32,31,35,36,36,35,36,37,36,34,35
1741544353015,31,28,32,31,35,36,36,36,36,37,37,34,35
1741544353373,31,28,32,31,35,36,36,36,36,37,37,34,35
1741544353637,31,28,32,31,35,36,36,35,36,37,36,34,35
1741544353744,31,28,32,31,35,36,36,36,36,37,37,34,35
1741544353846,31,28,32,31,35,36,36,36,36,37,36,34,35
1741544353949,31,28,32,31,35,36,36,36,36,37,36,34,35
1741544354051,31,28,32,31,35,36,36,36,36,37,36,34,35
1741544354154,31,28,32,31,35,36,36,36,36,37,36,34,35
1741544354258,31,28,32,31,35,36,36,35,36,37,36,34,35
1741544354361,31,28,32,31,35,36,36,35,36,37,36,34,35
1741544354464,31,28,32,31,35,36,36,36,36,37,36,34,35
1741544354567,31,28,32,31,35,36,36,35,36,37,36,34,35
1741544354672,31,28,32,31,35,36,36,36,36,37,36,34,35
1741544354776,31,28,32,31,35,36,37,36,36,37,36,34,35
1741544354880,31,28,32,31,35,36,36,36,36,37,36,34,35
1741544354982,31,28,32,31,35,36,36,36,36,37,36,34,35
1741544355085,31,28,32,31,35,36,36,35,36,37,36,34,35
1741544355199,31,28,32,31,35,36,36,35,36,36,36,34,35
1741544355307,31,28,32,31,35,36,36,36,36,37,37,34,35
1741544355414,31,28,32,31,35,36,36,36,36,37,36,34,35
1741544355517,31,28,32,31,35,36,36,35,36,37,37,34,35
1741544355620,31,28,32,31,35,36,36,35,36,37,36,34,35
1741544355731,31,28,32,31,35,36,36,36,36,37,37,34,35
1741544355835,31,28,32,31,35,36,36,36,36,37,36,34,35
