UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741549664175,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,N/A,Low Latency
1741549664574,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,N/A,Low Latency
1741549664974,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549665375,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549665774,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549666174,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549666575,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549666976,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549667375,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549667776,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549668177,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549668577,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549668978,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549669379,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549669780,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549670181,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549670582,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549670982,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549671383,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549671785,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549672184,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549672585,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549672986,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549673386,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549673787,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549674186,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549674586,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549674987,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549675389,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549675788,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549676189,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549676595,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549677010,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549677410,0x0,0x0,750x422,N/A,0,0,1.57.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549677812,0x0,0x0,750x422,N/A,0,0,1.57.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549678216,0x0,0x0,750x422,N/A,0,0,1.57.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549678616,0x0,0x0,750x422,N/A,0,13,15.97.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549679016,0x0,0x0,750x422,N/A,0,13,15.97.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549679423,0x0,0x0,750x422,N/A,0,13,15.97.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549679827,640x360,640x360,750x422,N/A,553,13,17.10.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549680227,640x360,640x360,750x422,N/A,553,13,17.10.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549680632,640x360,640x360,750x422,N/A,553,13,17.10.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549681033,1280x720,1280x720,750x422,4,553,11,2.27.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549681435,1280x720,1280x720,750x422,4,553,11,2.27.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549681838,1280x720,1280x720,750x422,4,553,11,2.27.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741549682240,1280x720,1280x720,750x422,55,3136,11,2.33.,2.83.,avc1.4D401F,mp4a.40.2,Low Latency
1741549682642,1280x720,1280x720,750x422,55,3136,11,2.33.,2.83.,avc1.4D401F,mp4a.40.2,Low Latency
1741549683043,1280x720,1280x720,750x422,40,3225,5209,2.38.,2.77.,avc1.4D401F,mp4a.40.2,Low Latency
1741549683444,1280x720,1280x720,750x422,40,3225,5209,2.38.,2.77.,avc1.4D401F,mp4a.40.2,Low Latency
1741549683845,1280x720,1280x720,750x422,40,3225,5209,2.38.,2.77.,avc1.4D401F,mp4a.40.2,Low Latency
1741549684247,1280x720,1280x720,750x422,66,3225,5209,2.24.,2.77.,avc1.4D401F,mp4a.40.2,Low Latency
1741549684649,1280x720,1280x720,750x422,66,3225,5209,2.24.,2.77.,avc1.4D401F,mp4a.40.2,Low Latency
1741549685050,1280x720,1280x720,750x422,90,2871,3303,2.94.,2.77.,avc1.4D401F,mp4a.40.2,Low Latency
1741549685451,1280x720,1280x720,750x422,90,2871,3303,2.94.,2.77.,avc1.4D401F,mp4a.40.2,Low Latency
1741549685854,1280x720,1280x720,750x422,56,2871,3303,2.91.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549686259,1280x720,1280x720,750x422,56,2871,3303,2.91.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549686660,1280x720,1280x720,750x422,56,2871,3303,2.91.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549687061,1280x720,1280x720,750x422,65,3405,3892,2.98.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549687463,1280x720,1280x720,750x422,65,3405,3892,2.98.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549687865,1280x720,1280x720,750x422,41,3405,3892,2.96.,3.28.,avc1.4D401F,mp4a.40.2,Low Latency
1741549688266,1280x720,1280x720,750x422,41,3405,3892,2.96.,3.28.,avc1.4D401F,mp4a.40.2,Low Latency
1741549688666,1280x720,1280x720,750x422,41,3405,3892,2.96.,3.28.,avc1.4D401F,mp4a.40.2,Low Latency
1741549689067,1280x720,1280x720,750x422,60,3405,3374,3.00.,3.28.,avc1.4D401F,mp4a.40.2,Low Latency
1741549689468,1280x720,1280x720,750x422,60,3405,3374,3.00.,3.28.,avc1.4D401F,mp4a.40.2,Low Latency
1741549689871,1280x720,1280x720,750x422,52,2818,3374,3.00.,3.27.,avc1.4D401F,mp4a.40.2,Low Latency
1741549690272,1280x720,1280x720,750x422,52,2818,3374,3.00.,3.27.,avc1.4D401F,mp4a.40.2,Low Latency
1741549690673,1280x720,1280x720,750x422,46,3235,3436,3.00.,3.27.,avc1.4D401F,mp4a.40.2,Low Latency
1741549691080,1280x720,1280x720,750x422,46,3235,3436,3.00.,3.27.,avc1.4D401F,mp4a.40.2,Low Latency
1741549691481,1280x720,1280x720,750x422,46,3235,3436,3.00.,3.27.,avc1.4D401F,mp4a.40.2,Low Latency
1741549691885,1280x720,1280x720,750x422,67,3235,3436,2.83.,3.45.,avc1.4D401F,mp4a.40.2,Low Latency
1741549692287,1280x720,1280x720,750x422,67,3235,3436,2.83.,3.45.,avc1.4D401F,mp4a.40.2,Low Latency
1741549692689,1280x720,1280x720,750x422,67,3235,3436,2.83.,3.45.,avc1.4D401F,mp4a.40.2,Low Latency
1741549693093,1280x720,1280x720,750x422,70,3222,3645,2.99.,3.45.,avc1.4D401F,mp4a.40.2,Low Latency
1741549693494,1280x720,1280x720,750x422,70,3222,3645,2.99.,3.45.,avc1.4D401F,mp4a.40.2,Low Latency
1741549693894,1280x720,1280x720,750x422,92,3222,3645,2.78.,3.71.,avc1.4D401F,mp4a.40.2,Low Latency
1741549694295,1280x720,1280x720,750x422,92,3222,3645,2.78.,3.71.,avc1.4D401F,mp4a.40.2,Low Latency
1741549694697,1280x720,1280x720,750x422,92,3222,3645,2.78.,3.71.,avc1.4D401F,mp4a.40.2,Low Latency
1741549695098,1280x720,1280x720,750x422,53,2921,3378,2.96.,3.71.,avc1.4D401F,mp4a.40.2,Low Latency
1741549695501,1280x720,1280x720,750x422,53,2921,3378,2.96.,3.71.,avc1.4D401F,mp4a.40.2,Low Latency
1741549695901,1280x720,1280x720,750x422,64,2921,3378,2.99.,3.38.,avc1.4D401F,mp4a.40.2,Low Latency
1741549696303,1280x720,1280x720,750x422,64,2921,3378,2.99.,3.38.,avc1.4D401F,mp4a.40.2,Low Latency
1741549696704,1280x720,1280x720,750x422,64,2921,3378,2.99.,3.38.,avc1.4D401F,mp4a.40.2,Low Latency
1741549697104,1280x720,1280x720,750x422,64,3262,3577,2.65.,3.38.,avc1.4D401F,mp4a.40.2,Low Latency
1741549697507,1280x720,1280x720,750x422,64,3262,3577,2.65.,3.38.,avc1.4D401F,mp4a.40.2,Low Latency
1741549697908,1280x720,1280x720,750x422,56,3262,3577,3.04.,3.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741549698311,1280x720,1280x720,750x422,56,3262,3577,3.04.,3.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741549698713,1280x720,1280x720,750x422,56,3262,3577,3.04.,3.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741549699114,1280x720,1280x720,750x422,53,3010,3429,3.00.,3.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741549699518,1280x720,1280x720,750x422,53,3010,3429,3.00.,3.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741549699919,1280x720,1280x720,750x422,32,3010,3429,2.99.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549700319,1280x720,1280x720,750x422,32,3010,3429,2.99.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549700720,1280x720,1280x720,750x422,32,3010,3429,2.99.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549701120,1280x720,1280x720,750x422,53,3222,3566,2.95.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549701520,1280x720,1280x720,750x422,53,3222,3566,2.95.,3.37.,avc1.4D401F,mp4a.40.2,Low Latency
1741549701921,1280x720,1280x720,750x422,60,3222,3566,2.76.,3.49.,avc1.4D401F,mp4a.40.2,Low Latency
1741549702322,1280x720,1280x720,750x422,60,3222,3566,2.76.,3.49.,avc1.4D401F,mp4a.40.2,Low Latency
1741549702723,1280x720,1280x720,750x422,60,3222,3566,2.76.,3.49.,avc1.4D401F,mp4a.40.2,Low Latency
1741549703124,1280x720,1280x720,750x422,68,3045,3532,3.00.,3.49.,avc1.4D401F,mp4a.40.2,Low Latency
1741549703525,1280x720,1280x720,750x422,68,3045,3532,3.00.,3.49.,avc1.4D401F,mp4a.40.2,Low Latency
1741549703926,1280x720,1280x720,750x422,64,3045,3532,2.97.,3.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741549704325,1280x720,1280x720,750x422,64,3045,3532,2.97.,3.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741549704727,1280x720,1280x720,750x422,64,3045,3532,2.97.,3.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741549705128,1280x720,1280x720,750x422,64,3091,3788,3.00.,3.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741549705529,1280x720,1280x720,750x422,64,3091,3788,3.00.,3.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741549705930,1280x720,1280x720,750x422,57,3091,3788,2.96.,3.36.,avc1.4D401F,mp4a.40.2,Low Latency
1741549706330,1280x720,1280x720,750x422,57,3091,3788,2.96.,3.36.,avc1.4D401F,mp4a.40.2,Low Latency
1741549706732,1280x720,1280x720,750x422,53,3028,3530,3.01.,3.36.,avc1.4D401F,mp4a.40.2,Low Latency
1741549707132,1280x720,1280x720,750x422,53,3028,3530,3.01.,3.36.,avc1.4D401F,mp4a.40.2,Low Latency
1741549707533,1280x720,1280x720,750x422,53,3028,3530,3.01.,3.36.,avc1.4D401F,mp4a.40.2,Low Latency
1741549707933,1280x720,1280x720,750x422,56,3028,3530,2.99.,3.75.,avc1.4D401F,mp4a.40.2,Low Latency
1741549708334,1280x720,1280x720,750x422,56,3028,3530,2.99.,3.75.,avc1.4D401F,mp4a.40.2,Low Latency
1741549708735,1280x720,1280x720,750x422,52,3150,3527,2.99.,3.75.,avc1.4D401F,mp4a.40.2,Low Latency
1741549709136,1280x720,1280x720,750x422,52,3150,3527,2.99.,3.75.,avc1.4D401F,mp4a.40.2,Low Latency
1741549709538,1280x720,1280x720,750x422,52,3150,3527,2.99.,3.75.,avc1.4D401F,mp4a.40.2,Low Latency
1741549709938,1280x720,1280x720,750x422,7,3150,3527,3.05.,3.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741549710339,1280x720,1280x720,750x422,7,3150,3527,3.05.,3.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741549710742,1280x720,1280x720,750x422,45,3030,3389,3.00.,3.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741549711147,1280x720,1280x720,750x422,45,3030,3389,3.00.,3.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741549711547,1280x720,1280x720,750x422,45,3030,3389,3.00.,3.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741549711948,1280x720,1280x720,750x422,54,3030,3389,2.80.,3.26.,avc1.4D401F,mp4a.40.2,Low Latency
1741549712349,1280x720,1280x720,750x422,54,3030,3389,2.80.,3.26.,avc1.4D401F,mp4a.40.2,Low Latency
1741549712750,1280x720,1280x720,750x422,54,3030,3389,2.80.,3.26.,avc1.4D401F,mp4a.40.2,Low Latency
1741549713151,1280x720,1280x720,750x422,59,3030,3389,1.94.,3.26.,avc1.4D401F,mp4a.40.2,Low Latency
1741549713552,1280x720,1280x720,750x422,59,3030,3389,1.94.,3.26.,avc1.4D401F,mp4a.40.2,Low Latency
1741549713953,1280x720,1280x720,750x422,79,3220,2911,3.03.,3.35.,avc1.4D401F,mp4a.40.2,Low Latency
1741549714354,1280x720,1280x720,750x422,79,3220,2911,3.03.,3.35.,avc1.4D401F,mp4a.40.2,Low Latency
1741549714756,1280x720,1280x720,750x422,79,3220,2911,3.03.,3.35.,avc1.4D401F,mp4a.40.2,Low Latency
1741549715156,1280x720,1280x720,750x422,61,3103,3675,2.94.,3.35.,avc1.4D401F,mp4a.40.2,Low Latency
1741549715557,1280x720,1280x720,750x422,61,3103,3675,2.94.,3.35.,avc1.4D401F,mp4a.40.2,Low Latency
1741549715958,1280x720,1280x720,750x422,48,3103,3675,2.99.,3.35.,avc1.4D401F,mp4a.40.2,Low Latency
1741549716359,1280x720,1280x720,750x422,48,3103,3675,2.99.,3.35.,avc1.4D401F,mp4a.40.2,Low Latency
1741549716762,1280x720,1280x720,750x422,53,3190,3638,3.00.,3.35.,avc1.4D401F,mp4a.40.2,Low Latency
