UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741450097558,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450097957,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450098358,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450098758,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450099159,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450099560,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450099960,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450100361,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450100762,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450101163,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450101563,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450101963,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450102363,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450102765,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.4D401F,mp4a.40.2,Low Latency
1741450103165,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450103566,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450103966,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450104366,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450104767,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450105168,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450105569,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450105970,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450106372,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
1741450106773,0x0,0x0,750x422,N/A,0,1000,0.00.,0.00.,avc1.64002A,mp4a.40.2,Low Latency
