Timestamp,qfe_wtr_pa0,qfe_wtr_pa1,qfe_wtr_pa2,qfe_wtr_pa3,aoss0-usr,mdm-q6-usr,ipa-usr,cpu0-a7-usr,mdm-5g-usr,mdm-vpe-usr,mdm-core-usr,xo-therm-usr,sdx-case-therm-usr
1741448368952,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448369055,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448369158,26,28,31,31,35,35,35,35,35,36,36,34,34
1741448369260,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448369362,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448369464,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448369567,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448369669,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448369771,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448369873,26,28,31,31,34,35,36,35,35,36,35,34,34
1741448369975,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448370077,26,28,31,31,35,35,35,35,35,36,35,34,34
1741448370179,26,28,31,31,35,35,35,35,35,35,35,34,34
1741448370281,26,28,31,31,35,35,35,35,35,36,36,34,34
1741448370383,26,28,31,31,35,35,35,35,35,36,36,34,34
1741448370486,26,28,31,31,34,36,36,35,35,36,35,34,34
1741448370588,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448370690,26,28,31,31,34,35,35,35,35,36,36,34,34
1741448370792,26,28,31,31,34,35,35,35,35,36,36,34,34
1741448370894,26,28,31,31,35,35,35,35,35,36,35,34,34
1741448370996,26,28,31,31,34,35,35,35,35,36,36,34,34
1741448371099,26,28,31,31,35,35,35,35,35,36,36,34,34
1741448371201,26,28,31,31,34,35,35,35,36,36,36,34,34
1741448371303,26,28,31,31,35,35,35,35,35,36,36,34,34
1741448371405,26,28,31,31,34,35,35,35,35,36,36,34,34
1741448371508,26,28,31,31,34,35,35,35,35,36,35,34,34
1741448371610,26,28,31,31,34,35,35,35,36,36,35,34,34
1741448371712,26,28,31,31,34,35,36,35,35,36,35,34,34
1741448371814,26,28,31,31,35,35,35,35,35,36,35,34,34
1741448371916,26,28,31,31,35,35,35,35,35,36,36,34,34
1741448372019,26,28,31,31,34,35,35,35,35,36,35,34,34
