Timestamp,qfe_wtr_pa0,qfe_wtr_pa1,qfe_wtr_pa2,qfe_wtr_pa3,aoss0-usr,mdm-q6-usr,ipa-usr,cpu0-a7-usr,mdm-5g-usr,mdm-vpe-usr,mdm-core-usr,xo-therm-usr,sdx-case-therm-usr
1741440091482,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440091588,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440091692,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440091794,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440091896,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440092004,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440092110,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440092212,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440092318,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440092420,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440092561,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440092663,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440092765,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440092978,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440093099,26,28,31,31,34,35,35,34,35,35,35,34,34
1741440093202,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440093459,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440093725,26,28,31,31,34,35,35,34,35,35,35,34,34
1741440093829,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440093967,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440094070,26,28,31,31,34,35,35,34,35,35,35,34,34
1741440094174,26,28,31,31,34,35,35,34,35,36,35,34,34
1741440094290,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440094393,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440094495,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440094598,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440094703,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440094806,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440094908,26,28,31,31,34,35,35,34,35,36,35,34,34
1741440095010,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440095112,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440095214,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440095316,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440095418,26,28,31,31,34,35,35,35,35,35,36,34,34
1741440095520,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440095623,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440095725,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440095827,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440095929,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440096031,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440096133,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440096236,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440096341,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440096444,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440096546,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440096649,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440096751,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440096854,26,28,31,31,34,35,35,34,35,36,35,34,34
1741440096956,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440097059,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440097161,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440097264,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440097366,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440097468,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440097570,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440097672,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440097775,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440097877,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440097979,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440098081,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440098183,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440098286,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440098388,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440098490,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440098592,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440098694,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440098796,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440099004,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440099108,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440099212,26,28,31,31,34,36,35,35,35,36,35,34,34
1741440099314,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440099757,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440099910,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440100013,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440100115,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440100217,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440100345,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440100457,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440100569,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440100673,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440100781,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440100884,26,28,31,31,34,35,35,35,35,36,36,34,34
1741440100987,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440101089,26,28,31,31,34,35,35,34,35,36,35,34,34
1741440101193,26,28,31,31,34,35,35,35,35,36,36,34,34
1741440101299,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440101403,26,28,31,31,34,35,35,35,35,36,36,34,34
1741440101507,26,28,31,31,34,35,35,35,35,36,36,34,34
1741440101610,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440101717,26,28,31,31,35,35,35,35,35,36,35,34,34
1741440101819,26,28,31,31,34,35,35,35,35,35,35,34,34
1741440101922,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440102025,26,28,31,31,35,35,35,35,35,36,35,34,34
1741440102128,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440102236,26,28,31,31,34,35,35,35,35,36,36,34,34
1741440102341,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440102453,26,28,31,31,35,35,35,35,35,36,35,34,34
1741440102559,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440102706,26,28,31,31,34,35,35,35,35,36,35,34,34
1741440102821,26,28,31,31,35,35,35,35,35,36,35,34,34
1741440102924,26,28,31,31,34,35,35,35,35,36,36,34,34
