Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741606918718,2025-03-10 11:41:58.718,233.46,0.014,2.0,2.059,49.97,3.0,3.268,0.63,33006.0,14165.0,220462
1741606919041,2025-03-10 11:41:59.041,233.46,0.014,2.0,2.059,49.97,3.0,3.268,0.63,33006.0,14165.0,219548
1741606919376,2025-03-10 11:41:59.376,233.46,0.014,2.0,2.059,49.97,3.0,3.268,0.63,33006.0,14165.0,232413
1741606919700,2025-03-10 11:41:59.700,233.3,0.014,2.0,1.992,49.98,3.0,3.266,0.61,33006.0,14165.0,219305
1741606920022,2025-03-10 11:42:00.022,233.3,0.014,2.0,1.992,49.98,3.0,3.266,0.61,33006.0,14165.0,220005
1741606920372,2025-03-10 11:42:00.372,233.3,0.014,2.0,1.992,49.98,3.0,3.266,0.61,33006.0,14165.0,247263
1741606920694,2025-03-10 11:42:00.694,233.38,0.014,2.0,1.993,49.98,3.0,3.267,0.61,33006.0,14165.0,219119
1741606921016,2025-03-10 11:42:01.016,233.38,0.014,2.0,1.993,49.98,3.0,3.267,0.61,33006.0,14165.0,219748
1741606921365,2025-03-10 11:42:01.365,233.38,0.014,2.0,1.993,49.98,3.0,3.267,0.61,33006.0,14165.0,246100
1741606921685,2025-03-10 11:42:01.685,233.31,0.014,2.0,1.992,49.98,3.0,3.266,0.61,33006.0,14165.0,218652
1741606922007,2025-03-10 11:42:02.007,233.31,0.014,2.0,1.992,49.98,3.0,3.266,0.61,33006.0,14165.0,218613
1741606922358,2025-03-10 11:42:02.358,233.31,0.014,2.0,1.992,49.98,3.0,3.266,0.61,33006.0,14165.0,247517
1741606922680,2025-03-10 11:42:02.680,233.45,0.014,2.0,2.026,49.98,3.0,3.268,0.62,33006.0,14165.0,219758
1741606923002,2025-03-10 11:42:03.002,233.45,0.014,2.0,2.026,49.98,3.0,3.268,0.62,33006.0,14165.0,218557
1741606923350,2025-03-10 11:42:03.350,233.45,0.014,2.0,2.026,49.98,3.0,3.268,0.62,33006.0,14165.0,246031
1741606923671,2025-03-10 11:42:03.671,233.51,0.014,2.0,1.994,49.98,3.0,3.269,0.61,33006.0,14165.0,219042
1741606923993,2025-03-10 11:42:03.993,233.51,0.014,2.0,1.994,49.98,3.0,3.269,0.61,33006.0,14165.0,218891
1741606924344,2025-03-10 11:42:04.344,233.51,0.014,2.0,1.994,49.98,3.0,3.269,0.61,33006.0,14165.0,248158
1741606924667,2025-03-10 11:42:04.667,233.55,0.014,2.0,1.962,49.98,3.0,3.27,0.6,33006.0,14165.0,219872
1741606924989,2025-03-10 11:42:04.989,233.55,0.014,2.0,1.962,49.98,3.0,3.27,0.6,33006.0,14165.0,219564
1741606925339,2025-03-10 11:42:05.339,233.55,0.014,2.0,1.962,49.98,3.0,3.27,0.6,33006.0,14165.0,246987
1741606925660,2025-03-10 11:42:05.660,233.59,0.014,2.0,2.028,49.99,3.0,3.27,0.62,33006.0,14165.0,218693
1741606925981,2025-03-10 11:42:05.981,233.59,0.014,2.0,2.028,49.99,3.0,3.27,0.62,33006.0,14165.0,218724
1741606926332,2025-03-10 11:42:06.332,233.59,0.014,2.0,2.028,49.99,3.0,3.27,0.62,33006.0,14165.0,247475
1741606926654,2025-03-10 11:42:06.654,233.61,0.014,2.0,2.028,49.99,3.0,3.271,0.62,33006.0,14165.0,219383
1741606926975,2025-03-10 11:42:06.975,233.61,0.014,2.0,2.028,49.99,3.0,3.271,0.62,33006.0,14165.0,218791
1741606927324,2025-03-10 11:42:07.324,233.61,0.014,2.0,2.028,49.99,3.0,3.271,0.62,33006.0,14165.0,247011
1741606927645,2025-03-10 11:42:07.645,233.54,0.013,1.0,1.913,49.99,3.0,3.036,0.63,33006.0,14165.0,218593
1741606927968,2025-03-10 11:42:07.968,233.54,0.013,1.0,1.913,49.99,3.0,3.036,0.63,33006.0,14165.0,219345
1741606928318,2025-03-10 11:42:08.318,233.54,0.013,1.0,1.913,49.99,3.0,3.036,0.63,33006.0,14165.0,247544
1741606928639,2025-03-10 11:42:08.639,233.54,0.014,2.0,2.027,49.99,3.0,3.27,0.62,33006.0,14165.0,218697
1741606928961,2025-03-10 11:42:08.961,233.54,0.014,2.0,2.027,49.99,3.0,3.27,0.62,33006.0,14165.0,219048
1741606929312,2025-03-10 11:42:09.312,233.54,0.014,2.0,2.027,49.99,3.0,3.27,0.62,33006.0,14165.0,248042
1741606929633,2025-03-10 11:42:09.633,233.61,0.014,2.0,1.995,49.99,3.0,3.271,0.61,33006.0,14165.0,218395
1741606929954,2025-03-10 11:42:09.954,233.61,0.014,2.0,1.995,49.99,3.0,3.271,0.61,33006.0,14165.0,218704
1741606930304,2025-03-10 11:42:10.304,233.61,0.014,2.0,1.995,49.99,3.0,3.271,0.61,33006.0,14165.0,246504
1741606930625,2025-03-10 11:42:10.625,233.47,0.014,2.0,1.961,49.99,3.0,3.269,0.6,33006.0,14165.0,218683
1741606930946,2025-03-10 11:42:10.946,233.47,0.014,2.0,1.961,49.99,3.0,3.269,0.6,33006.0,14165.0,218973
1741606931287,2025-03-10 11:42:11.287,233.47,0.014,2.0,1.961,49.99,3.0,3.269,0.6,33006.0,14165.0,237484
1741606931608,2025-03-10 11:42:11.608,233.58,0.014,2.0,2.027,49.99,3.0,3.27,0.62,33006.0,14165.0,218443
