Timestamp,qfe_wtr_pa0,qfe_wtr_pa1,qfe_wtr_pa2,qfe_wtr_pa3,aoss0-usr,mdm-q6-usr,ipa-usr,cpu0-a7-usr,mdm-5g-usr,mdm-vpe-usr,mdm-core-usr,xo-therm-usr,sdx-case-therm-usr
1741603305186,26,28,31,31,34,35,35,34,35,36,35,34,34
1741603305288,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603305393,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603305496,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603305598,26,28,31,31,35,35,35,35,35,36,35,34,34
1741603305701,26,28,31,31,35,35,35,35,35,36,35,34,34
1741603305804,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603305907,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603306009,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603306116,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603306220,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603306456,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603306558,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603307032,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603307135,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603307360,26,28,31,31,34,35,35,35,35,36,36,34,34
1741603307589,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603307758,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603307960,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603308172,26,28,31,31,35,35,35,35,35,36,36,34,34
1741603308393,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603308499,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603308959,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603309098,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603309288,26,28,31,31,35,35,35,35,35,36,36,34,34
1741603309391,26,28,31,31,35,35,35,35,35,36,36,34,34
1741603309498,26,28,31,31,34,35,35,35,35,36,35,34,34
1741603309704,26,28,31,31,35,35,35,35,35,36,35,34,34
1741603309909,26,28,31,31,34,35,35,35,35,36,36,34,34
1741603310011,26,28,31,31,34,36,35,35,35,36,36,34,34
1741603310114,26,28,31,31,35,36,36,36,36,36,36,34,34
1741603310219,26,28,31,31,35,36,36,36,35,36,36,34,34
1741603310321,26,28,31,31,34,35,36,35,36,36,36,34,34
1741603310425,26,28,31,31,35,35,35,35,36,36,36,34,34
1741603310527,26,28,31,31,34,36,36,35,35,36,36,34,34
1741603310633,26,28,31,31,34,36,36,35,35,36,36,34,34
1741603310738,26,28,31,31,35,36,35,35,36,36,36,34,34
1741603310842,26,28,31,31,35,36,35,36,35,36,36,34,34
1741603310949,26,28,31,31,34,36,36,35,36,36,36,34,34
1741603311053,26,28,31,31,34,35,36,35,36,36,36,34,34
1741603311155,26,28,31,31,35,36,35,35,35,36,36,34,34
1741603311261,26,28,31,31,34,36,35,35,36,36,36,34,34
1741603311368,26,28,31,31,35,35,35,35,35,36,36,34,34
