UTC_Timestamp,Resolution,FPS,Codecs,Bandwidth_kbps,Network_Activity_KB,Buffer_Health_s,Live_Latency_s,Latency_Mode
1741543083093,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,14.85,null,null
1741543083490,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,17.96,null,null
1741543083891,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,17.44,null,null
1741543084292,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.94,null,null
1741543084695,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.94,null,null
1741543085095,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.94,null,null
1741543085495,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.94,null,null
1741543085896,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.11,null,null
1741543086296,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.11,null,null
1741543086697,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.11,null,null
1741543087097,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.11,null,null
1741543087497,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.11,null,null
1741543088298,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.11,null,null
1741543087898,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.11,null,null
1741543088698,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.11,null,null
1741543089101,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),8605,0,15.11,null,null
1741543089501,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,1,11.39,null,null
1741543089901,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,1,11.39,null,null
1741543090304,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,1,11.39,null,null
1741543090705,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,1,11.39,null,null
1741543091105,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,1,11.39,null,null
1741543091507,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,1,11.39,null,null
1741543091908,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,1,11.39,null,null
1741543092309,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,0,10.92,null,null
1741543092709,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,0,10.52,null,null
1741543093109,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,0,10.13,null,null
1741543093510,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,0,9.78,null,null
1741543093910,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,0,9.33,null,null
1741543094310,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,0,8.97,null,null
1741543094711,1280x720,25,vp09.00.51.08.01.01.01.01.00 (247) / opus (251),14538,0,8.70,null,null
1741543095113,0x0,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),14538,0,0.00,0.00,Manifestless, Optimized for Normal Latency, seq Infinity
1741543095512,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),14538,623,0.00,0.00,Manifestless, Optimized for Normal Latency, seq 2517
1741543095914,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),14568,1367,7.90,0.00,Manifestless, Optimized for Normal Latency, seq 2517
1741543096313,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,1181,14.31,25.53,Manifestless, Optimized for Normal Latency, seq 2517
1741543096714,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,19.03,25.53,Manifestless, Optimized for Normal Latency, seq 2517
1741543097116,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,18.68,25.53,Manifestless, Optimized for Normal Latency, seq 2517
1741543097517,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,18.37,25.53,Manifestless, Optimized for Normal Latency, seq 2517
1741543097919,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,17.96,25.53,Manifestless, Optimized for Normal Latency, seq 2517
1741543098319,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,17.35,25.53,Manifestless, Optimized for Normal Latency, seq 2517
1741543098721,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,17.35,25.53,Manifestless, Optimized for Normal Latency, seq 2517
1741543099123,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,16.62,25.53,Manifestless, Optimized for Normal Latency, seq 2517
1741543099532,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,12.99,25.50,Manifestless, Optimized for Normal Latency, seq 2518
1741543099933,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,12.99,25.50,Manifestless, Optimized for Normal Latency, seq 2518
1741543100333,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,12.99,25.50,Manifestless, Optimized for Normal Latency, seq 2518
1741543100738,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,12.99,25.50,Manifestless, Optimized for Normal Latency, seq 2518
1741543101139,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,12.99,25.50,Manifestless, Optimized for Normal Latency, seq 2518
1741543101539,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,12.99,25.50,Manifestless, Optimized for Normal Latency, seq 2518
1741543101939,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,12.99,25.50,Manifestless, Optimized for Normal Latency, seq 2518
1741543102344,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,12.99,25.50,Manifestless, Optimized for Normal Latency, seq 2518
1741543102748,1280x720,60,vp09.00.51.08.01.01.01.01.00 (302) / mp4a.40.2 (140),26529,0,12.99,25.50,Manifestless, Optimized for Normal Latency, seq 2518
