Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741544700275,2025-03-09 18:25:00.275,235.99,0.075,8.0,8.673,49.99,17.0,17.699,0.49,32995.0,14163.0,228513
1741544700600,2025-03-09 18:25:00.600,236.01,0.074,8.0,8.732,49.99,17.0,17.465,0.5,32995.0,14163.0,220311
1741544700923,2025-03-09 18:25:00.923,236.01,0.074,8.0,8.732,49.99,17.0,17.465,0.5,32995.0,14163.0,218878
1741544701247,2025-03-09 18:25:01.247,236.01,0.074,8.0,8.732,49.99,17.0,17.465,0.5,32995.0,14163.0,219655
1741544701570,2025-03-09 18:25:01.570,236.05,0.073,8.0,8.444,49.99,17.0,17.232,0.49,32995.0,14163.0,220919
1741544701893,2025-03-09 18:25:01.893,236.05,0.073,8.0,8.444,49.99,17.0,17.232,0.49,32995.0,14163.0,219498
1741544702215,2025-03-09 18:25:02.215,236.05,0.073,8.0,8.444,49.99,17.0,17.232,0.49,32995.0,14163.0,218979
1741544702538,2025-03-09 18:25:02.538,236.12,0.073,8.0,8.446,50.0,17.0,17.237,0.49,32995.0,14163.0,219455
1741544702878,2025-03-09 18:25:02.878,236.12,0.073,8.0,8.446,50.0,17.0,17.237,0.49,32995.0,14163.0,236849
1741544703200,2025-03-09 18:25:03.200,236.12,0.073,8.0,8.446,50.0,17.0,17.237,0.49,32995.0,14163.0,220541
1741544703523,2025-03-09 18:25:03.523,236.09,0.073,8.0,8.445,50.0,17.0,17.235,0.49,32995.0,14163.0,219129
1741544703844,2025-03-09 18:25:03.844,236.09,0.073,8.0,8.445,50.0,17.0,17.235,0.49,32995.0,14163.0,218832
1741544704168,2025-03-09 18:25:04.168,236.09,0.073,8.0,8.445,50.0,17.0,17.235,0.49,32995.0,14163.0,221341
1741544704491,2025-03-09 18:25:04.491,236.1,0.078,9.0,9.392,50.0,18.0,18.416,0.51,32995.0,14163.0,219500
1741544704833,2025-03-09 18:25:04.833,236.1,0.078,9.0,9.392,50.0,18.0,18.416,0.51,32995.0,14163.0,239134
1741544705156,2025-03-09 18:25:05.156,236.1,0.078,9.0,9.392,50.0,18.0,18.416,0.51,32995.0,14163.0,219471
1741544705478,2025-03-09 18:25:05.478,236.07,0.077,9.0,9.089,50.0,18.0,18.177,0.5,32995.0,14163.0,218616
1741544705800,2025-03-09 18:25:05.800,236.07,0.077,9.0,9.089,50.0,18.0,18.177,0.5,32995.0,14163.0,219308
1741544706123,2025-03-09 18:25:06.123,236.07,0.077,9.0,9.089,50.0,18.0,18.177,0.5,32995.0,14163.0,219712
1741544706453,2025-03-09 18:25:06.453,236.05,0.072,8.0,8.498,50.0,17.0,16.996,0.5,32995.0,14163.0,226581
1741544706795,2025-03-09 18:25:06.795,236.05,0.072,8.0,8.498,50.0,17.0,16.996,0.5,32995.0,14163.0,239743
1741544707117,2025-03-09 18:25:07.117,236.05,0.072,8.0,8.498,50.0,17.0,16.996,0.5,32995.0,14163.0,219455
1741544707450,2025-03-09 18:25:07.450,236.07,0.063,7.0,7.287,50.0,14.0,14.872,0.49,32995.0,14163.0,229233
1741544707774,2025-03-09 18:25:07.774,236.07,0.063,7.0,7.287,50.0,14.0,14.872,0.49,32995.0,14163.0,220761
1741544708096,2025-03-09 18:25:08.096,236.07,0.063,7.0,7.287,50.0,14.0,14.872,0.49,32995.0,14163.0,218835
1741544708426,2025-03-09 18:25:08.426,236.16,0.074,8.0,8.738,50.0,17.0,17.476,0.5,32995.0,14163.0,227119
1741544708769,2025-03-09 18:25:08.769,236.16,0.074,8.0,8.738,50.0,17.0,17.476,0.5,32995.0,14163.0,240658
1741544709092,2025-03-09 18:25:09.092,236.16,0.074,8.0,8.738,50.0,17.0,17.476,0.5,32995.0,14163.0,219207
1741544709421,2025-03-09 18:25:09.421,236.16,0.074,8.0,8.738,50.0,17.0,17.476,0.5,32995.0,14163.0,226214
1741544709743,2025-03-09 18:25:09.743,236.02,0.075,8.0,8.674,49.99,17.0,17.701,0.49,32995.0,14163.0,218998
1741544710065,2025-03-09 18:25:10.065,236.02,0.075,8.0,8.674,49.99,17.0,17.701,0.49,32995.0,14163.0,219551
1741544710396,2025-03-09 18:25:10.396,236.02,0.075,8.0,8.674,49.99,17.0,17.701,0.49,32995.0,14163.0,227423
1741544710739,2025-03-09 18:25:10.739,236.06,0.068,7.0,7.866,49.99,16.0,16.052,0.49,32995.0,14163.0,240365
1741544711061,2025-03-09 18:25:11.061,236.06,0.068,7.0,7.866,49.99,16.0,16.052,0.49,32995.0,14163.0,218327
1741544711389,2025-03-09 18:25:11.389,236.06,0.068,7.0,7.866,49.99,16.0,16.052,0.49,32995.0,14163.0,226423
1741544711713,2025-03-09 18:25:11.713,236.0,0.076,8.0,8.789,49.99,18.0,17.936,0.49,32995.0,14163.0,219678
1741544712039,2025-03-09 18:25:12.039,236.0,0.076,8.0,8.789,49.99,18.0,17.936,0.49,32995.0,14163.0,220073
1741544712370,2025-03-09 18:25:12.370,236.0,0.076,8.0,8.789,49.99,18.0,17.936,0.49,32995.0,14163.0,227413
1741544712713,2025-03-09 18:25:12.713,236.01,0.076,9.0,8.968,49.99,18.0,17.937,0.5,32995.0,14163.0,239885
1741544713036,2025-03-09 18:25:13.036,236.01,0.076,9.0,8.968,49.99,18.0,17.937,0.5,32995.0,14163.0,219196
1741544713366,2025-03-09 18:25:13.366,236.01,0.076,9.0,8.968,49.99,18.0,17.937,0.5,32995.0,14163.0,227171
1741544713691,2025-03-09 18:25:13.691,236.04,0.075,8.0,8.851,49.99,17.0,17.703,0.5,32995.0,14163.0,219481
1741544714011,2025-03-09 18:25:14.011,236.04,0.075,8.0,8.851,49.99,17.0,17.703,0.5,32995.0,14163.0,218379
1741544714341,2025-03-09 18:25:14.341,236.04,0.075,8.0,8.851,49.99,17.0,17.703,0.5,32995.0,14163.0,227393
1741544714683,2025-03-09 18:25:14.683,236.09,0.073,8.0,8.445,49.99,17.0,17.235,0.49,32995.0,14163.0,239755
1741544715007,2025-03-09 18:25:15.007,236.09,0.073,8.0,8.445,49.99,17.0,17.235,0.49,32995.0,14163.0,219289
1741544715335,2025-03-09 18:25:15.335,236.09,0.073,8.0,8.445,49.99,17.0,17.235,0.49,32995.0,14163.0,226098
1741544715658,2025-03-09 18:25:15.658,236.16,0.074,8.0,8.738,49.99,17.0,17.476,0.5,32995.0,14163.0,219292
1741544715982,2025-03-09 18:25:15.982,236.16,0.074,8.0,8.738,49.99,17.0,17.476,0.5,32995.0,14163.0,220797
1741544716314,2025-03-09 18:25:16.314,236.16,0.074,8.0,8.738,49.99,17.0,17.476,0.5,32995.0,14163.0,226606
1741544716651,2025-03-09 18:25:16.651,236.17,0.074,8.0,8.564,49.99,17.0,17.477,0.49,32995.0,14163.0,231433
1741544716973,2025-03-09 18:25:16.973,236.17,0.074,8.0,8.564,49.99,17.0,17.477,0.49,32995.0,14163.0,219080
1741544717303,2025-03-09 18:25:17.303,236.17,0.074,8.0,8.564,49.99,17.0,17.477,0.49,32995.0,14163.0,227808
1741544717626,2025-03-09 18:25:17.626,236.16,0.074,8.0,8.738,49.99,17.0,17.476,0.5,32995.0,14163.0,219797
1741544717950,2025-03-09 18:25:17.950,236.16,0.074,8.0,8.738,49.99,17.0,17.476,0.5,32995.0,14163.0,220663
1741544718282,2025-03-09 18:25:18.282,236.16,0.074,8.0,8.738,49.99,17.0,17.476,0.5,32995.0,14163.0,228715
1741544718605,2025-03-09 18:25:18.605,236.06,0.075,8.0,8.852,49.99,17.0,17.704,0.5,32995.0,14163.0,219457
1741544718927,2025-03-09 18:25:18.927,236.06,0.075,8.0,8.852,49.99,17.0,17.704,0.5,32995.0,14163.0,218710
1741544719257,2025-03-09 18:25:19.257,236.06,0.075,8.0,8.852,49.99,17.0,17.704,0.5,32995.0,14163.0,227720
1741544719578,2025-03-09 18:25:19.578,236.06,0.074,8.0,8.734,49.99,17.0,17.468,0.5,32995.0,14163.0,218631
1741544719902,2025-03-09 18:25:19.902,236.06,0.074,8.0,8.734,49.99,17.0,17.468,0.5,32995.0,14163.0,220028
