Timestamp,qfe_wtr_pa0,qfe_wtr_pa1,qfe_wtr_pa2,qfe_wtr_pa3,aoss0-usr,mdm-q6-usr,ipa-usr,cpu0-a7-usr,mdm-5g-usr,mdm-vpe-usr,mdm-core-usr,xo-therm-usr,sdx-case-therm-usr
1741535941067,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535941171,26,28,31,31,34,35,35,34,35,35,35,33,34
1741535941273,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535941375,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535941477,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535941579,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535941681,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535941783,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535941885,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535941987,26,28,31,31,34,35,35,34,35,35,35,33,34
1741535942090,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535942192,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535942294,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535942396,26,28,31,31,34,35,35,34,35,35,35,33,34
1741535942498,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535942600,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535942702,26,28,31,31,34,35,35,34,35,35,35,33,34
1741535942805,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535942907,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535943009,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535943111,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535943213,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535943315,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535943417,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535943519,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535943622,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535943724,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535943826,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535943928,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535944030,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535944132,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535944234,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535944336,26,28,31,31,34,35,35,34,35,36,35,33,34
1741535944438,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535944540,26,28,31,31,33,35,35,35,35,36,35,33,34
1741535944642,26,28,31,31,34,35,35,34,35,35,35,33,34
1741535944745,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535944847,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535944949,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535945051,26,28,31,31,34,35,35,36,35,36,35,33,34
1741535945153,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535945255,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535945357,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535945460,26,28,31,31,34,35,35,34,35,36,35,33,34
1741535945562,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535945664,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535945767,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535945870,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535945973,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535946262,26,28,31,31,34,35,35,34,35,35,35,33,34
1741535946378,26,28,31,31,34,35,35,34,35,35,35,33,34
1741535946480,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535946583,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535946686,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535946789,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535946892,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535946995,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535947098,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535947200,26,28,31,31,34,35,35,35,35,35,35,33,34
1741535947302,26,28,31,31,34,35,35,35,35,36,35,33,34
1741535947404,26,28,31,31,34,35,35,35,35,36,35,33,34
