Unix Timestamp (ms),UTC Human-Readable,Voltage (V),Current (A),Active Power (W),Computed Active Power (W) - Precise,Frequency (Hz),Apparent Power (VA),Computed Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1741539539186,2025-03-09 16:58:59.186,235.8,0.042,5.0,4.952,49.98,9.0,9.904,0.5,32986.0,14163.0,241481
1741539539514,2025-03-09 16:58:59.514,235.73,0.042,4.0,4.95,49.98,9.0,9.901,0.5,32986.0,14163.0,220195
1741539539837,2025-03-09 16:58:59.837,235.73,0.042,4.0,4.95,49.98,9.0,9.901,0.5,32986.0,14163.0,218900
1741539540167,2025-03-09 16:59:00.167,235.73,0.042,4.0,4.95,49.98,9.0,9.901,0.5,32986.0,14163.0,227031
1741539540490,2025-03-09 16:59:00.490,235.68,0.057,6.0,6.717,49.98,13.0,13.434,0.5,32986.0,14163.0,219407
1741539540833,2025-03-09 16:59:00.833,235.68,0.057,6.0,6.717,49.98,13.0,13.434,0.5,32986.0,14163.0,240298
1741539541163,2025-03-09 16:59:01.163,235.68,0.057,6.0,6.717,49.98,13.0,13.434,0.5,32986.0,14163.0,227510
1741539541499,2025-03-09 16:59:01.499,235.66,0.051,6.0,6.009,49.98,12.0,12.019,0.5,32986.0,14163.0,230730
1741539541822,2025-03-09 16:59:01.822,235.66,0.051,6.0,6.009,49.98,12.0,12.019,0.5,32986.0,14163.0,219367
1741539542152,2025-03-09 16:59:02.152,235.66,0.051,6.0,6.009,49.98,12.0,12.019,0.5,32986.0,14163.0,227746
1741539542474,2025-03-09 16:59:02.474,235.5,0.053,6.0,6.241,49.98,12.0,12.482,0.5,32986.0,14163.0,219489
1741539542818,2025-03-09 16:59:02.818,235.5,0.053,6.0,6.241,49.98,12.0,12.482,0.5,32986.0,14163.0,240287
1741539543147,2025-03-09 16:59:03.147,235.5,0.053,6.0,6.241,49.98,12.0,12.482,0.5,32986.0,14163.0,226560
1741539543469,2025-03-09 16:59:03.469,235.42,0.055,6.0,6.474,49.97,12.0,12.948,0.5,32986.0,14163.0,219297
1741539543791,2025-03-09 16:59:03.791,235.42,0.055,6.0,6.474,49.97,12.0,12.948,0.5,32986.0,14163.0,219094
1741539544121,2025-03-09 16:59:04.121,235.42,0.055,6.0,6.474,49.97,12.0,12.948,0.5,32986.0,14163.0,226859
1741539544442,2025-03-09 16:59:04.442,235.47,0.053,6.0,6.24,49.97,12.0,12.48,0.5,32986.0,14163.0,218560
1741539544786,2025-03-09 16:59:04.786,235.47,0.053,6.0,6.24,49.97,12.0,12.48,0.5,32986.0,14163.0,240634
1741539545115,2025-03-09 16:59:05.115,235.47,0.053,6.0,6.24,49.97,12.0,12.48,0.5,32986.0,14163.0,226265
1741539545439,2025-03-09 16:59:05.439,235.42,0.049,5.0,5.768,49.97,11.0,11.536,0.5,32986.0,14163.0,221358
