UTC_Timestamp,Resolution,FPS,Codecs,Bandwidth_kbps,Network_Activity_KB,Buffer_Health_s,Live_Latency_s,Latency_Mode
1741539567219,1920x1080,25,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),6225,0,2.70,null,null
1741539567626,1920x1080,25,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),6225,0,2.23,null,null
1741539568026,1920x1080,25,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),6225,0,1.72,null,null
1741539568427,1920x1080,25,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),6225,0,1.46,null,null
1741539568828,1920x1080,25,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),6225,0,0.00,null,null
1741539569229,1920x1080,25,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),6225,0,0.00,null,null
1741539569630,1920x1080,25,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),6225,0,0.00,null,null
1741539570031,1920x1080,25,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),6225,0,0.00,null,null
1741539570432,1920x1080,25,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),6225,0,0.00,null,null
1741539570832,0x0,undefined,,0,0,0.00,null,null
1741539571233,0x0,undefined,,0,0,0.00,null,null
1741539571633,0x0,undefined,,7880,0,0.00,null,null
1741539572033,0x0,undefined,,7880,0,0.00,null,null
1741539572433,0x0,undefined,,7880,0,0.00,null,null
1741539572833,0x0,undefined,,7880,0,0.00,null,null
1741539573238,0x0,undefined,,7880,0,0.00,null,null
1741539573638,0x0,30,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),7880,0,0.00,null,null
1741539574038,0x0,30,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),7880,0,0.00,null,null
1741539574438,0x0,30,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),7880,0,0.00,null,null
1741539574841,0x0,30,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),7880,0,0.00,null,null
1741539575242,0x0,30,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),7880,0,0.00,null,null
1741539575643,0x0,30,vp09.00.51.08.01.01.01.01.00 (248) / opus (251),7880,0,0.00,null,null
