Timestamp,qfe_wtr_pa0,qfe_wtr_pa1,qfe_wtr_pa2,qfe_wtr_pa3,aoss0-usr,mdm-q6-usr,ipa-usr,cpu0-a7-usr,mdm-5g-usr,mdm-vpe-usr,mdm-core-usr,xo-therm-usr,sdx-case-therm-usr
1741538189322,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538189426,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538189529,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538189631,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538189733,26,28,31,31,34,35,35,35,35,35,35,34,34
1741538189835,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538189937,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190039,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190141,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190243,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190345,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190447,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190549,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190652,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190754,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190856,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538190958,26,28,31,31,35,35,35,35,35,36,36,34,34
1741538191060,26,28,31,31,35,35,35,35,35,36,35,34,34
1741538191162,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538191264,26,28,31,31,34,35,35,35,35,35,35,34,34
1741538191366,26,28,31,31,34,35,35,35,35,35,35,34,34
1741538191468,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538191570,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538191672,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538191775,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538191877,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538191979,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538192081,26,28,31,31,34,35,35,35,35,35,35,34,34
1741538192183,26,28,31,31,34,35,35,35,35,35,35,34,34
1741538192285,26,28,31,31,34,35,35,35,35,35,35,34,34
1741538192387,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538192490,26,28,31,31,34,35,36,35,35,36,35,34,34
1741538192592,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538192694,26,28,31,31,34,35,35,35,35,35,35,34,34
1741538192796,31,28,31,31,34,35,35,35,35,35,35,34,34
1741538192898,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538193000,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538193102,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538193204,31,28,31,31,34,35,35,35,35,36,36,34,34
1741538193306,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538193408,31,28,31,31,34,35,35,34,35,36,35,34,34
1741538193510,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538193612,31,28,31,31,35,35,35,35,35,36,35,34,34
1741538193715,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538193817,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538193919,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538194021,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538194124,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538194279,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538194382,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538194485,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538194588,31,28,31,31,34,35,35,35,35,35,35,34,34
1741538194691,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538194794,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538194897,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538195000,31,28,31,31,34,35,35,34,35,36,35,34,34
1741538195103,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538195206,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538195309,31,28,31,31,34,35,35,35,35,35,35,34,34
1741538195413,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538195515,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538195617,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538195719,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538195821,31,28,31,31,35,35,35,35,35,36,36,34,34
1741538195923,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538196026,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538196128,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538196230,31,28,31,31,34,35,35,35,35,36,36,34,34
1741538196332,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538196437,31,28,31,31,34,35,35,35,35,36,36,34,34
1741538196541,31,28,31,31,35,35,35,35,35,35,35,34,34
1741538196643,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538196745,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538196847,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538196949,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538197052,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538197155,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538197257,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538197360,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538197462,31,28,31,31,34,35,35,35,35,35,35,34,34
1741538197565,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538197667,31,28,31,31,34,35,35,35,35,36,35,34,34
1741538197769,26,28,31,31,34,35,35,35,35,36,36,34,34
1741538197872,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538197975,26,28,31,31,34,35,35,35,35,35,35,34,34
1741538198083,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538198189,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538198291,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538198394,26,28,31,31,34,35,35,35,35,35,35,34,34
1741538198496,26,28,31,31,34,35,36,35,35,36,36,34,34
1741538198598,26,28,31,31,34,35,36,36,35,36,35,34,34
1741538198700,26,28,31,31,34,35,35,35,36,36,35,34,34
1741538198802,26,28,31,31,34,35,35,35,36,36,35,34,34
1741538198904,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538199007,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538199109,26,28,31,31,34,35,35,35,35,36,35,34,34
1741538199214,26,28,31,31,34,35,35,35,35,36,36,34,34
1741538199317,26,28,31,31,35,35,35,35,35,36,35,34,34
1741538199600,26,28,31,31,35,35,35,35,35,36,36,34,34
1741538199702,26,28,31,31,34,35,35,35,35,36,35,34,34
