Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
22-01-2025 14:09:20,234.36,0.04,50.03,7.9,4.0,0.0,9.0,0.498,32.598,14.085
22-01-2025 14:09:21,234.35,0.041,50.03,11.9,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:21,234.33,0.041,50.03,10.5,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:22,234.39,0.041,50.04,7.0,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:23,234.39,0.041,50.04,7.0,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:24,234.39,0.041,50.04,10.8,4.0,0.0,9.0,0.493,32.598,14.085
22-01-2025 14:09:24,234.3,0.041,50.04,9.3,4.0,0.0,9.0,0.491,32.598,14.085
22-01-2025 14:09:25,234.3,0.041,50.04,9.3,4.0,0.0,9.0,0.491,32.598,14.085
22-01-2025 14:09:26,234.21,0.041,50.04,4.9,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:27,234.14,0.04,50.04,7.0,4.0,0.0,9.0,0.498,32.598,14.085
22-01-2025 14:09:27,234.15,0.041,50.04,6.3,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:28,234.15,0.041,50.04,6.3,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:29,234.17,0.041,50.04,5.2,4.0,0.0,9.0,0.496,32.598,14.085
22-01-2025 14:09:29,234.14,0.041,50.04,3.5,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:30,234.04,0.041,50.04,6.6,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:31,234.04,0.041,50.04,6.6,4.0,0.0,9.0,0.492,32.598,14.085
22-01-2025 14:09:32,233.98,0.041,50.04,6.6,4.0,-1.0,9.0,0.494,32.598,14.085
22-01-2025 14:09:32,233.97,0.04,50.04,8.7,4.0,0.0,9.0,0.498,32.598,14.085
22-01-2025 14:09:33,233.97,0.04,50.04,8.7,4.0,0.0,9.0,0.498,32.598,14.085
22-01-2025 14:09:34,234.13,0.041,50.04,3.1,4.0,0.0,9.0,0.498,32.598,14.085
22-01-2025 14:09:35,234.11,0.041,50.04,4.9,4.0,-1.0,9.0,0.495,32.598,14.085
22-01-2025 14:09:35,234.18,0.041,50.04,5.9,4.0,0.0,9.0,0.491,32.598,14.085
22-01-2025 14:09:36,234.18,0.041,50.04,5.9,4.0,0.0,9.0,0.491,32.598,14.085
22-01-2025 14:09:37,231.44,0.041,50.03,9.3,4.0,0.0,9.0,0.488,32.598,14.085
22-01-2025 14:09:37,233.69,0.041,50.04,7.9,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:09:38,233.68,0.041,50.04,5.9,4.0,0.0,9.0,0.488,32.598,14.085
22-01-2025 14:09:39,233.68,0.041,50.04,5.9,4.0,0.0,9.0,0.488,32.598,14.085
22-01-2025 14:09:40,233.68,0.042,50.04,5.4,4.0,0.0,9.0,0.482,32.598,14.085
22-01-2025 14:09:40,233.61,0.042,50.04,10.0,4.0,0.0,9.0,0.482,32.598,14.085
22-01-2025 14:09:41,233.61,0.042,50.04,10.0,4.0,0.0,9.0,0.482,32.598,14.085
22-01-2025 14:09:42,233.49,0.041,50.04,6.8,4.0,0.0,9.0,0.487,32.598,14.085
22-01-2025 14:09:43,233.55,0.042,50.03,5.6,4.0,0.0,9.0,0.481,32.598,14.085
22-01-2025 14:09:43,233.43,0.042,50.03,7.2,4.0,0.0,9.0,0.481,32.598,14.085
22-01-2025 14:09:44,233.43,0.042,50.03,7.2,4.0,0.0,9.0,0.481,32.598,14.085
22-01-2025 14:09:45,233.32,0.042,50.03,9.1,4.0,0.0,9.0,0.475,32.598,14.085
22-01-2025 14:09:45,233.18,0.042,50.02,7.9,4.0,0.0,9.0,0.482,32.598,14.085
22-01-2025 14:09:46,233.22,0.042,50.02,5.4,4.0,0.0,9.0,0.481,32.598,14.085
22-01-2025 14:09:47,233.22,0.042,50.02,5.4,4.0,0.0,9.0,0.481,32.598,14.085
22-01-2025 14:09:48,233.31,0.042,50.02,6.6,4.0,0.0,9.0,0.477,32.598,14.085
22-01-2025 14:09:48,233.35,0.042,50.02,5.8,4.0,0.0,9.0,0.483,32.598,14.085
22-01-2025 14:09:49,233.35,0.042,50.02,5.8,4.0,0.0,9.0,0.483,32.598,14.085
22-01-2025 14:09:50,233.39,0.042,50.01,7.5,4.0,0.0,9.0,0.481,32.598,14.085
22-01-2025 14:09:51,233.41,0.041,50.01,6.1,4.0,0.0,9.0,0.487,32.598,14.085
22-01-2025 14:09:51,233.51,0.041,50.01,7.2,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:09:52,233.51,0.041,50.01,7.2,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:09:53,233.5,0.041,50.0,9.1,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:09:53,233.44,0.041,50.0,8.2,4.0,-1.0,9.0,0.494,32.598,14.085
22-01-2025 14:09:54,233.31,0.04,50.0,5.4,4.0,0.0,9.0,0.501,32.598,14.085
22-01-2025 14:09:55,233.31,0.04,50.0,5.4,4.0,0.0,9.0,0.501,32.598,14.085
22-01-2025 14:09:56,233.44,0.041,50.0,7.3,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:09:56,233.38,0.042,50.0,8.4,4.0,0.0,9.0,0.49,32.598,14.085
22-01-2025 14:09:57,233.38,0.042,50.0,8.4,4.0,0.0,9.0,0.49,32.598,14.085
22-01-2025 14:09:58,233.45,0.041,50.0,5.9,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:09:59,233.41,0.041,50.0,7.5,4.0,0.0,9.0,0.493,32.598,14.085
22-01-2025 14:09:59,233.58,0.04,50.0,7.2,4.0,-1.0,9.0,0.5,32.598,14.085
22-01-2025 14:10:00,233.58,0.04,50.0,7.2,4.0,-1.0,9.0,0.5,32.598,14.085
22-01-2025 14:10:01,233.68,0.041,50.0,4.0,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:10:02,233.64,0.044,50.0,6.1,5.0,-1.0,10.0,0.493,32.598,14.085
22-01-2025 14:10:02,233.63,0.041,50.0,8.4,4.0,0.0,9.0,0.497,32.598,14.085
22-01-2025 14:10:03,233.63,0.041,50.0,8.4,4.0,0.0,9.0,0.497,32.598,14.085
22-01-2025 14:10:04,233.69,0.041,50.01,7.2,4.0,0.0,9.0,0.495,32.598,14.085
22-01-2025 14:10:04,233.64,0.041,50.0,7.7,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:10:05,233.64,0.041,50.0,7.7,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:10:06,233.64,0.041,50.01,6.5,4.0,0.0,9.0,0.494,32.598,14.085
22-01-2025 14:10:07,233.57,0.041,50.01,7.0,4.0,0.0,9.0,0.491,32.598,14.085
22-01-2025 14:10:07,233.53,0.042,50.01,4.9,4.0,0.0,9.0,0.49,32.598,14.085
