Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
22-01-2025 16:27:34,233.46,0.043,50.0,7.5,4.0,-1.0,10.0,0.476,32.612,14.085
22-01-2025 16:27:34,233.49,0.042,50.01,4.3,4.0,-1.0,9.0,0.483,32.612,14.085
22-01-2025 16:27:35,233.4,0.043,50.01,7.2,4.0,-1.0,10.0,0.479,32.612,14.085
22-01-2025 16:27:36,233.4,0.043,50.01,7.2,4.0,-1.0,10.0,0.479,32.612,14.085
22-01-2025 16:27:37,233.39,0.046,50.01,8.4,5.0,-1.0,10.0,0.474,32.612,14.085
22-01-2025 16:27:37,233.46,0.047,50.01,13.7,5.0,-1.0,10.0,0.477,32.612,14.085
22-01-2025 16:27:38,233.51,0.051,50.01,8.0,5.0,-1.0,11.0,0.474,32.612,14.085
22-01-2025 16:27:39,233.51,0.051,50.01,8.0,5.0,-1.0,11.0,0.474,32.612,14.085
22-01-2025 16:27:40,233.56,0.057,50.01,7.2,6.0,-1.0,13.0,0.464,32.612,14.085
22-01-2025 16:27:40,233.56,0.058,50.01,12.3,6.0,-1.0,13.0,0.467,32.612,14.085
22-01-2025 16:27:41,233.64,0.046,50.01,9.1,5.0,-1.0,10.0,0.479,32.612,14.085
22-01-2025 16:27:42,233.64,0.046,50.01,9.1,5.0,-1.0,10.0,0.479,32.612,14.085
22-01-2025 16:27:43,233.61,0.062,50.01,10.0,6.0,-1.0,14.0,0.463,32.612,14.085
22-01-2025 16:27:43,233.7,0.065,50.02,13.8,7.0,-1.0,15.0,0.465,32.612,14.085
22-01-2025 16:27:44,233.7,0.065,50.02,13.8,7.0,-1.0,15.0,0.465,32.612,14.085
22-01-2025 16:27:45,233.79,0.066,50.02,12.3,7.0,-1.0,15.0,0.459,32.612,14.085
22-01-2025 16:27:45,233.72,0.064,50.02,13.1,6.0,-1.0,14.0,0.46,32.612,14.085
22-01-2025 16:27:46,233.66,0.064,50.02,11.0,6.0,-1.0,15.0,0.461,32.612,14.085
22-01-2025 16:27:47,233.66,0.064,50.02,11.0,6.0,-1.0,15.0,0.461,32.612,14.085
22-01-2025 16:27:48,233.53,0.062,50.02,10.8,6.0,-1.0,14.0,0.463,32.612,14.085
22-01-2025 16:27:48,233.46,0.058,50.02,8.4,6.0,-1.0,13.0,0.468,32.612,14.085
22-01-2025 16:27:49,233.33,0.058,50.02,11.9,6.0,-1.0,13.0,0.468,32.612,14.085
22-01-2025 16:27:50,233.33,0.058,50.02,11.9,6.0,-1.0,13.0,0.468,32.612,14.085
22-01-2025 16:27:51,233.28,0.059,50.02,5.0,6.0,-1.0,13.0,0.464,32.612,14.085
22-01-2025 16:27:51,233.3,0.058,50.02,9.3,6.0,-1.0,13.0,0.465,32.612,14.085
22-01-2025 16:27:52,233.3,0.058,50.02,9.3,6.0,-1.0,13.0,0.465,32.612,14.085
22-01-2025 16:27:53,233.25,0.059,50.01,10.1,6.0,-1.0,13.0,0.466,32.612,14.085
22-01-2025 16:27:53,233.3,0.059,50.01,12.6,6.0,-1.0,13.0,0.461,32.612,14.085
22-01-2025 16:27:54,233.48,0.059,50.01,9.1,6.0,-1.0,13.0,0.464,32.612,14.085
22-01-2025 16:27:55,233.48,0.059,50.01,9.1,6.0,-1.0,13.0,0.464,32.612,14.085
22-01-2025 16:27:56,233.49,0.06,50.01,12.3,6.0,-1.0,14.0,0.464,32.612,14.085
22-01-2025 16:27:56,233.42,0.06,50.01,10.7,6.0,-1.0,14.0,0.461,32.612,14.085
22-01-2025 16:27:57,233.55,0.057,50.01,12.3,6.0,-1.0,13.0,0.462,32.612,14.085
22-01-2025 16:27:58,233.55,0.057,50.01,12.3,6.0,-1.0,13.0,0.462,32.612,14.085
22-01-2025 16:27:59,233.61,0.056,50.01,7.7,6.0,-1.0,13.0,0.466,32.612,14.085
22-01-2025 16:27:59,233.65,0.056,50.01,6.5,6.0,-1.0,13.0,0.462,32.612,14.085
22-01-2025 16:28:00,233.65,0.056,50.01,6.5,6.0,-1.0,13.0,0.462,32.612,14.085
22-01-2025 16:28:01,233.61,0.056,50.01,11.4,6.0,-1.0,13.0,0.463,32.612,14.085
22-01-2025 16:28:01,233.56,0.057,50.01,8.4,6.0,-1.0,13.0,0.464,32.612,14.085
22-01-2025 16:28:02,233.51,0.059,50.01,10.1,6.0,-1.0,13.0,0.466,32.612,14.085
22-01-2025 16:28:03,233.51,0.059,50.01,10.1,6.0,-1.0,13.0,0.466,32.612,14.085
22-01-2025 16:28:04,233.41,0.062,50.0,11.7,6.0,-1.0,14.0,0.462,32.612,14.085
22-01-2025 16:28:04,233.39,0.062,50.0,10.1,6.0,-1.0,14.0,0.464,32.612,14.085
22-01-2025 16:28:05,233.42,0.061,50.0,10.5,6.0,-1.0,14.0,0.467,32.612,14.085
22-01-2025 16:28:06,233.42,0.061,50.0,10.5,6.0,-1.0,14.0,0.467,32.612,14.085
