Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
22-01-2025 15:07:37,234.86,0.06,49.98,15.8,6.0,-1.0,14.0,0.464,32.603,14.085
22-01-2025 15:07:38,234.85,0.059,49.98,15.8,6.0,-1.0,13.0,0.464,32.603,14.085
22-01-2025 15:07:39,234.85,0.059,49.98,15.8,6.0,-1.0,13.0,0.464,32.603,14.085
22-01-2025 15:07:40,234.86,0.059,49.98,13.3,6.0,-1.0,13.0,0.462,32.603,14.085
22-01-2025 15:07:40,234.82,0.059,49.98,12.6,6.0,-1.0,13.0,0.457,32.603,14.085
22-01-2025 15:07:41,234.82,0.059,49.98,12.6,6.0,-1.0,13.0,0.457,32.603,14.085
22-01-2025 15:07:42,234.82,0.061,49.98,14.9,6.0,-1.0,14.0,0.462,32.603,14.085
22-01-2025 15:07:42,234.87,0.067,49.98,18.1,7.0,-1.0,15.0,0.471,32.603,14.085
22-01-2025 15:07:43,234.86,0.061,49.98,18.6,6.0,-1.0,14.0,0.46,32.603,14.085
22-01-2025 15:07:44,234.86,0.061,49.98,18.6,6.0,-1.0,14.0,0.46,32.603,14.085
22-01-2025 15:07:45,234.87,0.061,49.98,19.1,6.0,-1.0,14.0,0.465,32.603,14.085
22-01-2025 15:07:45,234.77,0.06,49.98,13.8,6.0,-1.0,14.0,0.462,32.603,14.085
22-01-2025 15:07:46,234.77,0.06,49.98,13.8,6.0,-1.0,14.0,0.462,32.603,14.085
22-01-2025 15:07:47,234.78,0.059,49.98,18.1,6.0,-1.0,13.0,0.462,32.603,14.085
22-01-2025 15:07:48,234.74,0.068,49.98,17.5,7.0,-1.0,15.0,0.471,32.603,14.085
22-01-2025 15:07:48,234.82,0.061,49.98,17.7,6.0,-1.0,14.0,0.457,32.603,14.085
22-01-2025 15:07:49,234.82,0.061,49.98,17.7,6.0,-1.0,14.0,0.457,32.603,14.085
22-01-2025 15:07:50,234.93,0.059,49.98,19.1,6.0,-1.0,13.0,0.463,32.603,14.085
22-01-2025 15:07:50,234.93,0.059,49.98,18.1,6.0,-1.0,13.0,0.467,32.603,14.085
22-01-2025 15:07:51,234.83,0.06,49.98,16.3,6.0,-1.0,14.0,0.462,32.603,14.085
22-01-2025 15:07:52,234.83,0.06,49.98,16.3,6.0,-1.0,14.0,0.462,32.603,14.085
22-01-2025 15:07:53,234.89,0.061,49.98,14.9,6.0,-1.0,14.0,0.47,32.603,14.085
22-01-2025 15:07:53,235.07,0.061,49.98,15.6,6.0,-1.0,14.0,0.466,32.603,14.085
22-01-2025 15:07:54,235.07,0.061,49.98,15.6,6.0,-1.0,14.0,0.466,32.603,14.085
22-01-2025 15:07:55,235.04,0.06,49.98,16.6,6.0,-1.0,14.0,0.47,32.603,14.085
22-01-2025 15:07:56,235.09,0.067,49.98,13.8,7.0,-1.0,15.0,0.479,32.603,14.085
22-01-2025 15:07:56,235.08,0.063,49.98,14.9,6.0,-1.0,14.0,0.466,32.603,14.085
22-01-2025 15:07:57,235.08,0.063,49.98,14.9,6.0,-1.0,14.0,0.466,32.603,14.085
22-01-2025 15:07:58,235.07,0.061,49.98,14.9,6.0,-1.0,14.0,0.472,32.603,14.085
22-01-2025 15:07:58,235.13,0.061,49.98,16.5,6.0,-1.0,14.0,0.471,32.603,14.085
22-01-2025 15:07:59,235.19,0.061,49.99,14.9,6.0,-1.0,14.0,0.464,32.603,14.085
22-01-2025 15:08:00,235.19,0.061,49.99,14.9,6.0,-1.0,14.0,0.464,32.603,14.085
22-01-2025 15:08:01,235.27,0.061,49.99,15.9,6.0,-1.0,14.0,0.475,32.603,14.085
22-01-2025 15:08:01,235.22,0.06,49.99,10.8,6.0,-1.0,14.0,0.462,32.603,14.085
22-01-2025 15:08:02,235.22,0.06,49.99,10.8,6.0,-1.0,14.0,0.462,32.603,14.085
22-01-2025 15:08:03,235.32,0.057,49.99,17.5,6.0,-1.0,13.0,0.472,32.603,14.085
