Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
22-01-2025 12:48:35,233.89,0.191,50.02,-36.9,20.0,-7.0,44.0,0.448,32.592,14.081
22-01-2025 12:48:36,233.93,0.214,50.02,-34.1,22.0,-8.0,50.0,0.458,32.592,14.081
22-01-2025 12:48:37,233.99,0.203,50.02,-34.9,21.0,-7.0,47.0,0.454,32.592,14.081
22-01-2025 12:48:37,234.15,0.207,50.02,-36.3,22.0,-8.0,48.0,0.455,32.592,14.081
22-01-2025 12:48:38,234.15,0.207,50.02,-36.3,22.0,-8.0,48.0,0.455,32.592,14.081
22-01-2025 12:48:39,234.15,0.188,50.02,-36.0,19.0,-7.0,44.0,0.452,32.592,14.081
22-01-2025 12:48:40,234.16,0.219,50.02,-31.2,23.0,-8.0,51.0,0.462,32.592,14.081
22-01-2025 12:48:40,234.14,0.26,50.02,-35.3,30.0,-9.0,60.0,0.494,32.592,14.081
22-01-2025 12:48:41,234.14,0.26,50.02,-35.3,30.0,-9.0,60.0,0.494,32.592,14.081
22-01-2025 12:48:42,234.11,0.247,50.02,-28.4,28.0,-9.0,57.0,0.486,32.592,14.081
22-01-2025 12:48:42,234.07,0.249,50.02,-31.8,27.0,-9.0,58.0,0.478,32.592,14.081
22-01-2025 12:48:43,234.07,0.249,50.02,-31.8,27.0,-9.0,58.0,0.478,32.592,14.081
22-01-2025 12:48:44,234.11,0.255,50.02,-31.9,29.0,-9.0,59.0,0.488,32.592,14.081
22-01-2025 12:48:45,234.16,0.253,50.02,-33.0,28.0,-9.0,59.0,0.478,32.592,14.081
22-01-2025 12:48:45,234.15,0.256,50.02,-31.2,29.0,-9.0,60.0,0.486,32.592,14.081
22-01-2025 12:48:46,234.15,0.256,50.02,-31.2,29.0,-9.0,60.0,0.486,32.592,14.081
22-01-2025 12:48:47,234.21,0.254,50.03,-28.3,28.0,-9.0,59.0,0.485,32.592,14.081
22-01-2025 12:48:48,234.24,0.235,50.03,-27.2,26.0,-8.0,55.0,0.473,32.592,14.081
22-01-2025 12:48:48,234.27,0.26,50.04,-28.6,29.0,-9.0,60.0,0.491,32.592,14.081
22-01-2025 12:48:49,234.27,0.26,50.04,-28.6,29.0,-9.0,60.0,0.491,32.592,14.081
22-01-2025 12:48:50,234.22,0.217,50.04,-32.5,23.0,-8.0,50.0,0.461,32.592,14.081
22-01-2025 12:48:50,234.05,0.266,50.04,-27.9,30.0,-9.0,62.0,0.485,32.592,14.081
22-01-2025 12:48:51,234.05,0.266,50.04,-27.9,30.0,-9.0,62.0,0.485,32.592,14.081
22-01-2025 12:48:52,234.08,0.195,50.04,-36.0,20.0,-7.0,45.0,0.446,32.592,14.081
22-01-2025 12:48:53,234.11,0.239,50.04,-37.9,26.0,-9.0,55.0,0.473,32.592,14.081
22-01-2025 12:48:53,234.26,0.245,50.04,-34.8,27.0,-9.0,57.0,0.482,32.592,14.081
22-01-2025 12:48:54,234.26,0.245,50.04,-34.8,27.0,-9.0,57.0,0.482,32.592,14.081
22-01-2025 12:48:55,234.22,0.209,50.03,-37.0,22.0,-8.0,49.0,0.457,32.592,14.081
22-01-2025 12:48:56,234.16,0.204,50.03,-33.3,21.0,-8.0,47.0,0.45,32.592,14.081
22-01-2025 12:48:56,234.11,0.186,50.03,-36.9,19.0,-7.0,43.0,0.442,32.592,14.081
22-01-2025 12:48:57,234.11,0.186,50.03,-36.9,19.0,-7.0,43.0,0.442,32.592,14.081
22-01-2025 12:48:58,234.01,0.197,50.03,-33.9,20.0,-7.0,46.0,0.449,32.592,14.081
22-01-2025 12:48:58,234.06,0.182,50.02,-35.3,18.0,-7.0,42.0,0.444,32.592,14.081
22-01-2025 12:48:59,234.06,0.182,50.02,-35.3,18.0,-7.0,42.0,0.444,32.592,14.081
22-01-2025 12:49:00,233.88,0.182,50.02,-36.2,18.0,-7.0,42.0,0.442,32.592,14.081
22-01-2025 12:49:01,233.82,0.22,50.02,-36.3,23.0,-8.0,51.0,0.464,32.592,14.081
22-01-2025 12:49:01,233.77,0.206,50.01,-34.8,22.0,-8.0,48.0,0.456,32.592,14.081
22-01-2025 12:49:02,233.77,0.206,50.01,-34.8,22.0,-8.0,48.0,0.456,32.592,14.081
22-01-2025 12:49:03,233.78,0.18,50.01,-29.7,18.0,-7.0,42.0,0.441,32.592,14.081
22-01-2025 12:49:04,233.69,0.21,50.01,-29.0,22.0,-8.0,49.0,0.459,32.592,14.081
22-01-2025 12:49:04,233.76,0.263,50.0,-28.3,30.0,-9.0,61.0,0.494,32.592,14.081
22-01-2025 12:49:05,233.76,0.263,50.0,-28.3,30.0,-9.0,61.0,0.494,32.592,14.081
22-01-2025 12:49:06,233.98,0.196,50.0,-28.6,20.0,-7.0,45.0,0.451,32.592,14.081
22-01-2025 12:49:06,233.97,0.184,50.01,-27.5,19.0,-7.0,43.0,0.442,32.592,14.081
22-01-2025 12:49:07,233.97,0.184,50.01,-27.5,19.0,-7.0,43.0,0.442,32.592,14.081
22-01-2025 12:49:08,234.06,0.23,50.01,-30.0,25.0,-8.0,53.0,0.468,32.592,14.081
22-01-2025 12:49:09,234.05,0.233,50.01,-31.1,25.0,-8.0,54.0,0.473,32.592,14.081
22-01-2025 12:49:09,233.89,0.223,50.01,-29.8,24.0,-8.0,52.0,0.463,32.592,14.081
22-01-2025 12:49:10,233.89,0.223,50.01,-29.8,24.0,-8.0,52.0,0.463,32.592,14.081
22-01-2025 12:49:11,233.9,0.212,50.01,-31.2,22.0,-8.0,49.0,0.458,32.592,14.081
22-01-2025 12:49:12,233.91,0.191,50.01,-32.8,20.0,-7.0,44.0,0.45,32.592,14.081
22-01-2025 12:49:12,233.91,0.196,50.01,-39.9,20.0,-7.0,45.0,0.444,32.592,14.081
22-01-2025 12:49:13,233.91,0.196,50.01,-39.9,20.0,-7.0,45.0,0.444,32.592,14.081
22-01-2025 12:49:14,234.0,0.19,50.01,-37.6,19.0,-7.0,44.0,0.445,32.592,14.081
