Timestamp,Voltage (V),Current (A),Frequency (Hz),Phase (deg),Active Power (W),Reactive Power (VAR),Apparent Power (VA),Power Factor (PF),Total Energy (kWh),Resettable Energy (kWh)
22-01-2025 12:44:56,234.41,0.167,50.01,-36.5,17.0,-7.0,39.0,0.446,32.592,14.081
22-01-2025 12:44:56,234.42,0.196,50.01,-29.5,20.0,-8.0,46.0,0.454,32.592,14.081
22-01-2025 12:44:57,234.42,0.196,50.01,-29.5,20.0,-8.0,46.0,0.454,32.592,14.081
22-01-2025 12:44:58,234.45,0.166,50.01,-39.5,17.0,-7.0,38.0,0.437,32.592,14.081
22-01-2025 12:44:58,234.35,0.171,50.01,-41.1,17.0,-7.0,40.0,0.436,32.592,14.081
22-01-2025 12:44:59,234.28,0.233,50.0,-30.2,25.0,-9.0,54.0,0.469,32.592,14.081
22-01-2025 12:45:00,234.28,0.233,50.0,-30.2,25.0,-9.0,54.0,0.469,32.592,14.081
22-01-2025 12:45:01,234.46,0.17,50.0,-37.2,17.0,-7.0,39.0,0.43,32.592,14.081
22-01-2025 12:45:01,234.41,0.175,50.0,-36.0,18.0,-7.0,41.0,0.445,32.592,14.081
22-01-2025 12:45:02,234.41,0.175,50.0,-36.0,18.0,-7.0,41.0,0.445,32.592,14.081
22-01-2025 12:45:03,234.42,0.156,50.0,-39.3,15.0,-7.0,36.0,0.432,32.592,14.081
22-01-2025 12:45:04,234.42,0.183,50.0,-38.6,19.0,-7.0,42.0,0.444,32.592,14.081
22-01-2025 12:45:04,234.36,0.218,50.0,-40.0,23.0,-8.0,51.0,0.462,32.592,14.081
22-01-2025 12:45:05,234.36,0.218,50.0,-40.0,23.0,-8.0,51.0,0.462,32.592,14.081
22-01-2025 12:45:06,234.33,0.164,50.0,-39.5,16.0,-7.0,38.0,0.433,32.592,14.081
22-01-2025 12:45:06,234.19,0.221,49.99,-39.1,24.0,-8.0,51.0,0.468,32.592,14.081
22-01-2025 12:45:07,234.27,0.175,49.99,-38.8,18.0,-7.0,40.0,0.445,32.592,14.081
22-01-2025 12:45:08,234.27,0.175,49.99,-38.8,18.0,-7.0,40.0,0.445,32.592,14.081
22-01-2025 12:45:09,234.39,0.171,49.99,-39.5,17.0,-7.0,40.0,0.441,32.592,14.081
22-01-2025 12:45:09,234.47,0.171,49.99,-34.8,17.0,-7.0,40.0,0.438,32.592,14.081
22-01-2025 12:45:10,234.47,0.171,49.99,-34.8,17.0,-7.0,40.0,0.438,32.592,14.081
22-01-2025 12:45:11,234.54,0.191,49.99,-38.6,20.0,-7.0,44.0,0.451,32.592,14.081
22-01-2025 12:45:12,234.43,0.18,49.99,-33.5,18.0,-7.0,42.0,0.444,32.592,14.081
22-01-2025 12:45:12,234.34,0.197,49.99,-34.2,20.0,-7.0,46.0,0.449,32.592,14.081
22-01-2025 12:45:13,234.34,0.197,49.99,-34.2,20.0,-7.0,46.0,0.449,32.592,14.081
22-01-2025 12:45:14,234.33,0.173,49.99,-36.7,17.0,-7.0,40.0,0.432,32.592,14.081
22-01-2025 12:45:14,234.29,0.222,49.99,-34.8,23.0,-8.0,52.0,0.457,32.592,14.081
22-01-2025 12:45:15,234.29,0.222,49.99,-34.8,23.0,-8.0,52.0,0.457,32.592,14.081
22-01-2025 12:45:16,234.42,0.226,49.99,-35.3,24.0,-8.0,53.0,0.468,32.592,14.081
22-01-2025 12:45:17,234.41,0.17,49.99,-37.9,17.0,-7.0,39.0,0.43,32.592,14.081
22-01-2025 12:45:17,234.38,0.185,49.99,-34.8,18.0,-7.0,43.0,0.436,32.592,14.081
22-01-2025 12:45:18,234.38,0.185,49.99,-34.8,18.0,-7.0,43.0,0.436,32.592,14.081
